Data,Pim
1975-01-01,40.69475359315412
1975-02-01,38.18129025585424
1975-03-01,41.352310016359716
1975-04-01,43.57079477128707
1975-05-01,43.7244294496061
1975-06-01,45.17474081293803
1975-07-01,46.877013048713344
1975-08-01,46.02280423725931
1975-09-01,47.178137018218635
1975-10-01,48.81280999553354
1975-11-01,45.75240720341778
1975-12-01,44.39427664707716
1976-01-01,43.951808773518295
1976-02-01,45.07641461881386
1976-03-01,48.15525357232792
1976-04-01,47.092101598359996
1976-05-01,49.72847267831512
1976-06-01,51.26481946150585
1976-07-01,52.22964524134952
1976-08-01,52.75200314763434
1976-09-01,51.897794336180375
1976-10-01,53.55704886202628
1976-11-01,50.38602910152072
1976-12-01,48.935717738188785
1977-01-01,45.266921619929505
1977-02-01,43.82890103086303
1977-03-01,51.375436429895565
1977-04-01,47.700494924503516
1977-05-01,52.5307692108549
1977-06-01,52.493896888058345
1977-07-01,52.284953725544376
1977-08-01,54.36209457641815
1977-09-01,52.20506369281851
1977-10-01,53.83359128300057
1977-11-01,52.15590059575642
1977-12-01,49.56254722573062
1978-01-01,48.39492367050566
1978-02-01,45.94291420453342
1978-03-01,52.78887547043095
1978-04-01,51.006713201929784
1978-05-01,53.91348131572652
1978-06-01,54.300640705090615
1978-07-01,55.154849516544566
1978-08-01,59.143205765707535
1978-09-01,56.04593065079515
1978-10-01,59.610255187797485
1978-11-01,55.9414590695382
1978-12-01,52.8687655031569
1979-01-01,53.56933963629182
1979-02-01,49.9804335507584
1979-03-01,55.72637051989146
1979-04-01,53.72911970174362
1979-05-01,58.424195471174286
1979-06-01,58.424195471174286
1979-07-01,59.32756737969034
1979-08-01,63.00250888508239
1979-09-01,57.98172759761535
1979-10-01,64.87685196057497
1979-11-01,59.71472676905443
1979-12-01,55.29619342059806
1980-01-01,57.09679185049754
1980-02-01,55.96604061806921
1980-03-01,61.79801300706099
1980-04-01,57.49009662699432
1980-05-01,63.186870499065286
1980-06-01,64.01649776198823
1980-07-01,67.13220903829887
1980-08-01,66.39476258236739
1980-09-01,68.09088943100986
1980-10-01,69.37527534175729
1980-11-01,64.3422032800247
1980-12-01,58.57783014949334
1981-01-01,57.18897265748896
1981-02-01,56.91243023651465
1981-03-01,57.539259724056414
1981-04-01,53.73526508887641
1981-05-01,55.69564358422762
1981-06-01,57.82194753216356
1981-07-01,59.94210609296665
1981-08-01,58.36888698697937
1981-09-01,56.75879555819563
1981-10-01,58.282851567120744
1981-11-01,54.61405544886146
1981-12-01,49.906688905165254
1982-01-01,48.59772144588681
1982-02-01,48.13681741092963
1982-03-01,57.053774140568244
1982-04-01,53.630793507619394
1982-05-01,56.93086639791298
1982-06-01,59.73930831758547
1982-07-01,61.865612265521314
1982-08-01,63.19916127333086
1982-09-01,61.09129348679322
1982-10-01,59.899088383037345
1982-11-01,56.23029226477798
1982-12-01,50.60111765116741
1983-01-01,47.313335535139444
1983-02-01,45.56804558943482
1983-03-01,53.815155121602295
1983-04-01,48.74521073707316
1983-05-01,54.030243671249025
1983-06-01,54.43583922201134
1983-07-01,55.025796386756554
1983-08-01,59.36443970248698
1983-09-01,57.26886269021491
1983-10-01,58.516376278165716
1983-11-01,56.3839269430971
1983-12-01,51.44918107548868
1984-01-01,49.17538783636655
1984-02-01,51.28325562290411
1984-03-01,52.616804630713624
1984-04-01,50.7363161680882
1984-05-01,57.79122059649971
1984-06-01,59.45662050947839
1984-07-01,61.71197758720229
1984-08-01,63.457267532906826
1984-09-01,60.15719464261332
1984-10-01,65.35004676979779
1984-11-01,60.814751065818925
1984-12-01,54.9397609668979
1985-01-01,56.45152620155747
1985-02-01,52.22964524134953
1985-03-01,58.344305438448366
1985-04-01,52.36484375827034
1985-05-01,59.18007808850409
1985-06-01,61.05442116399666
1985-07-01,67.50707765339742
1985-08-01,68.80989972554308
1985-09-01,67.6914392673803
1985-10-01,73.92900720713432
1985-11-01,66.88024816585566
1985-12-01,61.42928977909522
1986-01-01,62.72596646410813
1986-02-01,59.02644341018499
1986-03-01,60.36613780512729
1986-04-01,62.84272881963061
1986-05-01,65.52211760951506
1986-06-01,69.36298456749176
1986-07-01,75.05975843956266
1986-08-01,74.3653296935605
1986-09-01,78.3045228456614
1986-10-01,81.77052118853923
1986-11-01,72.4971320052007
1986-12-01,65.59586225510823
1987-01-01,66.72046810040379
1987-02-01,66.28414561397769
1987-03-01,68.82833588694142
1987-04-01,68.15234330233748
1987-05-01,68.97582517812768
1987-06-01,70.52446273558385
1987-07-01,70.32166496020272
1987-08-01,70.856313640753
1987-09-01,74.11336882111719
1987-10-01,75.90167647675113
1987-11-01,70.80715054369091
1987-12-01,63.15614356340152
1988-01-01,60.80246029155337
1988-02-01,60.57508096764116
1988-03-01,68.8959351454018
1988-04-01,62.842728819630594
1988-05-01,65.03663202602687
1988-06-01,71.7166678393398
1988-07-01,71.7412493878709
1988-08-01,76.09218347786678
1988-09-01,73.14854304127351
1988-10-01,69.86076092524546
1988-11-01,65.82938696615325
1988-12-01,61.02369422833287
1989-01-01,59.57338286500085
1989-02-01,54.63863699739244
1989-03-01,62.67065797991324
1989-04-01,61.36783590776757
1989-05-01,68.63782888582574
1989-06-01,74.93685069690746
1989-07-01,77.044718483445
1989-08-01,81.8073935113363
1989-09-01,76.42403438303602
1989-10-01,78.69782762215814
1989-11-01,72.52785894086445
1989-12-01,62.86731036816167
1990-01-01,62.566186398656306
1990-02-01,59.302985831159354
1990-03-01,60.5443540319774
1990-04-01,44.375840485678935
1990-05-01,61.220346616581324
1990-06-01,62.60305872145287
