region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
91,NA,NA,NA,NA,NA,FALSE,NA,NA
92,2,0.0232,0.6363,TRUE,TRUE,FALSE,0.0804,0.6985
93,2,0.0044,0.0723,FALSE,TRUE,FALSE,0.0452,0.1859
94,1,0.0017,NA,FALSE,NA,FALSE,0.0352,0.0201
95,1,0.0015,NA,FALSE,NA,FALSE,0.0251,0.0151
96,2,0.3053,0.8599,TRUE,TRUE,FALSE,0.5126,0.9296
97,2,2e-4,0.2876,FALSE,TRUE,FALSE,0.0201,0.5327
98,2,0.0024,0.085,FALSE,TRUE,FALSE,0.0251,0.1759
99,NA,NA,NA,NA,NA,FALSE,NA,NA
100,2,1e-4,0.163,FALSE,TRUE,FALSE,0,0.3116
101,1,0.1277,NA,TRUE,NA,FALSE,0.3367,0.3317
102,1,0.052,NA,TRUE,NA,FALSE,0.1709,0.1307
103,1,0.0034,NA,FALSE,NA,FALSE,0.0603,0.0503
104,2,0.0391,0.0209,TRUE,TRUE,FALSE,0.2362,0.1106
105,2,0.5887,0.0028,TRUE,FALSE,FALSE,0.6935,0.0452
106,2,0.01,2e-4,TRUE,FALSE,FALSE,0.0503,0.0101
107,2,5e-4,0.0012,FALSE,FALSE,FALSE,0.0151,0.0302
108,1,0.4797,NA,TRUE,NA,FALSE,0.6583,0.603
109,2,0.0017,0.0279,FALSE,TRUE,FALSE,0.0452,0.1106
110,1,0.5592,NA,TRUE,NA,FALSE,0.7437,0.6935
111,1,0.6584,NA,TRUE,NA,FALSE,0.7688,0.794
112,1,0.2182,NA,TRUE,NA,FALSE,0.3769,0.4171
113,1,0.3163,NA,TRUE,NA,FALSE,0.5176,0.5126
114,NA,NA,NA,NA,NA,FALSE,NA,NA
115,NA,NA,NA,NA,NA,FALSE,NA,NA
116,2,4e-4,5e-4,FALSE,FALSE,FALSE,0.0151,0.005
117,1,0.4554,NA,TRUE,NA,TRUE,0.6734,0.6131
118,1,0.287,NA,TRUE,NA,TRUE,0.4472,0.4372
119,1,0.1676,NA,TRUE,NA,FALSE,0.3417,0.3568
120,1,0.0014,NA,FALSE,NA,FALSE,0.0302,0.005
121,1,0.2147,NA,TRUE,NA,FALSE,0.407,0.397
122,1,0.6916,NA,TRUE,NA,FALSE,0.7387,0.7789
123,1,0.1075,NA,TRUE,NA,FALSE,0.2161,0.2111
124,1,0.0579,NA,TRUE,NA,FALSE,0.196,0.1759
125,2,0.0825,0.0073,TRUE,FALSE,FALSE,0.2362,0.1055
126,1,5e-4,NA,FALSE,NA,FALSE,0.005,0
127,1,0.2804,NA,TRUE,NA,FALSE,0.4523,0.4472
128,1,0.3376,NA,TRUE,NA,FALSE,0.4322,0.3819
129,2,6e-4,1e-4,FALSE,FALSE,FALSE,0.0201,0.0101
130,1,0.0798,NA,TRUE,NA,FALSE,0.2261,0.1809
131,2,0.024,0.0024,TRUE,FALSE,FALSE,0.1055,0.0452
132,2,0.3058,0.0145,TRUE,TRUE,FALSE,0.5578,0.1508
133,1,0.9598,NA,TRUE,NA,FALSE,0.9849,0.9648
134,1,0.4822,NA,TRUE,NA,FALSE,0.5176,0.5779
135,1,0.0019,NA,FALSE,NA,FALSE,0.0251,0.0251
136,2,0,2e-4,FALSE,FALSE,FALSE,0,0.005
137,1,4e-4,NA,FALSE,NA,FALSE,0.005,0.0201
138,2,0.0163,5e-4,TRUE,FALSE,FALSE,0.0653,0.0302
139,1,0.2102,NA,TRUE,NA,FALSE,0.3216,0.3518
140,2,0.0041,0,FALSE,FALSE,FALSE,0.0151,0
141,2,0.4425,0.1962,TRUE,TRUE,FALSE,0.6332,0.5025
142,1,0.9367,NA,TRUE,NA,FALSE,0.9497,0.9447
143,1,0.0199,NA,TRUE,NA,TRUE,0.0854,0.1106
144,1,0.1959,NA,TRUE,NA,FALSE,0.3216,0.2965
145,2,0.7912,0.053,TRUE,TRUE,FALSE,0.8643,0.2412
