region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
122,1,0.6916,NA,TRUE,NA,FALSE
123,1,0.1075,NA,TRUE,NA,FALSE
124,1,0.0579,NA,TRUE,NA,FALSE
125,2,0.0825,0.0073,TRUE,FALSE,FALSE
126,1,5e-4,NA,FALSE,NA,FALSE
127,1,0.2804,NA,TRUE,NA,FALSE
128,1,0.3376,NA,TRUE,NA,FALSE
129,2,6e-4,1e-4,FALSE,FALSE,FALSE
130,1,0.0798,NA,TRUE,NA,FALSE
131,2,0.024,0.0024,TRUE,FALSE,FALSE
132,2,0.3058,0.0145,TRUE,TRUE,FALSE
133,1,0.9598,NA,TRUE,NA,FALSE
134,1,0.4822,NA,TRUE,NA,FALSE
135,1,0.0019,NA,FALSE,NA,FALSE
136,2,0,2e-4,FALSE,FALSE,FALSE
137,1,4e-4,NA,FALSE,NA,FALSE
138,2,0.0163,5e-4,TRUE,FALSE,FALSE
139,1,0.2102,NA,TRUE,NA,FALSE
140,2,0.0041,0,FALSE,FALSE,FALSE
141,2,0.4425,0.1962,TRUE,TRUE,FALSE
142,1,0.9367,NA,TRUE,NA,FALSE
143,1,0.0199,NA,TRUE,NA,TRUE
144,1,0.1959,NA,TRUE,NA,FALSE
145,2,0.7912,0.053,TRUE,TRUE,FALSE
146,2,9e-4,0.0019,FALSE,FALSE,FALSE
147,2,8e-4,0.0146,FALSE,TRUE,FALSE
148,1,0.015,NA,TRUE,NA,FALSE
149,1,0.6594,NA,TRUE,NA,FALSE
150,1,0.0046,NA,FALSE,NA,FALSE
151,2,6e-4,0.8222,FALSE,TRUE,FALSE
152,2,0.0097,0.9856,FALSE,TRUE,FALSE
153,2,0,0.0015,FALSE,FALSE,FALSE
154,1,0.1437,NA,TRUE,NA,FALSE
155,2,0.0179,0.8214,TRUE,TRUE,FALSE
156,2,0.1279,0.0228,TRUE,TRUE,FALSE
157,2,0.4766,0.5289,TRUE,TRUE,FALSE
158,2,0,0,FALSE,FALSE,FALSE
159,1,0.0187,NA,TRUE,NA,FALSE
160,1,0.0152,NA,TRUE,NA,FALSE
161,1,0.0167,NA,TRUE,NA,FALSE
162,1,0.0262,NA,TRUE,NA,FALSE
163,1,0.1552,NA,TRUE,NA,FALSE
164,1,0.9179,NA,TRUE,NA,FALSE
165,1,2e-4,NA,FALSE,NA,FALSE
166,2,0.0985,0.024,TRUE,TRUE,FALSE
167,2,0.3466,0.2654,TRUE,TRUE,FALSE
168,1,0.01,NA,TRUE,NA,FALSE
169,2,0.0109,0.0861,TRUE,TRUE,FALSE
170,2,0.1223,8e-4,TRUE,FALSE,FALSE
171,2,0,2e-4,FALSE,FALSE,FALSE
172,1,0.5769,NA,TRUE,NA,FALSE
173,2,0.3786,0.6125,TRUE,TRUE,FALSE
174,2,0.0016,0.0062,FALSE,FALSE,FALSE
175,2,0.0658,0.0292,TRUE,TRUE,FALSE
176,1,0.0737,NA,TRUE,NA,FALSE
177,2,0,0.0217,FALSE,TRUE,FALSE
178,2,3e-4,0.0597,FALSE,TRUE,FALSE
179,1,0.0011,NA,FALSE,NA,FALSE
180,2,0.0333,9e-4,TRUE,FALSE,FALSE
181,1,0.0369,NA,TRUE,NA,FALSE
182,1,0.4153,NA,TRUE,NA,FALSE
183,2,0.0054,0.0159,FALSE,TRUE,FALSE
184,NA,NA,NA,NA,NA,FALSE
185,NA,NA,NA,NA,NA,FALSE
186,1,7e-4,NA,FALSE,NA,FALSE
187,1,0.0027,NA,FALSE,NA,FALSE
188,2,2e-4,0.3082,FALSE,TRUE,FALSE
189,1,0.829,NA,TRUE,NA,FALSE
190,1,0.9246,NA,TRUE,NA,FALSE
191,2,0.0015,0.0012,FALSE,FALSE,FALSE
192,1,0.0052,NA,FALSE,NA,TRUE
193,1,6e-4,NA,FALSE,NA,FALSE
194,2,0.0438,0.0014,TRUE,FALSE,FALSE
195,2,1e-4,3e-4,FALSE,FALSE,FALSE
196,2,0.0081,0.3912,FALSE,TRUE,FALSE
197,1,0.9211,NA,TRUE,NA,FALSE
198,2,1e-4,0.0041,FALSE,FALSE,FALSE
199,2,0.0222,0.0909,TRUE,TRUE,FALSE
200,2,4e-4,0.2262,FALSE,TRUE,FALSE
201,2,0,0.009,FALSE,FALSE,FALSE
202,1,0.8726,NA,TRUE,NA,TRUE
203,2,0,0.1448,FALSE,TRUE,FALSE
204,2,0.0011,0.5493,FALSE,TRUE,FALSE
205,2,0.0026,0.8046,FALSE,TRUE,FALSE
206,2,2e-4,0.6508,FALSE,TRUE,FALSE
207,1,0.9612,NA,TRUE,NA,FALSE
208,2,0.0093,0.0633,FALSE,TRUE,FALSE
209,2,0.0015,0.3889,FALSE,TRUE,FALSE
210,2,0.0145,0.1726,TRUE,TRUE,FALSE
211,1,0.269,NA,TRUE,NA,FALSE
212,2,0.0047,0.0013,FALSE,FALSE,FALSE
213,2,0.3712,0.0216,TRUE,TRUE,FALSE
214,1,0.2731,NA,TRUE,NA,FALSE
215,2,0.2095,0.4677,TRUE,TRUE,FALSE
216,2,0,0.006,FALSE,FALSE,FALSE
217,1,0.0016,NA,FALSE,NA,FALSE
218,2,5e-4,0.0019,FALSE,FALSE,FALSE
219,1,0.2006,NA,TRUE,NA,FALSE
220,2,0,0.0023,FALSE,FALSE,FALSE
221,1,0.7177,NA,TRUE,NA,TRUE
222,1,0.3698,NA,TRUE,NA,FALSE
223,2,0.0371,0.0046,TRUE,FALSE,FALSE
224,2,0.0319,0.2264,TRUE,TRUE,FALSE
225,2,0.001,0.4428,FALSE,TRUE,FALSE
226,2,2e-4,0.5677,FALSE,TRUE,FALSE
227,1,0.0934,NA,TRUE,NA,TRUE
228,1,0.5138,NA,TRUE,NA,TRUE
229,1,0.0541,NA,TRUE,NA,FALSE
230,2,0.0358,0.013,TRUE,TRUE,FALSE
231,2,2e-4,0.0121,FALSE,TRUE,FALSE
232,2,0.0579,0.2711,TRUE,TRUE,FALSE
233,1,0.0052,NA,FALSE,NA,FALSE
234,1,0.0128,NA,TRUE,NA,FALSE
235,2,1e-4,0.0458,FALSE,TRUE,FALSE
236,1,0.4115,NA,TRUE,NA,FALSE
237,1,5e-4,NA,FALSE,NA,FALSE
238,2,0,0.0114,FALSE,TRUE,FALSE
239,2,0.1205,0.1927,TRUE,TRUE,FALSE
240,1,0.1044,NA,TRUE,NA,FALSE
241,1,0.4489,NA,TRUE,NA,FALSE
242,2,2e-4,0.0011,FALSE,FALSE,FALSE
243,2,0.0022,0.6993,FALSE,TRUE,FALSE
244,1,0.8835,NA,TRUE,NA,FALSE
245,2,4e-4,0.0272,FALSE,TRUE,FALSE
246,2,0.0026,0.1879,FALSE,TRUE,FALSE
247,2,6e-4,0.022,FALSE,TRUE,FALSE
248,2,0.0187,0.4771,TRUE,TRUE,FALSE
249,2,0.0229,0.7427,TRUE,TRUE,FALSE
250,1,0.6556,NA,TRUE,NA,FALSE
251,1,0.8196,NA,TRUE,NA,FALSE
252,2,0.0038,0.69,FALSE,TRUE,FALSE
253,2,0.0079,0.6238,FALSE,TRUE,FALSE
254,1,0,NA,FALSE,NA,FALSE
255,2,0.0026,0.1319,FALSE,TRUE,FALSE
256,2,0,0.0028,FALSE,FALSE,FALSE
257,2,0.0018,0.0876,FALSE,TRUE,FALSE
258,2,1e-4,0.053,FALSE,TRUE,FALSE
259,2,9e-4,0.0065,FALSE,FALSE,FALSE
260,2,0.0424,0.3895,TRUE,TRUE,FALSE
261,1,0.0109,NA,TRUE,NA,FALSE
262,2,2e-4,0.1116,FALSE,TRUE,FALSE
263,1,0.0033,NA,FALSE,NA,FALSE
264,2,1e-4,0.008,FALSE,FALSE,FALSE
265,2,0,6e-4,FALSE,FALSE,FALSE
266,2,0.0076,0.1062,FALSE,TRUE,FALSE
267,2,0.0048,0.7427,FALSE,TRUE,FALSE
268,1,0.0133,NA,TRUE,NA,FALSE
269,1,0.4779,NA,TRUE,NA,FALSE
270,1,0.506,NA,TRUE,NA,FALSE
271,2,1e-4,0.1084,FALSE,TRUE,FALSE
272,2,8e-4,0.5854,FALSE,TRUE,FALSE
273,2,3e-4,0.2095,FALSE,TRUE,FALSE
274,2,0.0013,0.1996,FALSE,TRUE,FALSE
275,2,1e-4,0.0685,FALSE,TRUE,FALSE
276,2,0.0134,0.4576,TRUE,TRUE,FALSE
277,1,0.0124,NA,TRUE,NA,FALSE
278,2,0.1847,0.7744,TRUE,TRUE,FALSE
279,2,0.1272,0.478,TRUE,TRUE,FALSE
280,2,0.0019,0.1135,FALSE,TRUE,FALSE
281,2,0.0339,0.7486,TRUE,TRUE,FALSE
282,2,1e-4,0.0104,FALSE,TRUE,FALSE
283,2,0.0982,0.2574,TRUE,TRUE,FALSE
284,2,0.0211,0.028,TRUE,TRUE,FALSE
285,2,0.0071,0.0309,FALSE,TRUE,FALSE
286,2,0.0096,0.3004,FALSE,TRUE,FALSE
287,2,0.0012,0.2703,FALSE,TRUE,FALSE
288,1,0.0076,NA,FALSE,NA,TRUE
289,2,0,3e-4,FALSE,FALSE,FALSE
290,2,0.0044,0.2368,FALSE,TRUE,FALSE
291,2,1e-4,0.3096,FALSE,TRUE,FALSE
292,2,4e-4,0.4031,FALSE,TRUE,FALSE
293,1,0.0501,NA,TRUE,NA,FALSE
294,2,0.0088,0.3294,FALSE,TRUE,FALSE
295,1,0.1675,NA,TRUE,NA,FALSE
296,2,0,1e-4,FALSE,FALSE,FALSE
297,2,0.015,0.1595,TRUE,TRUE,FALSE
298,2,0.0157,0.0082,TRUE,FALSE,FALSE
299,2,0.189,0.3147,TRUE,TRUE,FALSE
300,2,7e-4,0.3231,FALSE,TRUE,FALSE
301,2,0.0289,0.0619,TRUE,TRUE,FALSE
302,2,0.0295,0.0563,TRUE,TRUE,FALSE
303,2,0.0926,0.0195,TRUE,TRUE,FALSE
304,2,0.0104,0.166,TRUE,TRUE,FALSE
305,1,0.2657,NA,TRUE,NA,FALSE
306,2,0,0,FALSE,FALSE,FALSE
307,2,0.04,0.4375,TRUE,TRUE,FALSE
308,1,0.3515,NA,TRUE,NA,FALSE
309,2,0.0017,0.0432,FALSE,TRUE,FALSE
310,2,0.0644,0.0382,TRUE,TRUE,FALSE
311,2,0.1176,0.3769,TRUE,TRUE,FALSE
312,2,0.0236,0.8656,TRUE,TRUE,FALSE
313,2,1e-4,0.0394,FALSE,TRUE,FALSE
314,2,1e-4,0.4662,FALSE,TRUE,FALSE
315,2,0.0669,0.2106,TRUE,TRUE,FALSE
316,2,0.0048,0.3741,FALSE,TRUE,FALSE
317,2,0.0016,0.72,FALSE,TRUE,FALSE
318,2,0.0316,0.2616,TRUE,TRUE,FALSE
319,2,0.2054,0.0102,TRUE,TRUE,FALSE
320,2,0,0,FALSE,FALSE,FALSE
321,2,2e-4,0.9229,FALSE,TRUE,FALSE
322,2,2e-4,0.7251,FALSE,TRUE,FALSE
323,1,0.0689,NA,TRUE,NA,FALSE
324,1,0.0789,NA,TRUE,NA,FALSE
325,2,6e-4,0.0976,FALSE,TRUE,FALSE
326,2,0.0076,0.6618,FALSE,TRUE,FALSE
327,2,1e-4,0.4213,FALSE,TRUE,FALSE
328,2,2e-4,7e-4,FALSE,FALSE,FALSE
329,2,6e-4,0.2974,FALSE,TRUE,FALSE
330,2,0.1041,0.7901,TRUE,TRUE,FALSE
331,2,0.0066,0.3065,FALSE,TRUE,FALSE
332,2,0.0119,0.1552,TRUE,TRUE,FALSE
333,2,0.0029,0.0038,FALSE,FALSE,FALSE
334,1,0.0046,NA,FALSE,NA,FALSE
335,2,0.0265,0.6318,TRUE,TRUE,FALSE
336,2,8e-4,0.0078,FALSE,FALSE,FALSE
337,2,8e-4,0.3161,FALSE,TRUE,FALSE
338,2,2e-4,0.2263,FALSE,TRUE,FALSE
339,2,3e-4,0.009,FALSE,FALSE,FALSE
340,1,0.1316,NA,TRUE,NA,FALSE
341,2,0.001,0.0894,FALSE,TRUE,FALSE
342,2,0.0043,0.0259,FALSE,TRUE,FALSE
343,1,0.0052,NA,FALSE,NA,FALSE
344,2,0.0011,0.0045,FALSE,FALSE,FALSE
345,2,0,0.0846,FALSE,TRUE,FALSE
346,2,0,4e-4,FALSE,FALSE,FALSE
347,1,0.1161,NA,TRUE,NA,FALSE
348,1,0.0804,NA,TRUE,NA,FALSE
