region,AIC,BIC,HaQ
191,37.3657,40.2745,38.5334
192,16.0229,18.9052,17.1799
193,20.0547,22.9634,21.2223
194,24.9357,27.8445,26.1034
195,21.5676,24.4764,22.7353
196,21.624,24.5327,22.7916
197,22.838,25.7467,24.0056
198,27.4012,30.3099,28.5688
199,19.3676,22.2763,20.5352
200,30.9572,33.866,32.1249
201,31.797,34.7057,32.9646
202,23.1196,26.0018,24.2766
203,33.8792,36.788,35.0468
204,35.045,37.9537,36.2126
205,28.7259,31.6346,29.8935
206,24.1077,27.0164,25.2753
207,23.1117,26.0204,24.2793
208,27.2024,30.1111,28.37
209,25.742,28.6507,26.9096
210,23.6182,26.5269,24.7858
211,25.3616,28.2703,26.5292
212,21.9876,24.8964,23.1553
213,27.328,30.2368,28.4956
214,25.6477,28.5565,26.8153
215,17.9962,20.9049,19.1638
216,34.9745,37.8832,36.1421
217,24.6218,27.504,25.7788
218,26.0468,28.9555,27.2144
219,30.4721,33.3544,31.6291
220,21.9989,24.9076,23.1665
221,25.6267,28.509,26.7837
222,28.5807,31.463,29.7377
223,25.4599,28.3422,26.6169
224,24.735,27.6173,25.892
225,24.2154,27.1241,25.383
226,25.2536,28.1623,26.4212
227,24.6752,27.5575,25.8322
228,25.4154,28.3241,26.583
229,26.3144,29.2231,27.482
230,30.9142,33.8229,32.0818
231,23.3637,26.2724,24.5313
232,28.4776,31.3864,29.6453
233,25.9127,28.795,27.0697
234,27.9311,30.8134,29.0881
235,27.5426,30.4249,28.6996
236,25.2981,28.1804,26.4551
237,28.6758,31.5581,29.8328
238,29.5321,32.4409,30.6998
239,38.0326,40.9413,39.2002
240,23.1783,26.087,24.3459
241,26.0809,28.9896,27.2485
242,29.1161,31.9984,30.2732
243,21.0152,23.9239,22.1828
244,26.6348,29.5436,27.8025
245,26.118,29.0267,27.2856
246,28.9727,31.8815,30.1404
247,28.114,31.0228,29.2816
248,26.0442,28.953,27.2118
249,30.7018,33.6105,31.8694
250,32.4001,35.3089,33.5678
251,28.2982,31.207,29.4659
252,29.8555,32.7642,31.0231
253,26.5059,29.4146,27.6735
254,27.5374,30.4461,28.705
255,26.6165,29.5252,27.7841
256,27.5284,30.4371,28.696
257,31.1085,34.0172,32.2761
258,23.3541,26.2629,24.5217
259,25.3771,28.2858,26.5447
260,22.3593,25.2681,23.5269
