region;Dummies
16; 1999(5) 1999(11) 1999(12) 2001(1) 2002(1) 2002(4) 2005(1) 2006(6) 2006(8) 2007(3) 2009(1) 2009(12) 2010(1) 2010(9) 2010(12) 2011(1) 2011(2) 2011(3) 2011(10) 2011(12) 2012(1) 2012(2) 2012(3) 2012(5) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(7) 2013(9) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(5) 2014(12) 2015(1) 2015(2) 2015(3) 2015(5) 2015(7) 2015(8) 2015(12) 2016(1) 2016(2) 2016(3) 2016(5) 2016(10) 2016(12) 1999(5) 1999(11) 1999(12) 2001(1) 2002(1) 2002(4) 2005(1) 2006(6) 2006(8) 2007(3) 2009(1) 2009(12) 2010(1) 2010(9) 2010(12) 2011(1) 2011(2) 2011(3) 2011(10) 2011(12) 2012(1) 2012(2) 2012(3) 2012(5) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(7) 2013(9) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(5) 2014(12) 2015(1) 2015(2) 2015(3) 2015(5) 2015(7) 2015(8) 2015(12) 2016(1) 2016(2) 2016(3) 2016(5) 2016(10) 2016(12)
17; 2000(10) 2000(11) 2001(1) 2001(3) 2003(12) 2004(1) 2004(7) 2007(7) 2009(1) 2009(6) 2009(7) 2010(1) 2011(2) 2011(3) 2011(8) 2012(5) 2012(12) 2013(1) 2014(12) 2015(1) 2015(3) 2015(6) 2015(7) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(5) 2016(6) 2016(7) 2016(9) 2016(12) 2000(10) 2000(11) 2001(1) 2001(3) 2003(12) 2004(1) 2004(7) 2007(7) 2009(1) 2009(6) 2009(7) 2010(1) 2011(2) 2011(3) 2011(8) 2012(5) 2012(12) 2013(1) 2014(12) 2015(1) 2015(3) 2015(6) 2015(7) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(5) 2016(6) 2016(7) 2016(9) 2016(12)
18; 1998(6) 1998(7) 1999(6) 2000(10) 2001(1) 2001(2) 2011(1) 2011(2) 2011(3) 2011(12) 2012(1) 2012(2) 2012(3) 2012(4) 2012(12) 2013(1) 2013(2) 2013(3) 2013(5) 2013(6) 2013(8) 2013(9) 2013(10) 2013(12) 2014(1) 2014(2) 2014(5) 2014(11) 2014(12) 2015(1) 2015(3) 2015(6) 2015(8) 2015(12) 2016(1) 2016(2) 2016(4) 2016(7) 2016(10) 2016(11) 2016(12) 1998(6) 1998(7) 1999(6) 2000(10) 2001(1) 2001(2) 2011(1) 2011(2) 2011(3) 2011(12) 2012(1) 2012(2) 2012(3) 2012(4) 2012(12) 2013(1) 2013(2) 2013(3) 2013(5) 2013(6) 2013(8) 2013(9) 2013(10) 2013(12) 2014(1) 2014(2) 2014(5) 2014(11) 2014(12) 2015(1) 2015(3) 2015(6) 2015(8) 2015(12) 2016(1) 2016(2) 2016(4) 2016(7) 2016(10) 2016(11) 2016(12)
19; 1997(7) 1997(8) 1999(1) 1999(11) 1999(12) 2000(5) 2007(4) 2007(5) 2008(5) 2008(7) 2008(11) 2008(12) 2009(1) 2009(2) 2010(1) 2011(1) 2012(12) 2013(1) 2013(3) 2013(4) 2013(5) 2013(12) 2014(12) 2016(12) 1997(7) 1997(8) 1999(1) 1999(11) 1999(12) 2000(5) 2007(4) 2007(5) 2008(5) 2008(7) 2008(11) 2008(12) 2009(1) 2009(2) 2010(1) 2011(1) 2012(12) 2013(1) 2013(3) 2013(4) 2013(5) 2013(12) 2014(12) 2016(12)
20; 2009(8) 2011(1) 2011(8) 2011(12) 2012(1) 2012(2) 2012(9) 2013(4) 2014(1) 2014(2) 2014(3) 2014(6) 2009(8) 2011(1) 2011(8) 2011(12) 2012(1) 2012(2) 2012(9) 2013(4) 2014(1) 2014(2) 2014(3) 2014(6)
21; 2002(12) 2004(12) 2007(2) 2008(12) 2009(12) 2010(12) 2011(11) 2012(12) 2013(3) 2014(12) 2015(1) 2016(12) 2002(12) 2004(12) 2007(2) 2008(12) 2009(12) 2010(12) 2011(11) 2012(12) 2013(3) 2014(12) 2015(1) 2016(12)
22; 2002(11) 2002(12) 2005(3) 2011(1) 2011(2) 2011(3) 2011(4) 2012(7) 2012(11) 2012(12) 2013(1) 2013(3) 2013(4) 2014(4) 2014(12) 2015(2) 2015(3) 2015(4) 2015(9) 2015(11) 2015(12) 2016(1) 2016(3) 2016(4) 2016(10) 2016(12) 2002(11) 2002(12) 2005(3) 2011(1) 2011(2) 2011(3) 2011(4) 2012(7) 2012(11) 2012(12) 2013(1) 2013(3) 2013(4) 2014(4) 2014(12) 2015(2) 2015(3) 2015(4) 2015(9) 2015(11) 2015(12) 2016(1) 2016(3) 2016(4) 2016(10) 2016(12)
23; 1998(6) 1999(3) 2005(1) 2005(3) 2006(7) 2006(12) 2007(2) 2007(7) 2007(12) 2008(3) 2008(4) 2008(6) 2009(1) 2009(3) 2009(6) 2009(12) 2010(4) 2010(6) 2010(9) 2011(2) 2011(3) 2011(4) 2011(6) 2011(12) 2012(2) 2012(3) 2012(7) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(7) 2013(12) 2014(3) 2014(6) 2014(7) 2014(9) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(7) 2015(8) 2015(11) 2016(2) 2016(3) 2016(4) 2016(5) 2016(10) 2016(11) 2016(12) 1998(6) 1999(3) 2005(1) 2005(3) 2006(7) 2006(12) 2007(2) 2007(7) 2007(12) 2008(3) 2008(4) 2008(6) 2009(1) 2009(3) 2009(6) 2009(12) 2010(4) 2010(6) 2010(9) 2011(2) 2011(3) 2011(4) 2011(6) 2011(12) 2012(2) 2012(3) 2012(7) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(7) 2013(12) 2014(3) 2014(6) 2014(7) 2014(9) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(7) 2015(8) 2015(11) 2016(2) 2016(3) 2016(4) 2016(5) 2016(10) 2016(11) 2016(12)
24; 1997(4) 2002(1) 2002(3) 2003(9) 2003(10) 2004(6) 2004(7) 2005(10) 2007(8) 2009(1) 2009(11) 2010(12) 2011(1) 2011(2) 2011(9) 2011(12) 2012(1) 2013(1) 2013(3) 2013(5) 2013(8) 2013(12) 2014(1) 2014(2) 2014(7) 2014(10) 2015(4) 2015(5) 2015(10) 2015(11) 2015(12) 2016(5) 2016(9) 2016(12) 1997(4) 2002(1) 2002(3) 2003(9) 2003(10) 2004(6) 2004(7) 2005(10) 2007(8) 2009(1) 2009(11) 2010(12) 2011(1) 2011(2) 2011(9) 2011(12) 2012(1) 2013(1) 2013(3) 2013(5) 2013(8) 2013(12) 2014(1) 2014(2) 2014(7) 2014(10) 2015(4) 2015(5) 2015(10) 2015(11) 2015(12) 2016(5) 2016(9) 2016(12)
25; 2002(4) 2002(7) 2002(9) 2009(1) 2009(7) 2009(9) 2012(4) 2012(5) 2012(6) 2012(12) 2013(1) 2013(4) 2013(10) 2013(11) 2014(4) 2014(12) 2015(2) 2015(4) 2015(5) 2015(6) 2015(7) 2016(5) 2002(4) 2002(7) 2002(9) 2009(1) 2009(7) 2009(9) 2012(4) 2012(5) 2012(6) 2012(12) 2013(1) 2013(4) 2013(10) 2013(11) 2014(4) 2014(12) 2015(2) 2015(4) 2015(5) 2015(6) 2015(7) 2016(5)
