date,value,ln_oil
1995-01-01,16.55,2.806386101823072
1995-02-01,17.14,2.8414149131696336
1995-03-01,17.02,2.834389123145228
1995-04-01,18.74,2.930660276810276
1995-05-01,18.32,2.9079933592459843
1995-06-01,17.35,2.8535925063928684
1995-07-01,15.86,2.7638002162067017
1995-08-01,16.07,2.776954179749421
1995-09-01,16.66,2.8130106367386967
1995-10-01,16.12,2.7800607370784824
1995-11-01,16.88,2.826129489167811
1995-12-01,17.96,2.8881470628740535
1996-01-01,17.94,2.88703285663065
1996-02-01,17.97,2.8887037007954675
1996-03-01,19.99,2.995232148512309
1996-04-01,21.01,3.044998514856909
1996-05-01,19.15,2.952302715626655
1996-06-01,18.27,2.9052603703899154
1996-07-01,19.61,2.976039640208255
1996-08-01,19.96,2.993730270883318
1996-09-01,22.06,3.0937660138253564
1996-10-01,23.68,3.164630810015805
1996-11-01,22.28,3.1036894150590832
1996-12-01,23.52,3.1578511230304263
1997-01-01,23.47,3.1557230098629323
1997-02-01,20.83,3.0363942552728806
1997-03-01,19.21,2.955430976780465
1997-04-01,17.47,2.8604851241459652
1997-05-01,19.14,2.9517803860248084
1997-06-01,17.55,2.865053949911875
1997-07-01,18.43,2.9139797716817317
1997-08-01,18.69,2.9279886214674717
1997-09-01,18.45,2.915064370486536
1997-10-01,20.05,2.998229153752578
1997-11-01,19,2.9444389791664403
1997-12-01,17.1,2.8390784635086144
1998-01-01,15.09,2.7140322727797574
1998-02-01,14.06,2.643333886382519
1998-03-01,13.08,2.5710843460290524
1998-04-01,13.39,2.5945081597030812
1998-05-01,14.39,2.6665335208992764
1998-06-01,12.06,2.4898941912990393
1998-07-01,12.04,2.488234439880675
1998-08-01,11.88,2.474856313934499
1998-09-01,13.36,2.5922651681085
1998-10-01,12.56,2.5305171610400525
1998-11-01,10.92,2.390595970316759
1998-12-01,9.8,2.2823823856765264
1999-01-01,10.95,2.3933394562625097
1999-02-01,10.2,2.3223877202902252
1999-03-01,12.12,2.4948569806411682
1999-04-01,15.16,2.7186603802142257
1999-05-01,15.22,2.7226103524335397
1999-06-01,15.6,2.747270914255491
1999-07-01,18.71,2.9290581402859983
1999-08-01,20.17,3.0041963519661206
1999-09-01,22.11,3.096029994869355
1999-10-01,22.12,3.096482176654134
1999-11-01,24.55,3.2007118542405295
1999-12-01,25.48,3.2378938307039626
2000-01-01,25.22,3.2276373305367736
2000-02-01,27.63,3.318902138935325
2000-03-01,27.47,3.3130945001071823
2000-04-01,22.54,3.11529150861163
2000-05-01,27.4,3.3105430133940246
2000-06-01,29.68,3.39047341829918
2000-07-01,28.51,3.3502549029245805
2000-08-01,29.89,3.3975239762958465
2000-09-01,32.62,3.4849255971928677
2000-10-01,30.93,3.4317265866969784
2000-11-01,32.52,3.48185528467961
2000-12-01,25.28,3.2300135692786567
2001-01-01,25.64,3.2441536320524693
2001-02-01,27.41,3.3109079103146946
2001-03-01,24.4,3.1945831322991562
2001-04-01,25.55,3.2406373166497136
2001-05-01,28.45,3.34814816057234
2001-06-01,27.72,3.3221541743217022
2001-07-01,24.54,3.2003044392827653
2001-08-01,25.67,3.245322994883049
2001-09-01,25.54,3.2402458506043934
2001-10-01,20.48,3.019448800171307
2001-11-01,18.94,2.9412760877579323
2001-12-01,18.6,2.9231615807191558
2002-01-01,19.48,2.969388298214389
2002-02-01,20.29,3.0101281538377234
2002-03-01,23.69,3.165053018170694
2002-04-01,25.65,3.2445435716167785
2002-05-01,25.43,3.2359295794340284
2002-06-01,24.13,3.1834558796369405
