region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
258,2,0,0.0709,FALSE,TRUE,FALSE,0.005,0.196
259,2,2e-4,0.0056,FALSE,FALSE,FALSE,0,0.0302
260,2,0.0021,0.1936,FALSE,TRUE,FALSE,0.0251,0.3568
261,2,2e-4,0.3524,FALSE,TRUE,FALSE,0.0151,0.6281
262,2,0.0017,0.2025,FALSE,TRUE,FALSE,0.0352,0.3719
263,1,0,NA,FALSE,NA,FALSE,0,0
264,2,1e-4,0.013,FALSE,TRUE,FALSE,0,0.0955
265,2,0,0.0105,FALSE,TRUE,FALSE,0,0.0653
266,2,0,0.1905,FALSE,TRUE,FALSE,0,0.3367
267,2,0,0.5588,FALSE,TRUE,FALSE,0,0.6935
268,2,3e-4,0.0108,FALSE,TRUE,FALSE,0,0.0553
269,2,0.0012,0.0242,FALSE,TRUE,FALSE,0.0251,0.1106
270,2,2e-4,0.5688,FALSE,TRUE,FALSE,0.0101,0.7186
271,2,0,1e-4,FALSE,FALSE,FALSE,0,0.0201
272,2,0.0092,0.8981,FALSE,TRUE,FALSE,0.0704,0.9447
273,2,0,0.9583,FALSE,TRUE,FALSE,0,0.9899
274,2,0,0.0021,FALSE,FALSE,FALSE,0,0.0251
275,2,0,0.2558,FALSE,TRUE,FALSE,0,0.4874
276,2,0.0057,0.7626,FALSE,TRUE,FALSE,0.0553,0.8744
277,1,7e-4,NA,FALSE,NA,FALSE,0.0151,0.0352
278,2,0,0.0278,FALSE,TRUE,FALSE,0,0.0905
279,2,0.011,0.2205,TRUE,TRUE,FALSE,0.0854,0.4121
280,2,0.0044,0.0022,FALSE,FALSE,FALSE,0.0503,0.0402
281,2,0.0138,0.6828,TRUE,TRUE,FALSE,0.0251,0.8191
282,1,0.0016,NA,FALSE,NA,FALSE,0.0151,0.0302
283,2,0.0052,0.0159,FALSE,TRUE,FALSE,0.0754,0.1558
284,2,0,0.2722,FALSE,TRUE,FALSE,0,0.4271
285,2,6e-4,0.0061,FALSE,FALSE,FALSE,0.0101,0.0201
286,2,0.003,0.0782,FALSE,TRUE,FALSE,0.0151,0.2211
287,1,1e-4,NA,FALSE,NA,FALSE,0.005,0.0151
288,1,1e-4,NA,FALSE,NA,FALSE,0.005,0.005
289,2,0,1e-4,FALSE,FALSE,FALSE,0,0
