region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical
296,2,0.000,0.000,FALSE,FALSE
297,2,0.012,0.308,TRUE,TRUE
298,2,0.000,0.000,FALSE,FALSE
299,2,0.026,0.181,TRUE,TRUE
300,2,0.012,0.866,TRUE,TRUE
301,2,0.003,0.798,FALSE,TRUE
302,2,0.000,0.018,FALSE,TRUE
303,2,0.003,0.432,FALSE,TRUE
304,2,0.001,0.029,FALSE,TRUE
305,1,0.000,NA,FALSE,NA
306,2,0.000,0.001,FALSE,FALSE
307,2,0.013,0.648,TRUE,TRUE
308,2,0.000,0.003,FALSE,FALSE
309,2,0.000,0.008,FALSE,FALSE
310,2,0.000,0.014,FALSE,TRUE
311,2,0.057,0.971,TRUE,TRUE
312,2,0.001,0.067,FALSE,TRUE
313,2,0.000,0.002,FALSE,FALSE
314,2,0.000,0.021,FALSE,TRUE
315,2,0.008,0.426,FALSE,TRUE
316,2,0.000,0.539,FALSE,TRUE
317,2,0.000,0.257,FALSE,TRUE
318,2,0.001,0.403,FALSE,TRUE
319,2,0.001,0.012,FALSE,TRUE
320,2,0.000,0.000,FALSE,FALSE
321,2,0.000,0.245,FALSE,TRUE
322,2,0.000,0.788,FALSE,TRUE
323,1,0.054,NA,TRUE,NA
324,1,0.000,NA,FALSE,NA
325,2,0.003,0.240,FALSE,TRUE
326,1,0.205,NA,TRUE,NA
327,1,0.978,NA,TRUE,NA
328,2,0.000,0.135,FALSE,TRUE
329,2,0.002,0.720,FALSE,TRUE
330,2,0.000,0.000,FALSE,FALSE
331,2,0.002,0.377,FALSE,TRUE
332,2,0.002,0.303,FALSE,TRUE
333,2,0.000,0.039,FALSE,TRUE
334,1,0.005,NA,FALSE,NA
335,1,0.003,NA,FALSE,NA
336,2,0.000,0.688,FALSE,TRUE
337,2,0.001,0.525,FALSE,TRUE
338,2,0.000,0.118,FALSE,TRUE
339,1,0.015,NA,TRUE,NA
340,2,0.000,0.197,FALSE,TRUE
341,2,0.000,0.074,FALSE,TRUE
342,2,0.003,0.006,FALSE,FALSE
343,1,0.085,NA,TRUE,NA
344,2,0.022,0.063,TRUE,TRUE
345,2,0.001,0.430,FALSE,TRUE
346,2,0.014,0.052,TRUE,TRUE
347,2,0.000,0.115,FALSE,TRUE
348,1,0.058,NA,TRUE,NA
349,2,0.000,0.040,FALSE,TRUE
350,2,0.000,0.010,FALSE,TRUE
351,2,0.000,0.189,FALSE,TRUE
352,2,0.000,0.273,FALSE,TRUE
353,2,0.000,0.170,FALSE,TRUE
354,2,0.000,0.003,FALSE,FALSE
355,2,0.000,0.038,FALSE,TRUE
356,2,0.001,0.003,FALSE,FALSE
357,2,0.000,0.456,FALSE,TRUE
358,1,0.087,NA,TRUE,NA
359,2,0.000,0.207,FALSE,TRUE
360,2,0.000,0.419,FALSE,TRUE
361,2,0.000,0.104,FALSE,TRUE
362,2,0.001,0.193,FALSE,TRUE
363,2,0.000,0.001,FALSE,FALSE
364,2,0.000,0.620,FALSE,TRUE
365,2,0.000,0.488,FALSE,TRUE
366,2,0.000,0.299,FALSE,TRUE
367,2,0.000,0.070,FALSE,TRUE
368,2,0.000,0.000,FALSE,FALSE
369,1,0.475,NA,TRUE,NA
370,2,0.003,0.148,FALSE,TRUE
371,2,0.000,0.005,FALSE,FALSE
372,2,0.000,0.000,FALSE,FALSE
373,2,0.000,0.114,FALSE,TRUE
374,2,0.000,0.416,FALSE,TRUE
375,2,0.000,0.930,FALSE,TRUE
376,2,0.000,0.000,FALSE,FALSE
377,2,0.000,0.033,FALSE,TRUE
378,2,0.001,0.033,FALSE,TRUE
379,2,0.000,0.283,FALSE,TRUE
380,2,0.000,0.005,FALSE,FALSE
381,2,0.000,0.122,FALSE,TRUE
382,2,0.000,0.000,FALSE,FALSE
383,2,0.000,0.016,FALSE,TRUE
384,2,0.003,0.032,FALSE,TRUE
385,2,0.003,0.944,FALSE,TRUE
386,2,0.000,0.045,FALSE,TRUE
387,2,0.000,0.131,FALSE,TRUE
388,2,0.000,0.168,FALSE,TRUE
389,2,0.000,0.184,FALSE,TRUE
390,1,0.003,NA,FALSE,NA
391,2,0.000,0.679,FALSE,TRUE
392,2,0.000,0.056,FALSE,TRUE
393,2,0.000,0.031,FALSE,TRUE
394,1,0.106,NA,TRUE,NA
395,2,0.000,0.045,FALSE,TRUE
396,2,0.000,0.040,FALSE,TRUE
397,2,0.002,0.144,FALSE,TRUE
398,2,0.002,0.159,FALSE,TRUE
399,2,0.000,0.538,FALSE,TRUE
400,2,0.000,0.076,FALSE,TRUE
401,2,0.000,0.097,FALSE,TRUE
402,2,0.012,0.295,TRUE,TRUE
403,2,0.000,0.005,FALSE,FALSE
404,2,0.000,0.001,FALSE,FALSE
405,2,0.000,0.100,FALSE,TRUE
406,2,0.540,0.088,TRUE,TRUE
407,2,0.000,0.007,FALSE,FALSE
408,2,0.000,0.005,FALSE,FALSE
409,2,0.000,0.545,FALSE,TRUE
410,2,0.000,0.062,FALSE,TRUE
411,2,0.001,0.610,FALSE,TRUE
412,2,0.172,0.126,TRUE,TRUE
413,2,0.000,0.166,FALSE,TRUE
414,2,0.002,0.179,FALSE,TRUE
415,2,0.000,0.092,FALSE,TRUE
416,2,0.000,0.025,FALSE,TRUE
417,1,0.541,NA,TRUE,NA
418,2,0.000,0.395,FALSE,TRUE
419,2,0.003,0.772,FALSE,TRUE
420,1,0.000,NA,FALSE,NA
421,1,0.074,NA,TRUE,NA
422,2,0.000,0.543,FALSE,TRUE
423,1,0.340,NA,TRUE,NA
424,2,0.000,0.049,FALSE,TRUE
