region;AIC;BIC;HaQ
188;33,79240;35,68530;34,55430
189;26,12930;28,02220;26,89120
190;34,41990;35,15450;34,71560
191;36,24270;37,54240;36,76590
192;15,20560;15,85540;15,46720
193;13,49940;15,19460;14,18180
194;21,02680;22,97630;21,81150
195;17,70620;18,72330;18,11560
196;18,52700;19,60060;18,95920
197;19,92100;21,13580;20,41000
198;26,94910;27,79670;27,29030
199;12,47210;14,33680;13,22270
200;30,51580;31,19390;30,78870
201;30,26870;31,62490;30,81460
202;22,03020;22,96250;22,40540
203;33,01640;34,11830;33,45990
204;33,63550;35,04810;34,20410
205;28,27560;29,57530;28,79880
206;21,81940;23,09080;22,33110
207;21,29490;22,45330;21,76120
208;19,29720;22,40500;20,54820
209;21,99350;23,20840;22,48250
210;21,30680;22,49340;21,78440
211;22,34850;23,76110;22,91710
212;20,07240;21,45680;20,62960
213;22,09240;24,66340;23,12730
214;24,59680;25,52910;24,97200
215;16,14090;17,07320;16,51620
216;32,20980;33,14210;32,58510
217;23,01210;24,48130;23,60350
218;24,40400;25,56240;24,87030
219;29,28020;30,66460;29,83750
220;20,54480;21,98570;21,12480
221;24,22900;25,83940;24,87720
222;27,07910;28,80260;27,77280
223;24,71500;25,39310;24,98790
224;23,42820;24,84080;23,99680
225;22,15430;23,45390;22,67740
226;24,22260;24,98540;24,52970
227;23,60500;24,62210;24,01440
228;23,88850;24,87730;24,28650
229;23,81430;25,62250;24,54210
230;29,62520;30,84010;30,11420
231;20,69970;22,33840;21,35930
232;23,30640;24,57770;23,81810
233;24,17800;25,47760;24,70110
234;26,69650;27,71360;27,10590
235;26,85190;28,17980;27,38640
236;24,13820;25,18360;24,55900
237;28,43490;29,39550;28,82150
238;28,90440;29,75200;29,24560
239;36,58750;37,88710;37,11060
240;20,98040;22,33660;21,52630
241;25,19970;26,32980;25,65460
242;27,25280;28,52420;27,76450
243;20,38070;21,28480;20,74460
244;24,08240;25,49500;24,65100
245;24,19370;25,71940;24,80780
246;28,55710;29,63070;28,98930
247;26,07850;27,12380;26,49920
248;24,50610;25,69270;24,98370
249;29,33730;30,35440;29,74670
250;31,76670;32,72730;32,15330
251;26,67820;27,86480;27,15580
252;29,57350;30,27990;29,85780
253;25,71010;26,64240;26,08540
254;26,23480;27,56270;26,76930
255;26,34800;27,16740;26,67780
256;26,86520;27,71280;27,20640
257;29,98500;31,00210;30,39440
258;22,83910;23,71500;23,19170
259;24,82550;25,70130;25,17800
260;21,48360;22,21820;21,77930
261;27,17280;28,07690;27,53670
262;25,66110;26,50870;26,00230
263;21,87750;22,78160;22,24150
264;23,89020;25,52880;24,54980
265;25,49650;26,20280;25,78080
266;26,51280;27,36040;26,85390
267;27,68940;28,96080;28,20120
268;32,28010;33,57980;32,80330
269;31,54690;32,59230;31,96770
270;30,55740;31,29200;30,85310
271;30,30320;31,48980;30,78080
272;30,18220;30,88850;30,46650
273;29,13550;29,87000;29,43110
274;24,84490;25,69240;25,18600
275;24,69570;25,62810;25,07100
276;27,35310;28,51150;27,81940
277;29,82530;30,41860;30,06410
278;21,79140;23,68430;22,55330
279;24,84290;25,69050;25,18410
280;39,17780;40,70340;39,79190
281;28,84470;29,43800;29,08350
282;20,33840;21,44030;20,78200
283;27,97480;28,99190;28,38420
284;27,94690;28,51200;28,17440
285;23,16170;24,15050;23,55970
286;23,51720;24,08230;23,74470
287;27,77540;29,21620;28,35530
288;21,48520;22,75660;21,99700
289;31,35700;32,14810;31,67540
290;26,98330;28,22640;27,48370
291;23,75410;24,71470;24,14080
292;25,98560;27,25700;26,49740
293;29,73020;30,54950;30,06000
