region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
122,1,0.6953,NA,TRUE,NA,FALSE
123,1,0.1075,NA,TRUE,NA,FALSE
124,1,0.0542,NA,TRUE,NA,FALSE
125,2,0.0887,0.0066,TRUE,FALSE,FALSE
126,1,0.0011,NA,FALSE,NA,FALSE
127,1,0.1953,NA,TRUE,NA,FALSE
128,1,0.3688,NA,TRUE,NA,FALSE
129,2,8e-4,1e-4,FALSE,FALSE,FALSE
130,1,0.0761,NA,TRUE,NA,FALSE
131,1,0.2343,NA,TRUE,NA,FALSE
132,2,0.3475,0.0179,TRUE,TRUE,FALSE
133,1,0.724,NA,TRUE,NA,FALSE
134,1,0.4822,NA,TRUE,NA,FALSE
135,1,0.0026,NA,FALSE,NA,FALSE
136,2,0,2e-4,FALSE,FALSE,FALSE
137,1,8e-4,NA,FALSE,NA,FALSE
138,2,0.017,6e-4,TRUE,FALSE,FALSE
139,1,0.2642,NA,TRUE,NA,FALSE
140,2,0.003,0,FALSE,FALSE,FALSE
141,2,0.4502,0.204,TRUE,TRUE,FALSE
142,1,0.9969,NA,TRUE,NA,FALSE
143,NA,NA,NA,NA,NA,TRUE
144,1,0.2036,NA,TRUE,NA,FALSE
145,2,0.8455,0.0594,TRUE,TRUE,FALSE
146,2,6e-4,0.0123,FALSE,TRUE,FALSE
147,2,9e-4,0.0138,FALSE,TRUE,FALSE
148,1,0.0372,NA,TRUE,NA,FALSE
149,1,0.2389,NA,TRUE,NA,FALSE
150,1,0.0044,NA,FALSE,NA,FALSE
151,2,6e-4,0.8191,FALSE,TRUE,FALSE
152,2,0.0108,0.9675,TRUE,TRUE,FALSE
153,2,3e-4,0.016,FALSE,TRUE,FALSE
154,1,0.1875,NA,TRUE,NA,FALSE
155,2,0.0217,0.8455,TRUE,TRUE,FALSE
156,2,0.1226,0.0195,TRUE,TRUE,FALSE
157,2,0.4992,0.7057,TRUE,TRUE,FALSE
158,2,1e-4,0,FALSE,FALSE,FALSE
159,1,0.021,NA,TRUE,NA,FALSE
160,1,0.0144,NA,TRUE,NA,FALSE
161,1,0.0148,NA,TRUE,NA,FALSE
162,1,0.0232,NA,TRUE,NA,FALSE
163,1,0.1707,NA,TRUE,NA,FALSE
164,1,0.9125,NA,TRUE,NA,FALSE
165,1,4e-4,NA,FALSE,NA,FALSE
166,2,0.0457,0.0115,TRUE,TRUE,FALSE
167,2,0.5522,0.2322,TRUE,TRUE,FALSE
168,1,0.0126,NA,TRUE,NA,FALSE
169,2,0.0221,0.0776,TRUE,TRUE,FALSE
170,2,0.1275,6e-4,TRUE,FALSE,FALSE
171,2,0,1e-4,FALSE,FALSE,FALSE
172,1,0.646,NA,TRUE,NA,FALSE
173,2,0.33,0.6436,TRUE,TRUE,FALSE
174,2,0.0011,0.004,FALSE,FALSE,FALSE
175,2,0.0048,0.1367,FALSE,TRUE,FALSE
176,1,0.0605,NA,TRUE,NA,FALSE
177,2,0,0.0521,FALSE,TRUE,FALSE
178,1,5e-4,NA,FALSE,NA,FALSE
179,1,0.0021,NA,FALSE,NA,FALSE
180,2,0.059,0.0038,TRUE,FALSE,FALSE
181,2,0.0012,0.205,FALSE,TRUE,FALSE
182,1,0.1516,NA,TRUE,NA,FALSE
183,2,0.0012,0.0056,FALSE,FALSE,FALSE
184,NA,NA,NA,NA,NA,FALSE
185,1,0.0888,NA,TRUE,NA,FALSE
186,1,0.0122,NA,TRUE,NA,FALSE
187,2,0.0019,3e-4,FALSE,FALSE,FALSE
188,2,1e-4,0.2569,FALSE,TRUE,FALSE
189,1,0.4855,NA,TRUE,NA,FALSE
190,1,0.9572,NA,TRUE,NA,FALSE
191,2,0.001,3e-4,FALSE,FALSE,FALSE
192,1,0.0036,NA,FALSE,NA,FALSE
193,1,0.0011,NA,FALSE,NA,FALSE
194,2,0.0224,0.0026,TRUE,FALSE,FALSE
195,2,0,3e-4,FALSE,FALSE,FALSE
196,2,0.0036,0.4876,FALSE,TRUE,FALSE
197,1,0.8273,NA,TRUE,NA,FALSE
198,2,1e-4,0.0096,FALSE,FALSE,FALSE
199,2,0.0058,0.0465,FALSE,TRUE,FALSE
200,2,2e-4,0.0928,FALSE,TRUE,FALSE
201,2,0,0.0136,FALSE,TRUE,FALSE
202,NA,NA,NA,NA,NA,TRUE
203,2,0,0.0286,FALSE,TRUE,FALSE
204,2,0.0013,0.6084,FALSE,TRUE,FALSE
205,2,0.0024,0.7635,FALSE,TRUE,FALSE
206,2,0,0.6191,FALSE,TRUE,FALSE
207,1,0.9336,NA,TRUE,NA,FALSE
208,2,0.0097,0.0834,FALSE,TRUE,FALSE
