Conexao;Conexao;Conexao;Conexao;Conexao;Conexao;;PIB;PIB;PIB;PIB;PIB;PIB;PIB;;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta
region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank
172;1;0.704;NA;1;NA;;172;1;0.5769;NA;1;NA;0;;172;1;0.646;NA;1;NA;0;;172;1;0.673;NA;1;NA;0
173;2;0.017;0.006;1;0;;173;2;0.3786;0.6125;1;1;0;;173;2;0.33;0.6436;1;1;0;;173;2;0.2637;0.4551;1;1;0
174;2;0;0;0;0;;174;2;0.0016;0.0062;0;0;0;;174;2;0.0011;0.004;0;0;0;;174;2;2.00E-04;1.00E-04;0;0;0
175;2;0.003;0.834;0;1;;175;2;0.0658;0.0292;1;1;0;;175;2;0.0048;0.1367;0;1;0;;175;2;1.00E-04;0.6274;0;1;0
176;1;0.006;NA;0;NA;;176;1;0.0737;NA;1;NA;0;;176;1;0.0605;NA;1;NA;0;;176;1;0.008;NA;0;NA;0
177;2;0;0.543;0;1;;177;2;0;0.0217;0;1;0;;177;2;0;0.0521;0;1;0;;177;2;0;0.3582;0;1;0
178;1;0;NA;0;NA;;178;2;3.00E-04;0.0597;0;1;0;;178;1;5.00E-04;NA;0;NA;0;;178;1;0;NA;0;NA;0
179;1;0.069;NA;1;NA;;179;1;0.0011;NA;0;NA;0;;179;1;0.0021;NA;0;NA;0;;179;1;0.0197;NA;1;NA;0
180;2;0.001;0.202;0;1;;180;2;0.0333;9.00E-04;1;0;0;;180;2;0.059;0.0038;1;0;0;;180;2;6.00E-04;0.0296;0;1;0
181;2;0;0.116;0;1;;181;1;0.0369;NA;1;NA;0;;181;2;0.0012;0.205;0;1;0;;181;2;0;0.3158;0;1;0
182;2;0;0.013;0;1;;182;1;0.4153;NA;1;NA;0;;182;1;0.1516;NA;1;NA;0;;182;2;0;0.3165;0;1;0
183;NA;NA;NA;NA;NA;;183;2;0.0054;0.0159;0;1;0;;183;2;0.0012;0.0056;0;0;0;;183;1;3.00E-04;NA;0;NA;0
184;NA;NA;NA;NA;NA;;184;NA;NA;NA;NA;NA;0;;184;NA;NA;NA;NA;NA;0;;184;NA;NA;NA;NA;NA;0
185;NA;NA;NA;NA;NA;;185;NA;NA;NA;NA;NA;0;;185;1;0.0888;NA;1;NA;0;;185;1;0.1569;NA;1;NA;0
186;1;0;NA;0;NA;;186;1;7.00E-04;NA;0;NA;0;;186;1;0.0122;NA;1;NA;0;;186;1;0.0212;NA;1;NA;0
187;1;0;NA;0;NA;;187;1;0.0027;NA;0;NA;0;;187;2;0.0019;3.00E-04;0;0;0;;187;1;0;NA;0;NA;0
188;2;0;0.136;0;1;;188;2;2.00E-04;0.3082;0;1;0;;188;2;1.00E-04;0.2569;0;1;0;;188;2;0;0.1335;0;1;0
189;2;0.23;0.014;1;1;;189;1;0.829;NA;1;NA;0;;189;1;0.4855;NA;1;NA;0;;189;2;0.0681;0.1098;1;1;0
190;1;0.882;NA;1;NA;;190;1;0.9246;NA;1;NA;0;;190;1;0.9572;NA;1;NA;0;;190;1;0.9449;NA;1;NA;0
191;2;0.003;0.093;0;1;;191;2;0.0015;0.0012;0;0;0;;191;2;0.001;3.00E-04;0;0;0;;191;2;0.2401;0.3738;1;1;0
192;1;0.015;NA;1;NA;;192;1;0.0052;NA;0;NA;1;;192;1;0.0036;NA;0;NA;0;;192;1;0.0043;NA;0;NA;0
193;2;0.001;0.297;0;1;;193;1;6.00E-04;NA;0;NA;0;;193;1;0.0011;NA;0;NA;0;;193;1;0.0052;NA;0;NA;0
194;2;0.001;0.811;0;1;;194;2;0.0438;0.0014;1;0;0;;194;2;0.0224;0.0026;1;0;0;;194;2;0.038;0.0387;1;1;0
195;2;0;0.105;0;1;;195;2;1.00E-04;3.00E-04;0;0;0;;195;2;0;3.00E-04;0;0;0;;195;2;0;0.0364;0;1;0
196;2;0;0.208;0;1;;196;2;0.0081;0.3912;0;1;0;;196;2;0.0036;0.4876;0;1;0;;196;2;3.00E-04;0.4483;0;1;0
197;2;0.069;0.034;1;1;;197;1;0.9211;NA;1;NA;0;;197;1;0.8273;NA;1;NA;0;;197;1;0.8277;NA;1;NA;0
198;2;0;0.002;0;0;;198;2;1.00E-04;0.0041;0;0;0;;198;2;1.00E-04;0.0096;0;0;0;;198;2;0;3.00E-04;0;0;0
199;2;0;0.004;0;0;;199;2;0.0222;0.0909;1;1;0;;199;2;0.0058;0.0465;0;1;0;;199;2;0.0013;0.0323;0;1;0
200;2;0.001;0.292;0;1;;200;2;4.00E-04;0.2262;0;1;0;;200;2;2.00E-04;0.0928;0;1;0;;200;2;5.00E-04;0.0408;0;1;0
201;1;0.001;NA;0;NA;;201;2;0;0.009;0;0;0;;201;2;0;0.0136;0;1;0;;201;2;1.00E-04;0.0185;0;1;0
202;1;0.274;NA;1;NA;;202;1;0.8726;NA;1;NA;1;;202;NA;NA;NA;NA;NA;1;;202;1;0.6534;NA;1;NA;1
203;2;0;0.001;0;0;;203;2;0;0.1448;0;1;0;;203;2;0;0.0286;0;1;0;;203;2;0;0;0;0;0
204;2;0.002;0.727;0;1;;204;2;0.0011;0.5493;0;1;0;;204;2;0.0013;0.6084;0;1;0;;204;2;0.0026;0.6035;0;1;0
205;2;0;0.851;0;1;;205;2;0.0026;0.8046;0;1;0;;205;2;0.0024;0.7635;0;1;0;;205;2;0;0.5744;0;1;0
206;2;0;0.529;0;1;;206;2;2.00E-04;0.6508;0;1;0;;206;2;0;0.6191;0;1;0;;206;2;0;0.5;0;1;0
207;2;0;0;0;0;;207;1;0.9612;NA;1;NA;0;;207;1;0.9336;NA;1;NA;0;;207;1;0.3054;NA;1;NA;0
208;2;0;0.031;0;1;;208;2;0.0093;0.0633;0;1;0;;208;2;0.0097;0.0834;0;1;0;;208;2;0;0.0013;0;0;0
209;2;0.003;0.005;0;0;;209;2;0.0015;0.3889;0;1;0;;209;2;0.0019;0.3651;0;1;0;;209;2;0.0037;0.1643;0;1;0
210;2;0.002;0.423;0;1;;210;2;0.0145;0.1726;1;1;0;;210;2;0.0085;0.2518;0;1;0;;210;2;0.0054;0.1709;0;1;0
211;2;0.004;0.481;0;1;;211;1;0.269;NA;1;NA;0;;211;2;0.029;0.6276;1;1;0;;211;2;0.0149;0.5788;1;1;0
212;2;0.02;0;1;0;;212;2;0.0047;0.0013;0;0;0;;212;2;0.0057;8.00E-04;0;0;0;;212;2;0.0169;2.00E-04;1;0;0
213;2;0.05;0.005;1;0;;213;2;0.3712;0.0216;1;1;0;;213;2;0.5273;0.0307;1;1;0;;213;2;0.3302;0.0292;1;1;0
214;2;0;0.028;0;1;;214;1;0.2731;NA;1;NA;0;;214;1;0.7046;NA;1;NA;0;;214;1;0.7843;NA;1;NA;0
215;2;0;0.417;0;1;;215;2;0.2095;0.4677;1;1;0;;215;2;0.131;0.3405;1;1;0;;215;2;0.0085;0.2213;0;1;0
216;2;0;0.095;0;1;;216;2;0;0.006;0;0;0;;216;2;0;0.0707;0;1;0;;216;2;0;0.1533;0;1;0
217;1;0;NA;0;NA;;217;1;0.0016;NA;0;NA;0;;217;1;4.00E-04;NA;0;NA;0;;217;1;0.0058;NA;0;NA;0
218;2;0;0.001;0;0;;218;2;5.00E-04;0.0019;0;0;0;;218;2;5.00E-04;0.0019;0;0;0;;218;2;4.00E-04;0.0017;0;0;0
219;1;0;NA;0;NA;;219;1;0.2006;NA;1;NA;0;;219;1;0.167;NA;1;NA;0;;219;1;0.4898;NA;1;NA;0
220;2;0.029;0.246;1;1;;220;2;0;0.0023;0;0;0;;220;2;0;0.0239;0;1;0;;220;2;2.00E-04;0.0364;0;1;0
221;NA;NA;NA;NA;NA;;221;1;0.7177;NA;1;NA;1;;221;NA;NA;NA;NA;NA;1;;221;1;0.2166;NA;1;NA;0
222;1;0.648;NA;1;NA;;222;1;0.3698;NA;1;NA;0;;222;1;0.2322;NA;1;NA;0;;222;1;0.0661;NA;1;NA;0
223;1;0.385;NA;1;NA;;223;2;0.0371;0.0046;1;0;0;;223;2;0.0495;0.0052;1;0;0;;223;2;0.0238;0.0289;1;1;0
224;1;0.766;NA;1;NA;;224;2;0.0319;0.2264;1;1;0;;224;2;0.0513;0.3819;1;1;0;;224;2;0.0539;0.4013;1;1;0
225;NA;NA;NA;NA;NA;;225;2;0.001;0.4428;0;1;0;;225;1;0.0433;NA;1;NA;0;;225;1;0;NA;0;NA;0
226;2;0.001;0.102;0;1;;226;2;2.00E-04;0.5677;0;1;0;;226;2;1.00E-04;0.5334;0;1;0;;226;2;0;0.3143;0;1;0
227;NA;NA;NA;NA;NA;;227;1;0.0934;NA;1;NA;1;;227;NA;NA;NA;NA;NA;1;;227;1;0.181;NA;1;NA;1
228;2;0;0.04;0;1;;228;1;0.5138;NA;1;NA;1;;228;1;0.345;NA;1;NA;0;;228;2;1.00E-04;0.0354;0;1;0
229;2;0.039;0.469;1;1;;229;1;0.0541;NA;1;NA;0;;229;1;0.1035;NA;1;NA;0;;229;2;0.014;0.3308;1;1;0
230;2;0;0;0;0;;230;2;0.0358;0.013;1;1;0;;230;2;0.1147;0.0217;1;1;0;;230;2;0.3328;0.0704;1;1;0
231;2;0.006;0.026;0;1;;231;2;2.00E-04;0.0121;0;1;0;;231;2;0.0012;0.0058;0;0;0;;231;2;0.0115;0.004;1;0;0
232;2;0;0;0;0;;232;2;0.0579;0.2711;1;1;0;;232;2;0.0426;0.1653;1;1;0;;232;2;4.00E-04;0.0135;0;1;0
233;1;0.047;NA;1;NA;;233;1;0.0052;NA;0;NA;0;;233;1;0.0056;NA;0;NA;0;;233;1;0.0046;NA;0;NA;0
234;1;0.001;NA;0;NA;;234;1;0.0128;NA;1;NA;0;;234;1;0.0035;NA;0;NA;0;;234;1;0.002;NA;0;NA;0
235;1;0.007;NA;0;NA;;235;2;1.00E-04;0.0458;0;1;0;;235;1;0.0251;NA;1;NA;0;;235;1;0.1146;NA;1;NA;0
236;1;0.009;NA;0;NA;;236;1;0.4115;NA;1;NA;0;;236;1;0.3335;NA;1;NA;0;;236;1;0.2108;NA;1;NA;0
237;NA;NA;NA;NA;NA;;237;1;5.00E-04;NA;0;NA;0;;237;1;7.00E-04;NA;0;NA;0;;237;1;0.0087;NA;0;NA;0
238;2;0.008;0.008;0;0;;238;2;0;0.0114;0;1;0;;238;2;2.00E-04;0.0043;0;0;0;;238;2;0.0094;0.0057;0;0;0
239;2;0.006;0.088;0;1;;239;2;0.1205;0.1927;1;1;0;;239;2;0.2392;0.2661;1;1;0;;239;2;0.234;0.0986;1;1;0
240;2;0;0.157;0;1;;240;1;0.1044;NA;1;NA;0;;240;1;0.0557;NA;1;NA;0;;240;1;0;NA;0;NA;0
241;2;0;0.273;0;1;;241;1;0.4489;NA;1;NA;0;;241;2;4.00E-04;0.3799;0;1;0;;241;2;2.00E-04;0.1476;0;1;0
242;1;0.002;NA;0;NA;;242;2;2.00E-04;0.0011;0;0;0;;242;2;2.00E-04;0.0014;0;0;0;;242;2;1.00E-04;0.0041;0;0;0
243;2;0;0.737;0;1;;243;2;0.0022;0.6993;0;1;0;;243;2;5.00E-04;0.8884;0;1;0;;243;2;4.00E-04;0.6784;0;1;0
244;2;0.001;0.532;0;1;;244;1;0.8835;NA;1;NA;0;;244;1;0.9795;NA;1;NA;0;;244;2;0.0018;0.3417;0;1;0
245;2;0.019;0.015;1;1;;245;2;4.00E-04;0.0272;0;1;0;;245;2;0.0095;0.0288;0;1;0;;245;2;0.0353;0.0249;1;1;0
246;2;0.003;0.326;0;1;;246;2;0.0026;0.1879;0;1;0;;246;2;4.00E-04;0.2605;0;1;0;;246;2;6.00E-04;0.2799;0;1;0
247;NA;NA;NA;NA;NA;;247;2;6.00E-04;0.022;0;1;0;;247;2;4.00E-04;0.0139;0;1;0;;247;2;1.00E-04;0.0069;0;0;0
248;2;0.015;0.076;1;1;;248;2;0.0187;0.4771;1;1;0;;248;2;0.0071;0.4093;0;1;0;;248;2;0.0134;0.3042;1;1;0
249;2;0;0.062;0;1;;249;2;0.0229;0.7427;1;1;0;;249;2;0.0078;0.8573;0;1;0;;249;2;2.00E-04;0.3315;0;1;0
250;2;0;0.003;0;0;;250;1;0.6556;NA;1;NA;0;;250;1;0.3295;NA;1;NA;0;;250;2;1.00E-04;0.0027;0;0;0
251;2;0.001;0.647;0;1;;251;1;0.8196;NA;1;NA;0;;251;1;0.755;NA;1;NA;0;;251;2;0;0.658;0;1;0
252;2;0;0.714;0;1;;252;2;0.0038;0.69;0;1;0;;252;2;0.0028;0.9347;0;1;0;;252;2;1.00E-04;0.7922;0;1;0
253;2;0;0.397;0;1;;253;2;0.0079;0.6238;0;1;0;;253;2;0.0071;0.6821;0;1;0;;253;2;0;0.3356;0;1;0
254;2;0.001;0.051;0;1;;254;1;0;NA;0;NA;0;;254;1;0;NA;0;NA;0;;254;1;2.00E-04;NA;0;NA;0
255;2;0;0.021;0;1;;255;2;0.0026;0.1319;0;1;0;;255;2;7.00E-04;0.1242;0;1;0;;255;2;0;0.3415;0;1;0
256;2;0;0.027;0;1;;256;2;0;0.0028;0;0;0;;256;2;0;0.0022;0;0;0;;256;2;0;0.0669;0;1;0
257;2;0.002;0.394;0;1;;257;2;0.0018;0.0876;0;1;0;;257;2;0.0022;0.0947;0;1;0;;257;2;0.0017;0.0365;0;1;0
258;2;0;0.071;0;1;;258;2;1.00E-04;0.053;0;1;0;;258;2;0;0.0318;0;1;0;;258;2;0;0.279;0;1;0
259;2;0;0.006;0;0;;259;2;9.00E-04;0.0065;0;0;0;;259;2;1.00E-04;0.0077;0;0;0;;259;2;0;0.0092;0;0;0
260;2;0.002;0.194;0;1;;260;2;0.0424;0.3895;1;1;0;;260;2;0.0246;0.5836;1;1;0;;260;2;0;0.2295;0;1;0
261;2;0;0.352;0;1;;261;1;0.0109;NA;1;NA;0;;261;1;0.0095;NA;0;NA;0;;261;2;0;0.0826;0;1;0
262;2;0.002;0.203;0;1;;262;2;2.00E-04;0.1116;0;1;0;;262;2;1.00E-04;0.1058;0;1;0;;262;2;9.00E-04;0.2379;0;1;0
263;1;0;NA;0;NA;;263;1;0.0033;NA;0;NA;0;;263;1;0.0012;NA;0;NA;0;;263;1;0;NA;0;NA;0
264;2;0;0.013;0;1;;264;2;1.00E-04;0.008;0;0;0;;264;2;0;0.0086;0;0;0;;264;2;0;0.0015;0;0;0
265;2;0;0.011;0;1;;265;2;0;6.00E-04;0;0;0;;265;2;0;4.00E-04;0;0;0;;265;2;0;4.00E-04;0;0;0
266;2;0;0.191;0;1;;266;2;0.0076;0.1062;0;1;0;;266;2;0.0054;0.1687;0;1;0;;266;2;0;0.3769;0;1;0
267;2;0;0.559;0;1;;267;2;0.0048;0.7427;0;1;0;;267;2;0.0018;0.7926;0;1;0;;267;2;0;0.5192;0;1;0
268;2;0;0.011;0;1;;268;1;0.0133;NA;1;NA;0;;268;2;0.001;0.101;0;1;0;;268;2;5.00E-04;0.0732;0;1;0
269;2;0.001;0.024;0;1;;269;1;0.4779;NA;1;NA;0;;269;1;0.3954;NA;1;NA;0;;269;2;0.0388;0.5802;1;1;0
270;2;0;0.569;0;1;;270;1;0.506;NA;1;NA;0;;270;1;0.3937;NA;1;NA;0;;270;2;3.00E-04;0.6042;0;1;0
271;2;0;0;0;0;;271;2;1.00E-04;0.1084;0;1;0;;271;2;0;0.0395;0;1;0;;271;2;0;2.00E-04;0;0;0
272;2;0.009;0.898;0;1;;272;2;8.00E-04;0.5854;0;1;0;;272;2;4.00E-04;0.4815;0;1;0;;272;2;1.00E-04;0.6044;0;1;0
273;2;0;0.958;0;1;;273;2;3.00E-04;0.2095;0;1;0;;273;2;1.00E-04;0.2368;0;1;0;;273;2;0;0.9435;0;1;0
274;2;0;0.002;0;0;;274;2;0.0013;0.1996;0;1;0;;274;2;2.00E-04;0.1076;0;1;0;;274;2;0;0.0147;0;1;0
275;2;0;0.256;0;1;;275;2;1.00E-04;0.0685;0;1;0;;275;2;0;0.0582;0;1;0;;275;2;0;0.2057;0;1;0
276;2;0.006;0.763;0;1;;276;2;0.0134;0.4576;1;1;0;;276;2;0.0174;0.5653;1;1;0;;276;2;0;0.1902;0;1;0
277;1;0.001;NA;0;NA;;277;1;0.0124;NA;1;NA;0;;277;1;0.007;NA;0;NA;0;;277;2;0.0043;0.0485;0;1;0
278;2;0;0.028;0;1;;278;2;0.1847;0.7744;1;1;0;;278;2;0.056;0.7963;1;1;0;;278;1;0;NA;0;NA;0
279;2;0.011;0.221;1;1;;279;2;0.1272;0.478;1;1;0;;279;2;0.0447;0.6205;1;1;0;;279;2;0.0291;0.392;1;1;0
280;2;0.004;0.002;0;0;;280;2;0.0019;0.1135;0;1;0;;280;2;0.0023;0.1038;0;1;0;;280;2;0.0138;0.0202;1;1;0
281;2;0.014;0.683;1;1;;281;2;0.0339;0.7486;1;1;0;;281;2;0.0362;0.8306;1;1;0;;281;2;0.0014;0.5117;0;1;0
282;1;0.002;NA;0;NA;;282;2;1.00E-04;0.0104;0;1;0;;282;2;1.00E-04;0.0148;0;1;0;;282;2;1.00E-04;0.0081;0;0;0
283;2;0.005;0.016;0;1;;283;2;0.0982;0.2574;1;1;0;;283;2;0.0508;0.2234;1;1;0;;283;2;0.0017;0.0235;0;1;0
284;2;0;0.272;0;1;;284;2;0.0211;0.028;1;1;0;;284;2;0.0131;0.0241;1;1;0;;284;2;0.0018;0.0262;0;1;0
285;2;0.001;0.006;0;0;;285;2;0.0071;0.0309;0;1;0;;285;2;0.0061;0.0257;0;1;0;;285;2;0;5.00E-04;0;0;0
286;2;0.003;0.078;0;1;;286;2;0.0096;0.3004;0;1;0;;286;2;0.0042;0.3284;0;1;0;;286;2;1.00E-04;0.1365;0;1;0
287;1;0;NA;0;NA;;287;2;0.0012;0.2703;0;1;0;;287;2;0.001;0.3437;0;1;0;;287;1;2.00E-04;NA;0;NA;0
288;1;0;NA;0;NA;;288;1;0.0076;NA;0;NA;1;;288;NA;NA;NA;NA;NA;1;;288;1;0;NA;0;NA;0
289;2;0;0;0;0;;289;2;0;3.00E-04;0;0;0;;289;2;0;1.00E-04;0;0;0;;289;2;0;5.00E-04;0;0;0
290;2;0;0.002;0;0;;290;2;0.0044;0.2368;0;1;0;;290;2;0.0033;0.3117;0;1;0;;290;2;0;0.0603;0;1;0
291;2;0;0.149;0;1;;291;2;1.00E-04;0.3096;0;1;0;;291;2;0;0.3046;0;1;0;;291;2;0;0.1461;0;1;0
292;2;0;0.014;0;1;;292;2;4.00E-04;0.4031;0;1;0;;292;2;3.00E-04;0.306;0;1;0;;292;2;0;0.0252;0;1;0
293;2;0;0.013;0;1;;293;1;0.0501;NA;1;NA;0;;293;1;0.0218;NA;1;NA;0;;293;2;0;0.0024;0;0;0
294;2;0;0.033;0;1;;294;2;0.0088;0.3294;0;1;0;;294;2;0.0033;0.2164;0;1;0;;294;2;0;0.027;0;1;0
295;2;0;0.176;0;1;;295;1;0.1675;NA;1;NA;0;;295;1;0.0623;NA;1;NA;0;;295;2;0;0.5052;0;1;0
296;2;0;0;0;0;;296;2;0;1.00E-04;0;0;0;;296;2;0;1.00E-04;0;0;0;;296;2;0;1.00E-04;0;0;0
297;2;0.012;0.308;1;1;;297;2;0.015;0.1595;1;1;0;;297;2;0.0178;0.1365;1;1;0;;297;2;0.0011;0.3303;0;1;0
298;2;0;0;0;0;;298;2;0.0157;0.0082;1;0;0;;298;2;0.0115;0.0027;1;0;0;;298;2;2.00E-04;1.00E-04;0;0;0
299;2;0.026;0.181;1;1;;299;2;0.189;0.3147;1;1;0;;299;2;0.1194;0.3004;1;1;0;;299;2;0.0843;0.6351;1;1;0
300;2;0.012;0.866;1;1;;300;2;7.00E-04;0.3231;0;1;0;;300;2;8.00E-04;0.3242;0;1;0;;300;2;5.00E-04;0.4083;0;1;0
301;2;0.003;0.798;0;1;;301;2;0.0289;0.0619;1;1;0;;301;2;0.0226;0.0293;1;1;0;;301;2;0.0485;0.1309;1;1;0
302;2;0;0.018;0;1;;302;2;0.0295;0.0563;1;1;0;;302;2;0.0088;0.0324;0;1;0;;302;2;0;0.0108;0;1;0
303;2;0.003;0.432;0;1;;303;2;0.0926;0.0195;1;1;0;;303;2;0.0696;0.0244;1;1;0;;303;2;0.0149;0.1634;1;1;0
304;2;0.001;0.029;0;1;;304;2;0.0104;0.166;1;1;0;;304;2;0.0035;0.1378;0;1;0;;304;2;1.00E-04;0.0797;0;1;0
305;1;0;NA;0;NA;;305;1;0.2657;NA;1;NA;0;;305;2;0.0069;0.331;0;1;0;;305;2;8.00E-04;0.1011;0;1;0
306;2;0;0.001;0;0;;306;2;0;0;0;0;0;;306;2;0;1.00E-04;0;0;0;;306;2;0;0.004;0;0;0
307;2;0.013;0.648;1;1;;307;2;0.04;0.4375;1;1;0;;307;2;0.0368;0.441;1;1;0;;307;2;0.0089;0.2007;0;1;0
308;2;0;0.003;0;0;;308;1;0.3515;NA;1;NA;0;;308;1;0.3386;NA;1;NA;0;;308;2;0;3.00E-04;0;0;0
309;2;0;0.008;0;0;;309;2;0.0017;0.0432;0;1;0;;309;2;7.00E-04;0.0293;0;1;0;;309;1;1.00E-04;NA;0;NA;0
310;2;0;0.014;0;1;;310;2;0.0644;0.0382;1;1;0;;310;2;0.03;0.0422;1;1;0;;310;2;3.00E-04;0.0552;0;1;0
311;2;0.057;0.971;1;1;;311;2;0.1176;0.3769;1;1;0;;311;2;0.1032;0.3545;1;1;0;;311;2;0.0116;0.929;1;1;0
312;2;0.001;0.067;0;1;;312;2;0.0236;0.8656;1;1;0;;312;2;0.0209;0.7439;1;1;0;;312;2;2.00E-04;0.0968;0;1;0
313;2;0;0.002;0;0;;313;2;1.00E-04;0.0394;0;1;0;;313;1;0.0078;NA;0;NA;0;;313;2;0;0.0655;0;1;0
314;2;0;0.021;0;1;;314;2;1.00E-04;0.4662;0;1;0;;314;2;2.00E-04;0.3189;0;1;0;;314;2;0;0.0082;0;0;0
315;2;0.008;0.426;0;1;;315;2;0.0669;0.2106;1;1;0;;315;2;0.0636;0.2296;1;1;0;;315;2;0.0178;0.6472;1;1;0
316;2;0;0.539;0;1;;316;2;0.0048;0.3741;0;1;0;;316;2;0.0043;0.5976;0;1;0;;316;2;0;0.7532;0;1;0
317;2;0;0.257;0;1;;317;2;0.0016;0.72;0;1;0;;317;2;0.0019;0.6859;0;1;0;;317;2;0;0.6972;0;1;0
318;2;0.001;0.403;0;1;;318;2;0.0316;0.2616;1;1;0;;318;2;0.0145;0.331;1;1;0;;318;2;5.00E-04;0.4703;0;1;0
319;2;0.001;0.012;0;1;;319;2;0.2054;0.0102;1;1;0;;319;2;0.1664;0.0119;1;1;0;;319;2;0.0094;0.0015;0;0;0
320;2;0;0;0;0;;320;2;0;0;0;0;0;;320;2;0;0;0;0;0;;320;2;0;0;0;0;0
321;2;0;0.245;0;1;;321;2;2.00E-04;0.9229;0;1;0;;321;2;1.00E-04;0.8731;0;1;0;;321;2;0;0.0534;0;1;0
322;2;0;0.788;0;1;;322;2;2.00E-04;0.7251;0;1;0;;322;2;2.00E-04;0.702;0;1;0;;322;2;1.00E-04;0.6649;0;1;0
323;1;0.054;NA;1;NA;;323;1;0.0689;NA;1;NA;0;;323;1;0.0852;NA;1;NA;0;;323;1;0.2952;NA;1;NA;0
324;1;0;NA;0;NA;;324;1;0.0789;NA;1;NA;0;;324;1;0.1019;NA;1;NA;0;;324;1;2.00E-04;NA;0;NA;0
325;2;0.003;0.24;0;1;;325;2;6.00E-04;0.0976;0;1;0;;325;2;5.00E-04;0.0757;0;1;0;;325;2;0.0013;0.0963;0;1;0
326;1;0.205;NA;1;NA;;326;2;0.0076;0.6618;0;1;0;;326;2;0.0068;0.7935;0;1;0;;326;2;0.0075;0.6375;0;1;0
327;1;0.978;NA;1;NA;;327;2;1.00E-04;0.4213;0;1;0;;327;2;1.00E-04;0.3826;0;1;0;;327;2;0.0012;0.2329;0;1;0
328;2;0;0.135;0;1;;328;2;2.00E-04;7.00E-04;0;0;0;;328;2;2.00E-04;8.00E-04;0;0;0;;328;2;1.00E-04;0.0455;0;1;0
329;2;0.002;0.72;0;1;;329;2;6.00E-04;0.2974;0;1;0;;329;2;2.00E-04;0.3295;0;1;0;;329;2;0;0.2588;0;1;0
330;2;0;0;0;0;;330;2;0.1041;0.7901;1;1;0;;330;2;0.0275;0.7929;1;1;0;;330;2;0;0.3755;0;1;0
331;2;0.002;0.377;0;1;;331;2;0.0066;0.3065;0;1;0;;331;2;0.0068;0.334;0;1;0;;331;2;0.0043;0.4155;0;1;0
332;2;0.002;0.303;0;1;;332;2;0.0119;0.1552;1;1;0;;332;2;0.0123;0.2006;1;1;0;;332;2;0.0433;0.0896;1;1;0
333;2;0;0.039;0;1;;333;2;0.0029;0.0038;0;0;0;;333;2;0.0012;0.0066;0;0;0;;333;2;0;0.0211;0;1;0
334;1;0.005;NA;0;NA;;334;1;0.0046;NA;0;NA;0;;334;1;0.0026;NA;0;NA;0;;334;2;0.0016;0.013;0;1;0
335;1;0.003;NA;0;NA;;335;2;0.0265;0.6318;1;1;0;;335;2;0.0305;0.5232;1;1;0;;335;2;0.0349;0.108;1;1;0
336;2;0;0.688;0;1;;336;2;8.00E-04;0.0078;0;0;0;;336;2;5.00E-04;0.0238;0;1;0;;336;2;0;0.2406;0;1;0
337;2;0.001;0.525;0;1;;337;2;8.00E-04;0.3161;0;1;0;;337;2;8.00E-04;0.3103;0;1;0;;337;2;7.00E-04;0.5662;0;1;0
338;2;0;0.118;0;1;;338;2;2.00E-04;0.2263;0;1;0;;338;2;2.00E-04;0.2337;0;1;0;;338;2;2.00E-04;0.1013;0;1;0
339;1;0.015;NA;1;NA;;339;2;3.00E-04;0.009;0;0;0;;339;2;1.00E-04;0.0061;0;0;0;;339;2;1.00E-04;0.0052;0;0;0
340;2;0;0.197;0;1;;340;1;0.1316;NA;1;NA;0;;340;1;0.1229;NA;1;NA;0;;340;1;0.0937;NA;1;NA;0
341;2;0;0.074;0;1;;341;2;0.001;0.0894;0;1;0;;341;2;2.00E-04;0.082;0;1;0;;341;2;0;0.0408;0;1;0
342;2;0.003;0.006;0;0;;342;2;0.0043;0.0259;0;1;0;;342;2;0.0021;0.0223;0;1;0;;342;2;0;1.00E-04;0;0;0
343;1;0.085;NA;1;NA;;343;1;0.0052;NA;0;NA;0;;343;1;0.0054;NA;0;NA;0;;343;1;0.0134;NA;1;NA;0
344;2;0.022;0.063;1;1;;344;2;0.0011;0.0045;0;0;0;;344;2;0.0015;0.0051;0;0;0;;344;2;0.0028;0.0512;0;1;0
345;2;0.001;0.43;0;1;;345;2;0;0.0846;0;1;0;;345;2;0;0.0752;0;1;0;;345;2;0;0.0148;0;1;0
346;2;0.014;0.052;1;1;;346;2;0;4.00E-04;0;0;0;;346;2;0;4.00E-04;0;0;0;;346;2;6.00E-04;0.0104;0;1;0
347;2;0;0.115;0;1;;347;1;0.1161;NA;1;NA;0;;347;1;0.0579;NA;1;NA;0;;347;2;0;0.3111;0;1;0
348;1;0.058;NA;1;NA;;348;1;0.0804;NA;1;NA;0;;348;1;0.0832;NA;1;NA;0;;348;1;0.0572;NA;1;NA;0
349;2;0;0.04;0;1;;349;2;0;0.0033;0;0;0;;349;2;0;0.0029;0;0;0;;349;2;0;0.0095;0;0;0
