Conexao;Conexao;Conexao;Conexao;Conexao;Conexao;;PIB;PIB;PIB;PIB;PIB;PIB;PIB;;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;Populacao;;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta;Pib per capta
region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank;;region;rank;A_test;AB_test;A_test_Logical;AB_test_Logical;Zero_Rank
39;2;0.009;0.18;0;1;;39;2;0.007;0.1776;0;1;0;;39;2;0.0115;0.1726;1;1;0;;39;2;0.0205;0.152;1;1;0
40;2;0;0.002;0;0;;40;1;0.0895;NA;1;NA;0;;40;1;0.0802;NA;1;NA;0;;40;1;0.0867;NA;1;NA;0
41;1;0.377;NA;1;NA;;41;2;4.00E-04;0.0653;0;1;0;;41;2;4.00E-04;0.0278;0;1;0;;41;2;2.00E-04;0.0116;0;1;0
42;2;0;0.205;0;1;;42;2;1.00E-04;0.5728;0;1;0;;42;2;9.00E-04;0.6668;0;1;0;;42;2;0;0.2676;0;1;0
43;1;0.002;NA;0;NA;;43;1;0.0018;NA;0;NA;0;;43;1;0.0039;NA;0;NA;0;;43;NA;NA;NA;NA;NA;0
44;2;0;0;0;0;;44;2;5.00E-04;0.003;0;0;0;;44;1;0.0064;NA;0;NA;0;;44;1;0.093;NA;1;NA;0
45;2;0;0.018;0;1;;45;2;0.1034;0.1898;1;1;0;;45;2;0.0949;0.3216;1;1;0;;45;2;0.0019;0.5596;0;1;0
46;1;0;NA;0;NA;;46;2;0.0144;0.3774;1;1;0;;46;2;0.0114;0.3714;1;1;0;;46;1;0.1405;NA;1;NA;0
47;2;0;0.006;0;0;;47;2;1.00E-04;0.0606;0;1;0;;47;2;1.00E-04;0.0147;0;1;0;;47;1;0.4275;NA;1;NA;0
48;2;0;0.021;0;1;;48;2;5.00E-04;0.2251;0;1;0;;48;2;0.001;0.1632;0;1;0;;48;2;1.00E-04;0.1875;0;1;0
49;1;0.043;NA;1;NA;;49;1;0.003;NA;0;NA;0;;49;1;0.0014;NA;0;NA;0;;49;1;0.0029;NA;0;NA;0
50;1;0.147;NA;1;NA;;50;2;0.0153;0.0234;1;1;0;;50;2;0.0158;0.052;1;1;0;;50;2;0.0017;0.0557;0;1;0
51;1;0;NA;0;NA;;51;NA;NA;NA;NA;NA;0;;51;2;0;0.0923;0;1;0;;51;1;0;NA;0;NA;0
52;2;0;0.149;0;1;;52;NA;NA;NA;NA;NA;0;;52;NA;NA;NA;NA;NA;1;;52;1;0.094;NA;1;NA;0
53;2;0.076;0.324;1;1;;53;2;0.0438;0.0207;1;1;0;;53;2;0.0536;0.0247;1;1;0;;53;2;0.0531;0.0433;1;1;0
54;2;0.129;0.994;1;1;;54;2;0.0041;0.1491;0;1;0;;54;2;0.0041;0.1398;0;1;0;;54;2;0.0252;0.3565;1;1;0
55;2;0.019;0.338;1;1;;55;2;0.012;0.4592;1;1;0;;55;2;0.0121;0.4589;1;1;0;;55;2;0.0148;0.4509;1;1;0
56;2;0.1;0.108;1;1;;56;2;0.0165;0.6993;1;1;0;;56;1;0.8538;NA;1;NA;0;;56;1;0.5363;NA;1;NA;0
57;1;0.023;NA;1;NA;;57;1;0.0091;NA;0;NA;0;;57;1;0.0176;NA;1;NA;0;;57;1;0.2583;NA;1;NA;0
58;1;0.003;NA;0;NA;;58;1;0.0202;NA;1;NA;0;;58;1;0.0213;NA;1;NA;0;;58;1;0.0056;NA;0;NA;0
59;NA;NA;NA;NA;NA;;59;1;0.5165;NA;1;NA;0;;59;1;0.6259;NA;1;NA;0;;59;1;0.3202;NA;1;NA;0
60;1;0.76;NA;1;NA;;60;2;7.00E-04;0.6718;0;1;0;;60;2;0.002;0.695;0;1;0;;60;2;0.0163;0.4072;1;1;0
61;2;0;0.365;0;1;;61;1;0.1969;NA;1;NA;0;;61;1;0.1453;NA;1;NA;0;;61;2;0.0013;0.6258;0;1;0
62;1;0.004;NA;0;NA;;62;1;0.0039;NA;0;NA;0;;62;1;0.0023;NA;0;NA;0;;62;1;0.0641;NA;1;NA;0
63;1;0.011;NA;1;NA;;63;NA;NA;NA;NA;NA;0;;63;NA;NA;NA;NA;NA;0;;63;NA;NA;NA;NA;NA;0
64;1;0.655;NA;1;NA;;64;1;0.2698;NA;1;NA;0;;64;1;0.2413;NA;1;NA;0;;64;1;0.4696;NA;1;NA;0
65;2;0.079;0.137;1;1;;65;1;0.0075;NA;0;NA;0;;65;1;0.0054;NA;0;NA;0;;65;1;0.1279;NA;1;NA;0
66;1;0.003;NA;0;NA;;66;2;0.0097;0.0183;0;1;0;;66;2;0.0289;0.013;1;1;0;;66;2;0.0168;0.0063;1;0;0
67;1;0.722;NA;1;NA;;67;2;0.2123;4.00E-04;1;0;0;;67;2;0.1246;9.00E-04;1;0;0;;67;2;0.0959;0.0016;1;0;0
68;1;0.367;NA;1;NA;;68;1;0.4428;NA;1;NA;0;;68;1;0.3932;NA;1;NA;0;;68;1;0.4661;NA;1;NA;0
69;1;0.076;NA;1;NA;;69;1;6.00E-04;NA;0;NA;0;;69;1;0.0038;NA;0;NA;0;;69;1;0.568;NA;1;NA;0
70;2;0.006;0.247;0;1;;70;2;0.0148;0.0628;1;1;0;;70;2;0.0542;0.0638;1;1;0;;70;2;0.0035;0.2387;0;1;0
71;1;0.091;NA;1;NA;;71;1;9.00E-04;NA;0;NA;0;;71;1;0.001;NA;0;NA;0;;71;1;0.001;NA;0;NA;0
72;2;0;0.322;0;1;;72;1;0.1169;NA;1;NA;0;;72;1;0.0493;NA;1;NA;0;;72;1;0.0015;NA;0;NA;0
73;1;0.361;NA;1;NA;;73;1;0.2309;NA;1;NA;0;;73;1;0.2854;NA;1;NA;0;;73;1;0.6038;NA;1;NA;0
74;NA;NA;NA;NA;NA;;74;1;0.1135;NA;1;NA;0;;74;1;0.1726;NA;1;NA;0;;74;1;0.0108;NA;1;NA;0
75;1;0.055;NA;1;NA;;75;1;0.1427;NA;1;NA;0;;75;1;0.1056;NA;1;NA;0;;75;2;1.00E-04;0.005;0;0;0
76;2;0.004;0.116;0;1;;76;2;0.0058;0.0144;0;1;0;;76;2;0.0054;0.0278;0;1;0;;76;2;0.018;0.0329;1;1;0
77;NA;NA;NA;NA;NA;;77;NA;NA;NA;NA;NA;0;;77;1;0.4749;NA;1;NA;0;;77;1;0.465;NA;1;NA;0
78;1;0.849;NA;1;NA;;78;1;0.8015;NA;1;NA;0;;78;1;0.6634;NA;1;NA;0;;78;2;0;0.0152;0;1;0
79;2;0.004;0;0;0;;79;2;0.0061;1.00E-04;0;0;0;;79;2;0.0047;0;0;0;0;;79;2;0.0064;0.0011;0;0;0
80;2;0.386;0.77;1;1;;80;2;0.4892;0.3133;1;1;0;;80;2;0.3759;0.2655;1;1;0;;80;2;0.0094;0.6102;0;1;0
81;NA;NA;NA;NA;NA;;81;NA;NA;NA;NA;NA;0;;81;NA;NA;NA;NA;NA;0;;81;NA;NA;NA;NA;NA;0
82;2;0.442;0.926;1;1;;82;1;0.2717;NA;1;NA;0;;82;1;0.3878;NA;1;NA;0;;82;2;0.0807;0.3885;1;1;0
83;1;0.001;NA;0;NA;;83;1;0.0428;NA;1;NA;0;;83;1;0.0044;NA;0;NA;0;;83;1;7.00E-04;NA;0;NA;0
84;2;0;0.055;0;1;;84;2;3.00E-04;0.206;0;1;0;;84;2;2.00E-04;0.2063;0;1;0;;84;2;1.00E-04;0.2086;0;1;0
85;2;0.009;0.01;0;0;;85;2;0.0154;0.0416;1;1;0;;85;2;0.0141;0.0114;1;1;0;;85;2;0.025;7.00E-04;1;0;0
86;1;0.015;NA;1;NA;;86;1;0.0099;NA;0;NA;0;;86;1;0.0107;NA;1;NA;0;;86;1;0.0134;NA;1;NA;0
87;1;0;NA;0;NA;;87;1;9.00E-04;NA;0;NA;0;;87;1;6.00E-04;NA;0;NA;0;;87;1;0.001;NA;0;NA;0
88;2;0;0;0;0;;88;1;0.431;NA;1;NA;0;;88;2;0.0038;0.2161;0;1;0;;88;2;1.00E-04;0.0215;0;1;0
