data,valor,ln_cambio
1995-01-01,72.1,4.278054044290903
1995-02-01,71.63,4.27151398062636
1995-03-01,76.62,4.338858139272503
1995-04-01,77.91,4.355554314342767
1995-05-01,74.72,4.313747793920587
1995-06-01,74.8,4.314817884980432
1995-07-01,74.47,4.310396359722554
1995-08-01,73.27,4.294151248171873
1995-09-01,72.93,4.289500076996142
1995-10-01,73.26,4.294014757350668
1995-11-01,73.97,4.303659605599776
1995-12-01,71.08,4.263806003286451
1996-01-01,70.32,4.253056253376921
1996-02-01,70.3,4.252771798816619
1996-03-01,70.35,4.253482783560398
1996-04-01,69.62,4.243051882383293
1996-05-01,69.08,4.235265253278478
1996-06-01,68.71,4.229894749042985
1996-07-01,68.74,4.230331271421687
1996-08-01,69.44,4.240463070352095
1996-09-01,69.35,4.239166146760841
1996-10-01,69.36,4.239310332472287
1996-11-01,69.94,4.24763773163523
1996-12-01,69.53,4.2417583141109265
1997-01-01,68.35,4.224641563169959
1997-02-01,67.35,4.209902902856373
1997-03-01,67.06,4.205587741038083
1997-04-01,66.56,4.198103796512953
1997-05-01,67.43,4.2110900227464905
1997-06-01,67.4,4.210645017918261
1997-07-01,66.97,4.204244757921959
1997-08-01,66.66,4.199605072879594
1997-09-01,67.64,4.21419952403038
1997-10-01,68.54,4.2274175164464625
1997-11-01,68.87,4.232220669556607
1997-12-01,68.19,4.222297926532561
1998-01-01,67.51,4.21227573505378
1998-02-01,67.94,4.218624962732438
1998-03-01,67.86,4.2174467593560845
1998-04-01,68.41,4.2255190127729065
1998-05-01,68.97,4.2336716274432
1998-06-01,68.81,4.231349083214389
1998-07-01,69.27,4.238011912034514
1998-08-01,70.01,4.2486380889891064
1998-09-01,72.56,4.2844138058068815
1998-10-01,74.81,4.314951565884313
1998-11-01,74.4,4.309455941839047
1998-12-01,75.26,4.3209487851652915
1999-01-01,93.04,4.533029508210409
1999-02-01,115.55,4.74970333672039
1999-03-01,112.06,4.719034442137138
1999-04-01,99.7,4.602165676967792
1999-05-01,98.35,4.5885325448350684
1999-06-01,102.06,4.625560875635825
1999-07-01,102.97,4.63443768366866
1999-08-01,108.5,4.686750172980514
1999-09-01,109.72,4.697931666069403
1999-10-01,113.32,4.730215674962316
1999-11-01,108.98,4.691164379154952
1999-12-01,102.78,4.632590781564083
2000-01-01,100.17,4.606868742623673
2000-02-01,97.34,4.5782100044053085
2000-03-01,95.28,4.556819925047044
2000-04-01,96.02,4.564556503102795
2000-05-01,97.52,4.5800574851730165
2000-06-01,98.44,4.589447225522855
2000-07-01,95.77,4.561949483533528
2000-08-01,93.46,4.53753353727228
2000-09-01,94.05,4.54382655574704
2000-10-01,95.61,4.560277417097355
2000-11-01,99.08,4.595927604621159
2000-12-01,101.06,4.615714399863762
2001-01-01,100.36,4.608763721498222
2001-02-01,105.96,4.663061664403869
2001-03-01,109.46,4.695559185715772
2001-04-01,114.17,4.737688565688236
2001-05-01,119.14,4.7802992722005415
2001-06-01,121.73,4.801805477421505
2001-07-01,124.71,4.825991041932656
2001-08-01,128.03,4.852264611458088
2001-09-01,136.35,4.9152251092915975
2001-10-01,137.79,4.925730787005811
2001-11-01,126.16,4.837550942654783
2001-12-01,116.85,4.760891060984867
2002-01-01,111.75,4.716264233493678
2002-02-01,111.03,4.709800435066175
2002-03-01,106.76,4.670583324536324
2002-04-01,105.39,4.657667754945845
2002-05-01,112.89,4.726413893273455
