region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
121,1,0.0724,NA,TRUE,NA,FALSE
122,1,0.8269,NA,TRUE,NA,FALSE
123,1,0.1075,NA,TRUE,NA,FALSE
124,1,0.0067,NA,FALSE,NA,FALSE
125,2,0.1056,0.0026,TRUE,FALSE,FALSE
126,1,0.0291,NA,TRUE,NA,TRUE
127,1,0.1192,NA,TRUE,NA,FALSE
128,1,0.576,NA,TRUE,NA,FALSE
129,2,0.0052,0.001,FALSE,FALSE,FALSE
130,1,0.1091,NA,TRUE,NA,FALSE
131,1,0.6403,NA,TRUE,NA,FALSE
132,2,0.5903,0.0507,TRUE,TRUE,FALSE
133,2,0.006,0.002,FALSE,FALSE,FALSE
134,1,0.4822,NA,TRUE,NA,FALSE
135,1,0.0526,NA,TRUE,NA,FALSE
136,1,0.4445,NA,TRUE,NA,FALSE
137,1,0.0025,NA,FALSE,NA,FALSE
138,2,3e-4,5e-4,FALSE,FALSE,FALSE
139,1,0.3063,NA,TRUE,NA,FALSE
140,2,3e-4,0.0013,FALSE,FALSE,FALSE
141,2,0.4871,0.334,TRUE,TRUE,FALSE
142,1,0.9587,NA,TRUE,NA,FALSE
143,1,0.0147,NA,TRUE,NA,TRUE
144,1,0.4661,NA,TRUE,NA,FALSE
145,2,0.8367,0.0653,TRUE,TRUE,FALSE
146,1,0.5287,NA,TRUE,NA,FALSE
147,1,0.026,NA,TRUE,NA,FALSE
148,1,0.2958,NA,TRUE,NA,FALSE
149,2,0,0.1343,FALSE,TRUE,FALSE
150,1,0.0055,NA,FALSE,NA,FALSE
151,1,0.3128,NA,TRUE,NA,FALSE
152,2,0.0169,0.9358,TRUE,TRUE,FALSE
153,1,0.0042,NA,FALSE,NA,FALSE
154,2,0.0571,0.1681,TRUE,TRUE,FALSE
155,1,0.8239,NA,TRUE,NA,FALSE
156,2,0.1671,0.033,TRUE,TRUE,FALSE
157,2,0.1562,0.7949,TRUE,TRUE,FALSE
158,2,0.0047,1e-4,FALSE,FALSE,FALSE
159,1,0.0106,NA,TRUE,NA,FALSE
160,1,0.10780000000000001,NA,TRUE,NA,FALSE
161,1,0.0173,NA,TRUE,NA,FALSE
162,1,0.0783,NA,TRUE,NA,FALSE
163,1,0.1617,NA,TRUE,NA,FALSE
164,1,0.5564,NA,TRUE,NA,FALSE
165,1,0.0031,NA,FALSE,NA,FALSE
166,2,0.0014,0.0044,FALSE,FALSE,FALSE
167,2,0.5533,0.063,TRUE,TRUE,FALSE
168,1,0.0094,NA,FALSE,NA,FALSE
169,2,0.0357,0.0209,TRUE,TRUE,FALSE
170,2,0.1978,0.001,TRUE,FALSE,FALSE
171,2,0,2e-4,FALSE,FALSE,FALSE
172,1,0.673,NA,TRUE,NA,FALSE
173,2,0.2637,0.4551,TRUE,TRUE,FALSE
174,2,2e-4,1e-4,FALSE,FALSE,FALSE
175,2,1e-4,0.6274,FALSE,TRUE,FALSE
176,1,0.008,NA,FALSE,NA,FALSE
177,2,0,0.3582,FALSE,TRUE,FALSE
178,1,0,NA,FALSE,NA,FALSE
179,1,0.0197,NA,TRUE,NA,FALSE
180,2,6e-4,0.0296,FALSE,TRUE,FALSE
181,2,0,0.3158,FALSE,TRUE,FALSE
182,2,0,0.3165,FALSE,TRUE,FALSE
183,1,3e-4,NA,FALSE,NA,FALSE
184,NA,NA,NA,NA,NA,FALSE
185,1,0.1569,NA,TRUE,NA,FALSE
186,1,0.0212,NA,TRUE,NA,FALSE
187,1,0,NA,FALSE,NA,FALSE
188,2,0,0.1335,FALSE,TRUE,FALSE
189,2,0.0681,0.1098,TRUE,TRUE,FALSE
190,1,0.9449,NA,TRUE,NA,FALSE
191,2,0.2401,0.3738,TRUE,TRUE,FALSE
192,1,0.0043,NA,FALSE,NA,FALSE
193,1,0.0052,NA,FALSE,NA,FALSE
194,2,0.038,0.0387,TRUE,TRUE,FALSE
195,2,0,0.0364,FALSE,TRUE,FALSE
196,2,3e-4,0.4483,FALSE,TRUE,FALSE
197,1,0.8277,NA,TRUE,NA,FALSE
198,2,0,3e-4,FALSE,FALSE,FALSE
199,2,0.0013,0.0323,FALSE,TRUE,FALSE
200,2,5e-4,0.0408,FALSE,TRUE,FALSE
201,2,1e-4,0.0185,FALSE,TRUE,FALSE
202,1,0.6534,NA,TRUE,NA,TRUE
203,2,0,0,FALSE,FALSE,FALSE
204,2,0.0026,0.6035,FALSE,TRUE,FALSE
205,2,0,0.5744,FALSE,TRUE,FALSE
206,2,0,0.5,FALSE,TRUE,FALSE
207,1,0.3054,NA,TRUE,NA,FALSE
208,2,0,0.0013,FALSE,FALSE,FALSE
209,2,0.0037,0.1643,FALSE,TRUE,FALSE
210,2,0.0054,0.1709,FALSE,TRUE,FALSE
211,2,0.0149,0.5788,TRUE,TRUE,FALSE
212,2,0.0169,2e-4,TRUE,FALSE,FALSE
213,2,0.3302,0.0292,TRUE,TRUE,FALSE
214,1,0.7843,NA,TRUE,NA,FALSE
215,2,0.0085,0.2213,FALSE,TRUE,FALSE
216,2,0,0.1533,FALSE,TRUE,FALSE
217,1,0.0058,NA,FALSE,NA,FALSE
218,2,4e-4,0.0017,FALSE,FALSE,FALSE
219,1,0.4898,NA,TRUE,NA,FALSE
220,2,2e-4,0.0364,FALSE,TRUE,FALSE
221,1,0.2166,NA,TRUE,NA,FALSE
222,1,0.0661,NA,TRUE,NA,FALSE
223,2,0.0238,0.0289,TRUE,TRUE,FALSE
224,2,0.053900000000000003,0.4013,TRUE,TRUE,FALSE
225,1,0,NA,FALSE,NA,FALSE
226,2,0,0.3143,FALSE,TRUE,FALSE
227,1,0.181,NA,TRUE,NA,TRUE
228,2,1e-4,0.0354,FALSE,TRUE,FALSE
229,2,0.014,0.3308,TRUE,TRUE,FALSE
230,2,0.3328,0.0704,TRUE,TRUE,FALSE
231,2,0.0115,0.004,TRUE,FALSE,FALSE
232,2,4e-4,0.0135,FALSE,TRUE,FALSE
233,1,0.0046,NA,FALSE,NA,FALSE
234,1,0.002,NA,FALSE,NA,FALSE
235,1,0.1146,NA,TRUE,NA,FALSE
236,1,0.2108,NA,TRUE,NA,FALSE
237,1,0.0087,NA,FALSE,NA,FALSE
238,2,0.0094,0.0057,FALSE,FALSE,FALSE
239,2,0.234,0.0986,TRUE,TRUE,FALSE
240,1,0,NA,FALSE,NA,FALSE
241,2,2e-4,0.1476,FALSE,TRUE,FALSE
