Ano,Mes,selic,Data,ln_Selic_aa
1995,1,1.0015096966765482,1995-01-01,0.3801566740059602
1995,2,1.0017799988716296,1995-02-01,0.4481609708635287
1995,3,1.0018163359108299,1995-03-01,0.4573014685980302
1995,4,1.0024543117628995,1995-04-01,0.6177288243923985
1995,5,1.0018927277219076,1995-05-01,0.47651656998208386
1995,6,1.0018876219004644,1995-06-01,0.47523233041567553
1995,7,1.0018800018968435,1995-07-01,0.47331570007422225
1995,8,1.0016395629574713,1995-08-01,0.41283152604812484
1995,9,1.0016366694617314,1995-09-01,0.41210355761855477
1995,10,1.0014511108180086,1995-10-01,0.3654148614842764
1995,11,1.0014184991718735,1995-11-01,0.3572085011842523
1995,12,1.0013706656662196,1995-12-01,0.3451712447034241
1996,1,1.0011569706816519,1996-01-01,0.29138808052829057
1996,2,1.0012240349386634,1996-02-01,0.30826817749863605
1996,3,1.0010465094337047,1996-03-01,0.2635824805606603
1996,4,1.0010240001938209,1996-04-01,0.2579160183419968
1996,5,1.000906212636269,1996-05-01,0.22826217292114745
1996,6,1.001031049476333,1996-06-01,0.25969061409386157
1996,7,1.0008308704066802,1996-07-01,0.20929240708505095
1996,8,1.000886211208607,1996-08-01,0.22322632633587486
1996,9,1.0008985712601621,1996-09-01,0.22633828224563357
1996,10,1.0008374235829092,1996-10-01,0.21094243113216363
1996,11,1.0008944999709843,1996-11-01,0.22531323636297118
1996,12,1.0008519046490192,1996-12-01,0.21458858002082384
1997,1,1.000780757239452,1997-01-01,0.19667405698185889
1997,2,1.000921851615967,1997-02-01,0.23219959687311684
1997,3,1.0008573694675003,1997-03-01,0.21596453833309295
1997,4,1.0007841263310078,1997-04-01,0.1975224042715379
1997,5,1.0007863324401132,1997-05-01,0.1980779075685853
1997,6,1.00075936425948,1997-06-01,0.19128717425567263
1997,7,1.000692029985646,1997-07-01,0.17433124211427195
1997,8,1.000749524276573,1997-08-01,0.18880936792982914
1997,9,1.0007174245167303,1997-09-01,0.18072615727684677
1997,10,1.000721586035135,1997-10-01,0.18177410591027868
1997,11,1.001500166407638,1997-11-01,0.37775865509485373
1997,12,1.001332272154119,1997-12-01,0.3355091376901064
1998,1,1.0012555261854272,1998-01-01,0.31619414522305433
1998,2,1.0011714799602085,1998-02-01,0.2950401668732254
1998,3,1.000989972719107,1998-03-01,0.2493497208588091
1998,4,1.0008910797864714,1998-04-01,0.22445211866287734
1998,5,1.000808773182285,1998-05-01,0.2037284679757874
1998,6,1.000757290940317,1998-06-01,0.1907650937346597
1998,7,1.000734783438059,1998-07-01,0.18509743145225252
1998,8,1.000698112839911,1998-08-01,0.17586305666853894
1998,9,1.0011707200942725,1998-09-01,0.2948489046445669
1998,10,1.0013811774745969,1998-10-01,0.3478165806397523
1998,11,1.0012998977739673,1998-11-01,0.327361516852475
1998,12,1.0010792952388448,1998-12-01,0.27183573105746933
1999,1,1.0010778681129404,1999-01-01,0.2714764828081542
1999,2,1.001306885554637,1999-02-01,0.32912014539944623
1999,3,1.0014271609853462,1999-03-01,0.35938817687125696
1999,4,1.001224535812339,1999-04-01,0.30839424332435217
1999,5,1.0009522253709424,1999-05-01,0.2398466175747443
1999,6,1.0007898582293349,1999-06-01,0.19896570678203435
1999,7,1.0007480780978864,1999-07-01,0.1884452035875024
1999,8,1.0007076599999865,1999-08-01,0.17826725113191777
1999,9,1.0007031975921246,1999-09-01,0.17714351706508855
1999,10,1.0006874399985064,1999-10-01,0.1731753626056086
1999,11,1.0006887244945046,1999-11-01,0.1734988330229119
1999,12,1.0006902247819267,1999-12-01,0.17387664496152488
2000,1,1.0006884457111396,2000-01-01,0.17342862795707933
2000,2,1.0006861733333252,2000-02-01,0.1728563820579157
2000,3,1.0006854066589348,2000-03-01,0.17266331251669037
2000,4,1.0006777742093143,2000-04-01,0.17074124527495002
2000,5,1.0006742340887607,2000-05-01,0.16984973755835941
