;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
80;28,8449;31,7536;30,0125;;28,2045;29,0243;28,5336;;1;1;1
81;27,5755;30,4578;28,7325;;22,0414;23,9453;22,8056;;1;1;1
82;20,2876;23,1963;21,4552;;19,8509;20,4327;20,0844;;1;1;1
83;28,4923;31,3746;29,6493;;26,7936;28,0893;27,3137;;1;1;1
84;26,1427;29,0514;27,3103;;24,2056;25,5542;24,747;;1;1;1
85;27,0144;29,9231;28,182;;26,3915;27,555;26,8586;;1;1;1
86;23,642;26,5243;24,799;;22,2273;23,4437;22,7156;;1;1;1
87;25,5924;28,4747;26,7494;;23,7703;25,066;24,2904;;1;1;1
88;34,2135;37,1222;35,3811;;32,3231;33,4072;32,7583;;1;1;1
89;23,5777;26,4864;24,7453;;21,2915;22,5607;21,801;;1;1;1
90;20,2311;23,1398;21,3987;;18,4412;19,6047;18,9083;;1;1;1
91;19,2628;22,1451;20,4198;;17,4395;19,026;18,0763;;1;1;1
92;23,3782;26,2869;24,5458;;20,9726;22,9029;21,7475;;1;1;1
93;18,8453;21,7541;20,013;;17,9698;18,8424;18,32;;1;1;1
94;23,3031;26,2118;24,4707;;21,5531;22,8753;22,0838;;1;1;1
95;21,8863;24,795;23,0539;;20,5249;21,9;21,0769;;1;1;1
96;23,5;26,4088;24,6677;;22,2289;23,2601;22,6428;;1;1;1
97;20,1384;23,0471;21,306;;16,8612;18,8973;17,6786;;1;1;1
98;24,417;27,3257;25,5846;;22,1565;23,4257;22,666;;1;1;1
99;20,5401;23,4489;21,7078;;17,3132;18,8733;17,9395;;1;1;1
100;26,1925;29,1012;27,3601;;21,0552;22,8269;21,7664;;1;1;1
101;28,9431;31,8254;30,1001;;25,895;27,8254;26,6699;;1;1;1
102;26,042;28,9507;27,2096;;24,5136;25,5713;24,9382;;1;1;1
103;22,6541;25,5364;23,8111;;18,7845;20,9;19,6337;;1;1;1
104;20,2276;23,1363;21,3952;;14,1496;16,3708;15,0412;;1;1;1
105;32,2431;35,1518;33,4107;;29,8993;30,8777;30,2921;;1;1;1
106;25,0583;27,967;26,2259;;23,4553;24,5924;23,9118;;1;1;1
107;23,0049;25,9136;24,1725;;19,85;21,1193;20,3595;;1;1;1
108;27,6224;30,5047;28,7794;;24,8245;26,3582;25,4402;;1;1;1
109;26,5878;29,4701;27,7448;;24,6915;26,4896;25,4133;;1;1;1
110;26,6719;29,5806;27,8395;;24,1879;25,7745;24,8248;;1;1;1
111;23,527;26,4358;24,6946;;21,2906;23,2473;22,076;;1;1;1
112;22,8607;25,7694;24,0283;;21,246;22,5946;21,7874;;1;1;1
113;25,7468;28,6291;26,9038;;22,8409;24,8506;23,6476;;1;1;1
114;26,229;29,1113;27,386;;24,6017;25,5536;24,9838;;1;1;1
115;27,2602;30,1425;28,4172;;25,9485;27,1913;26,4474;;1;1;1
116;36,6062;39,5149;37,7738;;35,3951;36,7701;35,947;;1;1;1
117;26,4964;29,3787;27,6534;;25,7973;26,8286;26,2113;;1;1;1
118;25,1261;28,0084;26,2831;;23,832;25,1277;24,3521;;1;1;1
119;27,6975;30,5798;28,8545;;24,9963;26,7416;25,6969;;1;1;1
120;26,3908;29,2731;27,5478;;20,7844;22,7676;21,5805;;1;1;1
121;25,6466;28,5289;26,8036;;23,9761;25,6155;24,6342;;1;1;1
122;26,9397;29,822;28,0967;;25,6569;27,455;26,3787;;1;1;1
123;29,3879;32,2702;30,5449;;28,955;30,0392;29,3902;;1;1;1
124;21,9853;24,894;23,1529;;21,3059;22,2578;21,688;;1;1;1
125;19,5986;22,5073;20,7662;;15,8633;17,397;16,4789;;1;1;1
126;27,8943;30,7765;29,0513;;26,0983;27,4205;26,6291;;1;1;1
127;22,4864;25,3687;23,6434;;17,7811;20,0552;18,694;;1;1;1
128;22,0499;24,9322;23,2069;;16,3951;18,6427;17,2973;;1;1;1
129;23,7441;26,6528;24,9117;;21,2281;23,2378;22,0348;;1;1;1
130;23,9337;26,816;25,0907;;18,8361;20,8458;19,6428;;1;1;1
131;25,0651;27,9474;26,2221;;21,9566;23,4638;22,5616;;1;1;1
132;31,0582;33,9669;32,2258;;28,634;30,2735;29,2921;;1;1;1
133;24,8556;27,7379;26,0126;;23,97;24,6575;24,246;;1;1;1
134;28,7488;31,6311;29,9058;;28,1586;28,8725;28,4452;;1;1;1
135;21,9662;24,8485;23,1232;;20,2702;21,6188;20,8115;;1;1;1
136;20,0159;22,9246;21,1835;;17,3016;18,8617;17,9279;;1;1;1
137;27,0326;29,9149;28,1896;;26,3966;27,2428;26,7363;;1;1;1
138;18,9586;21,8673;20,1262;;15,5684;17,3136;16,2689;;1;1;1
139;21,6399;24,5486;22,8075;;19,9774;20,8236;20,3171;;1;1;1
140;21,1071;23,9894;22,2641;;19,3613;20,7893;19,9345;;1;1;1
141;27,6749;30,5837;28,8426;;26,0452;27,2087;26,5122;;1;1;1
142;21,4256;24,3079;22,5826;;20,1706;21,1754;20,574;;1;1;1
143;21,806;24,6883;22,963;;20,2285;21,2598;20,6425;;1;1;1
144;24,0672;26,9495;25,2242;;23,0719;24,1032;23,4859;;1;1;1
145;22,9117;25,8205;24,0794;;22,509;23,3816;22,8593;;1;1;1
146;20,7659;23,6746;21,9335;;18,7067;20,0817;19,2587;;1;1;1
147;24,248;27,1568;25,4157;;22,0133;23,3354;22,544;;1;1;1
148;26,2236;29,1323;27,3912;;24,8509;25,8292;25,2436;;1;1;1
149;29,5642;32,473;30,7319;;23,926;26,5703;24,9875;;1;1;1
150;27,5307;30,4129;28,6877;;26,7207;27,8842;27,1877;;1;1;1
151;35,6049;38,4872;36,7619;;31,8477;32,5881;32,1449;;1;1;1
152;29,96;32,8688;31,1277;;29,6716;31,0202;30,213;;1;1;1
