region;AIC;BIC;HaQ
1;30,74070;31,5318;31,0591
2;21,32720;21,9488;21,5774
3;24,86350;25,2873;25,0341
4;26,62660;27,4742;26,9678
5;20,66590;21,4852;20,9957
6;26,24400;26,5831;26,3805
7;25,19820;25,6220;25,3687
8;21,85760;22,2531;22,0168
9;21,47720;22,4943;21,8866
10;19,25700;20,0763;19,5868
11;19,49920;20,0925;19,7380
12;28,91760;30,2172;29,4407
13;17,82380;19,0104;18,3014
14;20,55260;21,5697;20,9620
15;6,98929;10,5209;8,4108
16;20,42550;22,2054;21,1420
17;18,01330;19,4259;18,5819
18;19,67940;21,4028;20,3731
19;21,26800;22,3981;21,7229
20;34,43170;35,2228;34,7502
21;24,75740;25,6333;25,1100
22;24,03150;25,2746;24,5319
23;22,31910;24,4380;23,1720
24;14,32990;15,6578;14,8644
25;15,18960;16,6023;15,7583
26;22,20760;23,2530;22,6284
27;26,53730;28,0064;27,1286
28;16,84830;18,5717;17,5420
29;19,07510;20,9398;19,8257
30;14,17670;16,8324;15,2457
31;26,16050;26,9515;26,4789
32;26,82510;27,8987;27,2573
33;12,21570;15,7472;13,6372
34;21,70180;23,0014;22,2249
35;24,66380;26,1894;25,2778
36;19,50200;21,2254;20,1957
37;33,62520;34,3033;33,8982
38;26,09020;27,3051;26,5792
39;24,28480;25,2171;24,6601
40;24,47090;25,9966;25,0850
41;23,26970;24,4280;23,7359
42;26,51790;27,6197;26,9614
43;25,36240;26,5208;25,8287
44;25,69640;26,8265;26,1513
45;24,44360;27,0428;25,4898
46;28,11600;28,5681;28,2980
47;28,46140;28,8852;28,6320
48;23,84300;25,5381;24,5253
49;29,93060;31,4280;30,5333
50;26,15980;27,8549;26,8421
51;25,49280;26,1991;25,7771
52;23,28970;24,0243;23,5854
53;17,85070;18,8961;18,2715
54;19,67580;20,7211;20,0965
55;28,90070;29,8331;29,2760
56;25,68340;25,9942;25,8085
57;24,12080;24,7424;24,3710
58;27,09860;28,0592;27,4853
59;25,76650;26,2750;25,9712
60;24,11510;24,7649;24,3766
61;25,66540;26,3152;25,9269
62;30,57150;31,3908;30,9013
63;19,92680;20,8308;20,2907
64;25,09500;25,3493;25,1973
65;16,92300;17,8270;17,2869
66;32,91900;34,1056;33,3966
67;21,54930;22,5946;21,9701
68;17,67190;20,3559;18,7523
69;23,24710;23,9252;23,5201
70;19,98890;22,1361;20,8531
71;21,39130;22,7757;21,9485
72;24,36370;25,6634;24,8869
73;28,72480;29,7136;29,1228
74;23,69630;24,0636;23,8441
75;24,13920;24,7043;24,3666
76;20,16130;20,8394;20,4342
77;14,88160;17,5091;15,9392
78;21,23730;22,1414;21,6012
79;20,32730;21,1466;20,6571
80;28,19290;28,8710;28,4658
81;22,52840;23,7998;23,0402
82;19,97790;20,2604;20,0916
83;26,99250;27,8400;27,3336
84;24,26290;25,2518;24,6610
85;26,38450;27,3451;26,7712
86;22,29770;23,0041;22,5821
87;23,53580;24,3833;23,8769
88;32,51710;33,3646;32,8582
89;21,71400;22,2790;21,9414
90;18,23620;19,3381;18,6797
91;17,41710;18,3212;17,7810
92;20,22290;22,1441;20,9962
93;17,93130;18,6094;18,2042
94;21,62870;22,7870;22,0949
95;20,12770;21,2296;20,5712
96;22,32260;23,1420;22,6524
97;16,56750;18,0084;17,1475
98;21,83670;22,8256;22,2347
99;17,93260;18,6954;18,2396
100;21,11740;22,6148;21,7202
101;26,28850;27,4751;26,7661
102;24,72880;25,7459;25,1382
103;18,85610;20,4947;19,5157
104;15,42390;16,5540;15,8788
105;29,84490;30,6078;30,1520
106;21,82230;23,3762;22,4478
107;19,72260;20,5984;20,0752
108;24,87290;26,1725;25,3960
109;24,65700;25,5045;24,9981
110;22,84920;24,7703;23,6225
111;20,53880;22,2905;21,2439
112;21,68390;22,7575;22,1161
113;23,35260;24,7087;23,8985
114;24,17240;25,2742;24,6159
115;26,12490;26,8029;26,3978
116;35,22940;36,3595;35,6842
117;25,66820;26,4311;25,9753
118;23,78690;24,6910;24,1508
119;25,07280;26,3159;25,5732
120;20,02650;21,4674;20,6065
121;23,23330;24,7872;23,8588
122;25,34880;26,6766;25,8833
123;29,13660;29,9842;29,4778
124;21,29720;21,9188;21,5474
125;16,51080;17,2736;16,8178
126;25,75770;26,9161;26,2240
127;17,96320;19,4323;18,5545
128;17,72840;18,9150;18,2060
129;21,02360;21,8994;21,3761
130;20,24020;21,3986;20,7065
131;21,35580;22,7119;21,9017
132;29,68070;30,7261;30,1015
133;23,91470;24,4515;24,1308
134;28,43330;28,9701;28,6494
135;19,89980;20,8886;20,2978
136;17,35370;18,2578;17,7176
137;26,25220;26,8173;26,4797
138;16,16640;17,4943;16,7009
139;19,93250;20,6953;20,2396
140;19,01880;20,0924;19,4510
141;25,64480;26,4359;25,9632
142;20,44640;21,1245;20,7194
143;20,34190;20,9634;20,5921
144;22,59330;23,4974;22,9572
145;22,65020;23,0457;22,8094
146;18,80590;19,5970;19,1243
147;22,23790;22,9442;22,5222
148;24,77070;25,4205;25,0323
149;23,87460;26,1913;24,8071
150;26,76200;27,7508;27,1600
151;32,29030;32,8554;32,5178
152;29,23800;30,3964;29,7043
153;19,49780;20,7974;20,0209
154;22,03850;22,9426;22,4024
155;22,26780;23,5957;22,8023
156;22,02650;22,6481;22,2767
157;18,92670;20,0003;19,3588
158;17,54780;18,1128;17,7752
159;17,71870;18,6227;18,0826
160;18,01270;18,6060;18,2515
161;18,97920;19,7420;19,2862
162;20,04580;21,1194;20,4780
163;19,73550;20,8373;20,1790
164;20,62470;21,4440;20,9545
165;20,28410;21,0752;20,6025
166;18,81280;20,1972;19,3700
167;18,75060;19,4004;19,0122
168;21,73700;22,7541;22,1464
169;27,66380;28,8222;28,1301
170;21,19150;21,7001;21,3962
171;14,56810;16,0938;15,1822
172;28,88420;29,9013;29,2936
173;25,98700;26,3543;26,1348
174;32,29460;33,3965;32,7381
175;27,48410;28,3317;27,8253
176;23,65480;25,1239;24,2461
177;23,62650;24,8414;24,1155
178;23,89180;24,9654;24,3240
179;23,49300;24,3971;23,8569
180;31,65850;32,5061;31,9997
181;23,43990;24,4004;23,8265
182;21,20330;22,1073;21,5672
183;27,85540;29,3810;28,4695
184;22,96380;24,2917;23,4983
185;22,16250;23,4622;22,6857
186;23,81160;24,8005;24,2097
187;21,70860;24,6469;22,8913
188;34,47250;35,0093;34,6885
189;26,61920;27,9471;27,1537
190;34,44460;34,9814;34,6606
191;37,02970;37,5100;37,2230
192;15,24250;15,6663;15,4131
193;14,03550;15,3069;14,5472
194;21,87380;23,3429;22,4651
195;17,91880;18,6816;18,2259
196;19,30230;19,8673;19,5297
197;19,98330;21,1134;20,4382
198;27,36660;27,8469;27,5600
199;11,87240;13,6523;12,5888
200;30,61430;31,0098;30,7735
201;31,10290;32,0635;31,4896
202;22,06490;22,7994;22,3606
203;33,64900;34,1010;33,8310
204;34,53790;35,4985;34,9245
205;28,47320;29,0665;28,7120
206;22,49120;23,1128;22,7414
207;18,80130;21,3723;19,8362
208;20,23990;22,9239;21,3202
209;22,23600;22,9141;22,5090
