region;AIC;BIC;HaQ
1;31,28980;31,79840;31,49450
2;21,33940;21,90440;21,56680
3;24,89230;25,37260;25,08560
4;26,70960;27,04870;26,84610
5;20,59930;21,33390;20,89500
6;26,24400;26,58310;26,38050
7;25,25740;25,65300;25,41660
8;21,85760;22,25310;22,01680
9;21,44720;22,35130;21,81110
10;19,30590;20,06880;19,61300
11;19,56970;20,10650;19,78580
12;29,63680;30,79510;30,10300
13;18,36930;19,07560;18,65360
14;19,82870;21,15660;20,36320
15;4,26142;7,99077;5,76255
16;19,57550;21,69440;20,42840
17;20,57630;21,08480;20,78100
18;19,96150;21,51540;20,58700
19;22,51380;23,19180;22,78670
20;34,66140;35,16990;34,86610
21;24,61460;25,43390;24,94440
22;24,05390;25,15580;24,49740
23;21,35140;23,80940;22,34080
24;14,57840;15,84980;15,09020
25;17,41310;17,92170;17,61780
26;22,24630;23,43300;22,72400
27;26,83170;27,99010;27,29800
28;16,85710;18,41100;17,48260
29;20,33780;21,63740;20,86090
30;14,06430;17,00250;15,24700
31;26,17060;26,90520;26,46630
32;26,77740;27,85100;27,20960
33;12,87300;16,40450;14,29450
34;22,03800;23,08340;22,45880
35;23,63820;25,33340;24,32060
36;19,62780;21,23820;20,27600
37;33,65700;34,30680;33,91860
38;26,05650;27,18660;26,51140
39;23,99100;25,06460;24,42310
40;24,38340;26,19160;25,11120
41;23,15940;24,28950;23,61430
42;26,30500;27,40690;26,74850
43;25,36240;26,52080;25,82870
44;26,27150;27,23210;26,65820
45;24,35320;27,15020;25,47900
46;27,91070;28,67350;28,21770
47;28,54660;28,91390;28,69450
48;23,91970;25,55830;24,57930
49;30,50510;31,83290;31,03950
50;27,20360;28,41850;27,69260
51;25,86730;26,37580;26,07200
52;23,91900;24,51230;24,15780
53;17,78100;18,82630;18,20170
54;20,07020;20,97430;20,43410
55;28,88900;29,82130;29,26430
56;25,59120;25,93030;25,72770
57;24,19460;24,67490;24,38790
58;27,23540;28,16780;27,61070
59;26,00900;26,43280;26,17960
60;24,00830;24,85590;24,34950
61;25,52170;26,31280;25,84020
62;30,97260;31,82020;31,31380
63;19,71500;20,78860;20,14710
64;25,09500;25,34930;25,19730
65;15,96340;17,37600;16,53200
66;32,73730;34,12170;33,29450
67;21,28710;22,38900;21,73060
68;19,20690;20,61950;19,77550
69;23,25780;23,99240;23,55350
70;20,14400;21,92390;20,86040
71;21,71090;22,89750;22,18850
72;24,11240;25,49680;24,66960
73;29,08860;29,71020;29,33880
74;23,70780;24,07500;23,85560
75;24,16970;24,73480;24,39720
76;20,43010;20,88220;20,61210
77;16,30370;17,82940;16,91780
78;21,23520;22,08280;21,57630
79;20,42770;21,21880;20,74610
80;28,30150;28,86660;28,52900
81;22,49430;23,62440;22,94910
82;19,99700;20,30780;20,12210
83;27,04720;27,83820;27,36560
84;24,34270;25,52940;24,82040
85;27,08300;27,73280;27,34450
86;22,38790;23,03770;22,64940
87;23,35750;24,23330;23,71000
88;32,38300;33,17410;32,70140
89;21,66470;22,22980;21,89220
