variavel,Actual_2019M01,Forecast_2019M01,Error_2019M01,Actual_2019M02,Forecast_2019M02,Error_2019M02,Actual_2019M03,Forecast_2019M03,Error_2019M03,Actual_2019M04,Forecast_2019M04,Error_2019M04,Actual_2019M05,Forecast_2019M05,Error_2019M05,Actual_2019M06,Forecast_2019M06,Error_2019M06,Actual_2019M07,Forecast_2019M07,Error_2019M07,Actual_2019M08,Forecast_2019M08,Error_2019M08,Actual_2019M09,Forecast_2019M09,Error_2019M09,Actual_2019M10,Forecast_2019M10,Error_2019M10,Actual_2019M11,Forecast_2019M11,Error_2019M11,Actual_2019M12,Forecast_2019M12,Error_2019M12,Regiao,Tipo
lpim_BR,0.03402974858631147,-0.00531676656196059,0.03934651514827206,-0.020025700502294796,-0.03948314570921092,0.019457445206916127,0.02373627989883076,0.10477526163190362,-0.08103898173307286,0.027999394500358044,0.019015275279958752,0.008984119220399291,0.08841095734405258,0.04859758104335837,0.0398133763006942,-0.058840500022933284,-0.048045410937871166,-0.010795089085062118,0.08487233874088052,0.0715847370526281,0.01328760168825241,0.029538012436863603,0.01837749179444563,0.011160520642417973,-0.0468170600452158,-0.05180935075787573,0.0049922907126599345,0.05509868087693803,0.05028272526455002,0.004815955612388012,-0.09737416402517596,-0.06710985244331,-0.03026431158186596,-0.1348309379666084,-0.09005242946221437,-0.04477850850439402,lpim,BR
ln_Selic_aa,-1.6609490172125874e-10,-0.0029061136748181936,0.002906113508723292,0,-0.0015533046127491274,0.0015533046127491274,0,7.252570387094771e-4,-7.252570387094771e-4,0,-1.7608083504230246e-4,1.7608083504230246e-4,0,-7.950815246331039e-4,7.950815246331039e-4,0,0.0020175023788908198,-0.0020175023788908198,0,0.0013567011955041525,-0.0013567011955041525,-0.004708764705697595,-0.0017142037068738805,-0.002994560998823714,-0.0018034466412768999,-0.003770993451961649,0.001967546810684749,-0.0031373091634108036,-0.0013697153516785646,-0.001767593811732239,-0.0045475841696603,-0.004150626174210611,-3.969579954496887e-4,-0.0029572266051162005,-0.0034605810283310206,5.033544232148201e-4,ln,Selic
ln_IPCA,0.0016955268209617458,2.7845080532329825e-4,0.0014170760156384475,0.0010957269304299189,-4.7887751239221097e-4,0.00157460444282213,0.0031813966269407246,5.746617159845109e-4,0.0026067349109562135,-0.0017881201567835348,1.4220571516493277e-4,-0.0019303258719484675,-0.004384179882624295,-0.002176524606252457,-0.002207655276371838,-0.0011996020379818617,4.92658742405913e-4,-0.0016922607803877747,0.00179901860490439,1.8958462890521699e-4,0.001609433975999173,-7.987039756169878e-4,-0.0015720184242171908,7.73314448600203e-4,-0.0014997487402599319,-1.3430534804259012e-4,-0.0013654433922173418,0.0013996159028231148,8.867561087320844e-5,0.0013109402919499063,0.004087381290640124,9.718159400453428e-4,0.0031155653505947813,0.0063476020149799695,3.8463614711728596e-5,0.006309138400268241,ln,IPCA
R1_Admitidos,1374,1810.0890055323628,-436.08900553236276,1206,30.955822872114197,1175.0441771278859,-857,-466.8062061378141,-390.1937938621859,218,178.72832640353076,39.27167359646924,-156,233.82246974124283,-389.8224697412428,-330,-171.00913520006412,-158.99086479993588,437,688.5066214163454,-251.5066214163454,233,-62.95182406660872,295.9518240666087,-591,-581.168116607967,-9.831883392032978,-558,-276.78402697224294,-281.21597302775706,200,-188.42855050050377,388.4285505005038,-1284,-1039.1472202624047,-244.85277973759526,R1,Admitidos
R1_Desligados,-939,-1710.1869125448711,771.1869125448711,-1421,-877.6909689332024,-543.3090310667976,744,607.9727137173769,136.0272862826231,-911,-310.49787847119296,-600.502121528807,291,353.0736955998269,-62.07369559982692,-365,242.53081798808455,-607.53081798808455,212,623.2467768615716,-411.24677686157156,563,93.52737772394795,469.47262227605205,-640,-510.1506096157773,-129.84939038422272,274,272.08832601275304,1.9116739872469566,917,248.56541150584746,668.4345884941525,-1120,284.43792628317186,-1404.437926283172,R1,Desligados
R2_Admitidos,30,75.01863434300222,-45.01863434300222,78,21.828062095329877,56.17193790467012,-44,-17.953042446509244,-26.046957553490756,-27,-16.379914613195318,-10.620085386804682,0,10.417800382071658,-10.417800382071658,-35,-5.712339661844069,-29.28766033815593,34,57.461022639246465,-23.461022639246465,-31,2.699239630519372,-33.69923963051937,10,10.51785625190859,-0.5178562519085901,-18,-13.531876502077443,-4.468123497922557,-12,-5.202620828698926,-6.797379171301074,-25,-39.6015813922924,14.601581392292402,R2,Admitidos
R2_Desligados,-45,-38.99921141811337,-6.000788581886631,-15,-21.851311740587878,6.851311740587878,36,12.610144094998804,23.3898559050012,-28,-35.67725270727765,7.677252707277653,-9,-10.59260957656913,1.5926095765691297,-1,0.7279400920065298,-1.7279400920065298,-11,20.856486562422724,-31.856486562422724,37,-1.0080462076619439,38.00804620766194,-21,-47.19171463971172,26.19171463971172,-4,2.324401296117788,-6.324401296117788,59,-8.553273902159486,67.55327390215949,-44,28.47136210676787,-72.47136210676787,R2,Desligados
R3_Admitidos,582,465.11060543941426,116.88939456058574,96,5.817431891689864,90.18256810831014,-254,-149.36867601990508,-104.63132398009492,-117,69.80776692452952,-186.80776692452952,-14,152.3204169040717,-166.3204169040717,25,83.6172259729767,-58.6172259729767,50,91.58202158825071,-41.58202158825071,160,44.78404693615664,115.21595306384336,-126,-162.82438685004854,36.82438685004854,-103,-126.11860415956252,23.118604159562523,-177,-106.28118533793649,-70.71881466206351,-196,-193.68813805877141,-2.3118619412285852,R3,Admitidos
R3_Desligados,173,-45.7023258058002,218.7023258058002,49,-147.32137628419372,196.32137628419372,-18,-129.23821696750744,111.23821696750744,-190,-120.13219804645814,-69.86780195354186,5,45.89810456896911,-40.89810456896911,-57,26.558094325564795,-83.5580943255648,29,89.96814099459834,-60.96814099459834,27,-20.256693393905337,47.25669339390534,23,-101.44180567061193,124.44180567061193,43,-66.3847733629535,109.3847733629535,-164,-29.08910174201219,-134.9108982579878,250,327.6137384162845,-77.61373841628449,R3,Desligados
R4_Admitidos,806,664.7850427034513,141.21495729654873,-53,5.139413120049625,-58.139413120049625,-28,130.63563599877028,-158.63563599877028,400,70.21947643518547,329.78052356481453,109,1.527497225120328,107.47250277487967,-324,-225.70952942091785,-98.29047057908215,175,230.44359868789303,-55.44359868789303,43,-68.01501865657039,111.01501865657039,-443,-236.40148752733916,-206.59851247266084,97,-7.048680077173287,104.04868007717329,-232,-101.18211263782827,-130.81788736217175,-622,-311.6677432551164,-310.3322567448836,R4,Admitidos
R4_Desligados,53,-245.5493605790445,298.5493605790445,-27,-277.44845444067187,250.44845444067187,49,5.30464935018864,43.69535064981136,59,-211.65168108903123,270.65168108903123,-109,-107.68594669125693,-1.3140533087430697,-124,-42.904434052294604,-81.0955659477054,159,250.082145683406,-91.082145683406,132,25.4394119112915,106.5605880887085,-237,-226.01768145410387,-10.982318545896135,166,118.83034767607782,47.16965232392218,-31,-58.95658353053356,27.956583530533557,-152,182.12388464819077,-334.12388464819077,R4,Desligados
R5_Admitidos,37,60.880930038225685,-23.880930038225685,27,19.900549371922963,7.099450628077037,-29,53.860762046786355,-82.86076204678636,102,68.74161885807658,33.25838114192342,-72,-87.40842210024451,15.408422100244508,-37,50.11451578220246,-87.11451578220246,88,78.96720602599035,9.03279397400965,-19,-17.983713627433147,-1.016286372566853,-2,-38.61593419391947,36.61593419391947,-20,-21.841254907314184,1.841254907314184,-3,-38.28864454982178,35.28864454982178,-113,-43.74078709958863,-69.25921290041137,R5,Admitidos
