region;AIC;BIC;HaQ
1;31,2224;32,6350;31,7910
2;21,2417;21,8633;21,4919
3;24,8634;25,2872;25,0339
4;26,6266;27,4742;26,9678
5;20,7556;21,5185;21,0627
6;26,2467;26,7270;26,4400
7;25,1201;25,6287;25,3248
8;21,8576;22,2531;22,0168
9;21,3638;22,3526;21,7618
10;19,3482;20,0828;19,6439
11;19,4916;20,0566;19,7190
12;28,8906;30,1620;29,4024
13;18,2580;19,1055;18,5991
14;20,3830;21,5697;20,8607
15;-3,0000;1,0063;-1,0000
16;19,6051;21,5545;20,3897
17;20,5488;21,0856;20,7649
18;19,3941;21,3153;20,1674
19;21,9526;22,8001;22,2937
20;34,1767;35,1091;34,5520
21;24,8885;25,6795;25,2069
22;24,0395;25,1413;24,4830
23;22,8519;24,7166;23,6025
24;14,4524;15,7238;14,9642
25;15,8130;17,4799;16,4840
26;21,9763;23,1347;22,4426
27;26,6000;28,0126;27,1686
28;16,8161;18,3983;17,4530
29;20,0660;21,4221;20,6118
30;13,5231;16,6874;14,7968
31;26,0185;26,8943;26,3710
32;26,8483;27,8937;27,2691
33;15,5758;17,2144;16,2354
34;22,0645;23,0533;22,4625
35;24,5620;25,6921;25,0169
36;19,6220;21,2324;20,2702
37;33,6801;34,4712;33,9986
38;26,1805;27,2823;26,6240
39;24,1531;25,2550;24,5967
40;24,7672;26,0950;25,3016
41;23,3743;24,5326;23,8405
42;26,7155;27,7891;27,1476
43;25,3624;26,5208;25,8287
44;25,7333;26,7787;26,1541
45;24,8244;27,3106;25,8252
46;28,2186;28,7554;28,4347
47;28,2974;28,8059;28,5021
48;24,3459;25,6173;24,8577
49;28,8098;31,0700;29,7195
50;26,1448;27,8400;26,8271
51;25,6243;26,2741;25,8859
52;23,1557;23,9750;23,4855
53;17,9316;18,8921;18,3182
54;19,7689;20,5035;20,0646
55;28,9231;29,8555;29,2984
56;25,4913;25,8869;25,6505
57;24,1946;24,6749;24,3879
58;27,0986;28,0592;27,4853
59;25,6891;26,2259;25,9051
60;24,0785;24,8131;24,3742
61;25,7421;26,3637;25,9923
62;30,1419;31,3003;30,6082
63;19,8331;20,8502;20,2425
64;24,9001;25,2392;25,0366
65;16,0012;17,4138;16,5698
66;32,5537;34,1641;33,2019
67;21,2235;22,4666;21,7239
68;18,3091;20,7105;19,2757
69;22,5990;23,3901;22,9174
70;20,3887;21,9708;21,0255
71;21,3480;22,8171;21,9393
72;24,2247;25,5526;24,7592
73;28,5583;29,6037;28,9791
74;23,7255;24,0363;23,8506
75;24,1392;24,7043;24,3666
76;20,2207;21,0117;20,5391
