--------------- Ox at 18:37:04 on 06-Aug-2020 ---------------

*****************************************
             Regiao 69 - BELO HORIZONTE
*****************************************


                                             Coef       Std.Err
I:2003(9)@D_R84_Admitidos                225.9755     5448.6492
I:2003(11)@D_R84_Admitidos             -3401.9246     5363.6888
I:2004(2)@D_R84_Admitidos               5522.5446     5395.0524
I:2007(4)@D_R84_Admitidos              55367.0938     5422.7262
I:2007(5)@D_R84_Admitidos             -29720.9452     5814.9852
I:2010(3)@D_R84_Admitidos              41035.2127     5468.1559
I:2010(4)@D_R84_Admitidos             -26844.9805     5644.5274
I:2010(7)@D_R84_Admitidos             113664.2654     5400.5892
I:2010(9)@D_R84_Admitidos             -67651.2845     6729.2685
I:2010(10)@D_R84_Admitidos            -30154.1554     6383.3350
I:2010(12)@D_R84_Admitidos             -4826.0331     6084.1091
I:2013(12)@D_R84_Admitidos             -5702.5360     5606.1112
I:2014(1)@D_R84_Admitidos              -4249.7022     5706.2537
I:2014(2)@D_R84_Admitidos              18829.4012     5861.8499
I:2014(3)@D_R84_Admitidos             -24979.3608     5596.7067
I:2014(4)@D_R84_Admitidos              11010.8052     5667.6337
I:2014(7)@D_R84_Admitidos              11689.3791     5512.6108
I:2014(8)@D_R84_Admitidos             -13837.3141     5629.5930
I:2016(1)@D_R84_Admitidos              -9720.6190     5568.5651
I:2016(8)@D_R84_Admitidos             -12959.2520     5449.8328
I:2017(1)@D_R84_Admitidos              -6150.8040     5549.7045
I:2017(2)@D_R84_Admitidos               4922.0535     5743.4113
I:2017(9)@D_R84_Admitidos              16256.5673     5391.7955
Constant@D_R84_Admitidos                -156.3911      495.8213
CSeasonal@D_R84_Admitidos               7030.7503     5076.0211
CSeasonal_1@D_R84_Admitidos            -1461.7263     4057.7774
CSeasonal_2@D_R84_Admitidos             5700.5626     4002.0613
CSeasonal_3@D_R84_Admitidos             4379.4980     3478.9766
CSeasonal_4@D_R84_Admitidos             2622.0177     3562.8686
CSeasonal_5@D_R84_Admitidos             1676.0086     3179.7884
CSeasonal_6@D_R84_Admitidos             3945.7676     3490.5512
CSeasonal_7@D_R84_Admitidos             2906.0063     3440.6018
CSeasonal_8@D_R84_Admitidos             3243.2833     3280.6780
CSeasonal_9@D_R84_Admitidos             1946.7046     3377.1914
CSeasonal_10@D_R84_Admitidos            5953.6568     3056.9017
D_R84_Admitidos_1@D_R84_Desligados        -0.2234        0.0363
D_R84_Desligados_1@D_R84_Desligados       -0.1248        0.0456
D_star_Desligados@D_R84_Desligados         1.1377        0.0970
D_star_Admitidos@D_R84_Desligados          0.0452        0.0919
D_star_Admitidos_1@D_R84_Desligados        0.5117        0.0964
betaZ_Admitidos_1@D_R84_Desligados         0.4226        0.0366
betaZ_Desligados_1@D_R84_Desligados       -0.7889        0.0836
D_lpim_BR@D_R84_Desligados             16256.5000    11975.1819
I:1996(1)@D_R84_Desligados             -3040.9045     4821.3574
I:1997(2)@D_R84_Desligados              3429.9280     4689.7543
I:1997(7)@D_R84_Desligados              4652.3110     4690.1894
I:1998(5)@D_R84_Desligados             -3988.5787     4668.7407
I:1998(11)@D_R84_Desligados             3558.4048     4670.3828
I:1999(2)@D_R84_Desligados              -434.3345     4751.0470
I:2000(7)@D_R84_Desligados              2396.3669     4693.7239
I:2000(8)@D_R84_Desligados              1667.6786     4688.7215
I:2000(12)@D_R84_Desligados             2523.1055     4714.4011
I:2001(1)@D_R84_Desligados             -3248.6191     4722.5501
I:2001(7)@D_R84_Desligados             -3394.5658     4695.4093
I:2002(7)@D_R84_Desligados              4217.3063     4689.6816
I:2002(11)@D_R84_Desligados             4781.6558     4671.7315
I:2003(2)@D_R84_Desligados             13177.4961     4720.4343
I:2003(5)@D_R84_Desligados              4883.4713     4716.9197
I:2003(8)@D_R84_Desligados             -4335.4683     4680.7390
I:2003(9)@D_R84_Desligados             -2641.6016     4734.0728
I:2003(11)@D_R84_Desligados              754.5283     4660.2547
I:2004(2)@D_R84_Desligados             18414.6023     4687.5051
I:2007(4)@D_R84_Desligados             -3006.0011     4711.5496
I:2007(5)@D_R84_Desligados             -7228.0617     5052.3648
I:2010(3)@D_R84_Desligados               938.6519     4751.0213
I:2010(4)@D_R84_Desligados             -9997.0580     4904.2621
I:2010(7)@D_R84_Desligados              4029.2424     4692.3158
I:2010(9)@D_R84_Desligados             25844.8342     5846.7422
I:2010(10)@D_R84_Desligados            38483.2555     5546.1769
