,Data,lpim_BR,ln_Selic_aa,ln_cambio,ln_IPCA,ln_oil,Dln_IPCA,EmpLiq
"1995-1","1995M01",4.2290263489042585,0.38015667400000003,4.2780540440000001,6.9409385730000004,2.8063861019999998,#N/A,187751
"1995-2","1995M02",4.1810609462106232,0.44816097100000002,4.271513981,6.9510829320000003,2.8414149129999999,0.010144358999999881,220192
"1995-3","1995M03",4.3353161247056189,0.45730146900000002,4.3388581390000001,6.9664674849999999,2.8343891229999998,0.015384552999999634,117652
"1995-4","1995M04",4.2275144570072651,0.61772882399999995,4.3555543139999999,6.9904774710000002,2.9306602769999999,0.024009986000000261,123612
"1995-5","1995M05",4.2188644907417778,0.47651656999999997,4.3137477940000002,7.0168249070000002,2.9079933590000002,0.026347436000000002,184982
"1995-6","1995M06",4.2672185084261791,0.47523232999999998,4.3148178850000001,7.0391694319999996,2.853592506,0.022344524999999393,34018
"1995-7","1995M07",4.2571003782605938,0.47331570000000001,4.3103963600000004,7.0624915020000003,2.7638002159999999,0.02332207000000075,-13615
"1995-8","1995M08",4.2856164561533463,0.412831526,4.2941512480000004,7.0723455619999998,2.7769541800000002,0.0098540599999994427,-87235
"1995-9","1995M09",4.24172859821274,0.41210355799999998,4.2895000769999996,7.0821958619999998,2.8130106370000001,0.0098503000000000895,-27089
"1995-10","1995M10",4.2828672379484471,0.36541486099999998,4.2940147570000002,7.0961997190000003,2.7800607369999999,0.014003857000000508,-43436
"1995-11","1995M11",4.2612724539970941,0.35720850100000001,4.3036596060000001,7.1107940770000004,2.8261294889999999,0.014594358000000085,-80015
"1995-12","1995M12",4.1252785807494901,0.34517124500000002,4.263806003,7.1262721439999996,2.8881470629999999,0.015478066999999207,-354174
"1996-1","1996M01",4.1365593054257523,0.29138808100000002,4.2530562529999996,7.1395810309999996,2.8870328569999999,0.013308886999999991,139081
"1996-2","1996M02",4.1163435909087474,0.30826817699999998,4.2527717989999996,7.1498304900000003,2.8887037009999998,0.010249459000000627,79412
"1996-3","1996M03",4.2110860189945667,0.26358248099999998,4.253482784,7.1533254629999998,2.995232149,0.0034949729999995682,85086
"1996-4","1996M04",4.2034850322804296,0.25791601800000002,4.2430518819999996,7.1658488990000002,3.0449985150000001,0.012523436000000387,149952
"1996-5","1996M05",4.2823164861583516,0.22826217300000001,4.2352652529999997,7.1779732379999999,2.9523027160000002,0.012124338999999651,225690
"1996-6","1996M06",4.2304199154983859,0.25969061399999999,4.2298947489999996,7.1898014999999997,2.9052603700000001,0.011828261999999867,161113
"1996-7","1996M07",4.3528213622198182,0.20929240700000001,4.2303312709999998,7.2008427160000004,2.9760396400000002,0.011041216000000631,86103
"1996-8","1996M08",4.3462281581566016,0.223226326,4.2404630699999997,7.205234205,2.993730271,0.0043914889999996376,37004
"1996-9","1996M09",4.3232266213511767,0.226338282,4.2391661469999997,7.2067333109999998,3.0937660139999998,0.0014991059999998058,102224
"1996-10","1996M10",4.3673978396643145,0.21094243100000001,4.2393103319999996,7.2097321919999997,3.1646308099999998,0.0029988809999998978,-21359
"1996-11","1996M11",4.3208970989084721,0.225313236,4.2476377320000003,7.212928486,3.1036894149999998,0.0031962940000003215,-36549
"1996-12","1996M12",4.2033658072430313,0.21458858,4.2417583140000001,7.2176194980000004,3.1578511229999999,0.0046910120000003275,-462729
"1997-1","1997M01",4.2034850322804296,0.19667405700000001,4.2246415629999996,7.2293531529999999,3.15572301,0.011733654999999565,223933
"1997-2","1997M02",4.1498548479069965,0.23219959700000001,4.2099029029999997,7.2343431110000003,3.0363942549999998,0.0049899580000003496,177658
"1997-3","1997M03",4.2609348252729378,0.21596453800000001,4.2055877410000004,7.2394303129999997,2.9554309769999998,0.0050872019999994578,203293
"1997-4","1997M04",4.2850672168359747,0.19752240400000001,4.1981037969999999,7.2481910789999997,2.8604851240000002,0.0087607659999999754,245266
"1997-5","1997M05",4.3112032813206724,0.198077908,4.2110900229999997,7.2522807159999996,2.9517803859999998,0.0040896369999998683,235871
"1997-6","1997M06",4.3258672355076868,0.191287174,4.2106450180000001,7.2576653929999999,2.8650539500000001,0.0053846770000003374,173028
"1997-7","1997M07",4.3669929813591892,0.174331242,4.2042447579999997,7.2598618039999998,2.9139797719999998,0.0021964109999998982,87701
"1997-8","1997M08",4.3680048199560915,0.18880936800000001,4.1996050729999999,7.2596648869999996,2.9279886209999999,-0.00019691700000024071,99079
"1997-9","1997M09",4.3896143042889468,0.180726157,4.2141995239999996,7.2602625500000002,2.9150643700000001,0.00059766300000063666,127488
"1997-10","1997M10",4.4149246894428371,0.18177410599999999,4.227417516,7.2625584720000003,2.9982291540000001,0.0022959220000000613,62784
"1997-11","1997M11",4.3055138236461401,0.377758655,4.2322206700000002,7.2642542069999996,2.9444389790000001,0.0016957349999993099,-44174
"1997-12","1997M12",4.170520341204325,0.33550913799999998,4.2222979269999996,7.2685437510000002,2.839078464,0.0042895440000005891,-531644
"1998-1","1998M01",4.1663222858970386,0.31619414499999998,4.2122757350000004,7.2756154349999997,2.7140322729999999,0.0070716839999995784,170201
"1998-2","1998M02",4.1402491117623024,0.29504016700000002,4.2186249629999999,7.2802080949999999,2.6433338860000002,0.0045926600000001372,160874
"1998-3","1998M03",4.292292998220395,0.249349721,4.2174467590000004,7.2835993160000001,2.5710843460000001,0.0033912210000002219,162540
"1998-4","1998M04",4.2535914041468006,0.22445211900000001,4.2255190130000004,7.2859930650000004,2.5945081600000002,0.0023937490000003336,222745
