region;AIC;BIC;HaQ
1;31,4102;32,1165;31,6945
2;21,7180;22,2830;21,9454
3;24,4880;25,1661;24,7609
4;26,3787;26,9155;26,5948
5;20,7107;21,6148;21,0746
6;25,9892;26,5542;26,2166
7;25,0110;25,8868;25,3635
8;21,8322;22,3690;22,0482
9;21,5234;22,8795;22,0692
10;19,3655;20,4109;19,7863
11;19,5345;20,4951;19,9212
12;29,0370;30,4214;29,5942
13;18,3328;19,4064;18,7649
14;20,2473;21,6035;20,7932
15;10,0256;12,0316;10,8330
16;21,6811;23,4045;22,3748
17;17,1393;19,0887;17,9240
18;19,8477;21,7406;20,6096
19;23,8158;24,3243;24,0205
20;34,1270;35,1723;34,5477
21;25,0500;26,3213;25,5617
22;23,8084;25,2210;24,3770
23;21,5091;24,1648;22,5780
24;12,9774;16,5090;14,3989
25;16,4769;18,0590;17,1137
26;22,1582;23,5143;22,7041
27;26,3537;28,0771;27,0474
28;17,4666;18,9075;18,0466
29;20,9039;22,4578;21,5294
30;14,2422;17,3217;15,4817
31;26,6038;27,3384;26,8995
32;26,9761;28,5582;27,6129
33;14,1058;17,6374;15,5274
34;22,0090;23,2804;22,5208
35;24,2016;25,7837;24,8384
36;19,2534;21,4289;20,1291
37;33,3989;34,1617;33,7059
38;26,1788;27,3089;26,6337
39;24,3064;25,5496;24,8068
40;24,9006;26,6522;25,6057
41;23,3693;24,6406;23,8810
42;26,1297;27,5705;26,7096
43;25,9725;27,4133;26,5524
44;26,1783;27,3649;26,6559
45;24,6323;27,4010;25,7467
46;28,1279;28,9190;28,4464
47;28,2991;28,9489;28,5607
48;24,0526;25,6347;24,6894
49;30,1369;31,4930;30,6827
50;27,4270;28,8679;28,0070
51;25,6271;26,4747;25,9682
52;24,1205;24,7703;24,3821
53;17,5705;19,4069;18,3097
54;20,2452;21,2058;20,6318
55;28,8130;29,7736;29,1997
56;25,1734;25,9927;25,5032
57;24,2349;24,9695;24,5306
58;27,1883;28,3184;27,6432
59;25,8619;26,6530;26,1803
60;24,4229;25,5530;24,8778
61;25,6355;26,2853;25,8971
62;30,5737;31,6190;30,9945
63;20,0444;21,0897;20,4652
64;25,1665;25,7598;25,4053
65;16,7085;18,1776;17,2999
66;32,5379;34,0071;33,1293
67;21,3324;22,8016;21,9238
68;20,1406;21,9770;20,8798
69;23,1500;24,1671;23,5594
70;20,2948;22,5833;21,2160
71;22,5832;23,6851;23,0267
72;24,3958;25,7802;24,9531
73;29,0274;29,9032;29,3799
74;23,7469;24,2554;23,9516
75;24,1502;24,9695;24,4800
76;20,0985;21,0874;20,4966
77;16,3819;17,9075;16,9960
78;20,8720;22,3694;21,4747
79;20,3644;21,4663;20,8080
80;26,8541;28,3232;27,4454
81;22,2082;23,8468;22,8677
82;19,9781;20,4866;20,1828
83;26,7143;28,0704;27,2601
84;24,1559;25,5402;24,7131
85;26,8305;27,9324;27,2740
86;22,4270;23,3310;22,7909
87;23,0606;24,4450;23,6179
88;32,3086;33,3822;32,7407
89;21,4176;22,3781;21,8042
90;18,1729;19,3595;18,6505
91;17,7542;18,7995;18,1749
92;20,2339;22,4094;21,1096
93;17,9567;18,6630;18,2410
94;21,4403;22,4574;21,8497
95;20,3210;21,6489;20,8555
96;22,7725;23,5918;23,1023
97;16,1006;18,1348;16,9194
98;22,0998;23,1169;22,5092
99;17,2500;18,6061;17,7958
100;21,4738;22,7734;21,9969
101;26,5629;27,9472;27,1201
102;24,5371;25,5542;24,9465
103;18,1543;20,3580;19,0413
104;14,9338;16,6007;15,6047
105;29,9414;30,6760;30,2371
106;23,5106;24,8102;24,0337
107;18,7781;20,3037;19,3922
108;24,6241;26,8278;25,5111
109;24,7365;25,8949;25,2028
110;22,9563;24,8492;23,7182
111;20,0922;22,1829;20,9338
112;21,6759;22,8060;22,1308
113;21,5001;24,2406;22,6032
114;24,2856;25,3592;24,7177
115;25,7281;26,7735;26,1489
116;35,0195;36,4321;35,5881
117;25,4548;26,6979;25,9551
118;24,0842;25,0730;24,4822
119;24,6236;26,3753;25,3287
120;20,2152;21,8821;20,8861
121;23,9718;25,5822;24,6200
122;25,2093;26,7632;25,8348
123;29,0054;30,1355;29,4603
124;21,3554;22,1465;21,6738
125;14,8169;16,2860;15,4083
126;25,5503;27,1325;26,1872
127;17,7559;19,5076;18,4610
128;17,4792;19,0896;18,1275
129;21,1498;22,3082;21,6161
130;21,2879;22,5875;21,8110
131;21,3706;22,9810;22,0188
132;28,8114;30,5066;29,4938
133;23,0198;24,0652;23,4406
134;28,2636;29,0547;28,5820
135;20,0815;21,2963;20,5705
136;17,5832;18,7698;18,0609
137;26,4405;27,3446;26,8044
138;16,1299;17,9098;16,8463
139;18,6924;19,9638;19,2041
140;19,2811;20,5525;19,7928
141;25,5776;26,7360;26,0439
142;20,2025;21,0783;20,5550
143;20,4129;21,2322;20,7427
144;22,4571;23,7285;22,9688
145;22,4763;23,4087;22,8516
146;18,4688;19,7120;18,9692
147;22,0456;22,9215;22,3982
148;24,4486;25,5787;24,9035
149;23,2400;25,8110;24,2749
150;26,8804;28,0953;27,3694
151;32,5176;32,9696;32,6995
152;28,9964;30,3526;29,5423
153;19,9373;21,2935;20,4832
154;21,9771;23,2202;22,4775
155;21,3522;23,3863;22,1710
156;21,6675;22,5433;22,0200
157;18,4475;19,6623;18,9365
158;18,5250;19,1183;18,7638
159;17,0917;18,8151;17,7854
160;18,2114;18,7764;18,4388
161;18,9560;20,1143;19,4222
162;20,0556;21,5247;20,6470
163;20,1823;21,5667;20,7396
164;20,7119;21,8137;21,1554
165;19,9235;21,1384;20,4125
166;18,4733;20,2532;19,1897
167;19,1278;19,8906;19,4349
168;21,8718;23,0302;22,3381
169;27,7746;28,9613;28,2523
170;21,9462;22,4265;22,1395
171;15,2358;16,9875;15,9409
172;28,1511;29,6202;28,7425
173;25,2824;26,3842;25,7259
174;31,9022;33,1736;32,4140
175;27,7879;28,8049;28,1973
176;23,5335;25,3134;24,2499
177;23,7967;25,1529;24,3426
178;24,3349;25,8323;24,9376
179;21,8784;23,6301;22,5835
180;31,9158;32,9612;32,3366
181;23,6207;24,6943;24,0528
182;21,1384;22,2968;21,6047
183;28,1207;29,7028;28,7575
184;23,0114;24,4806;23,6028
185;22,3785;23,8759;22,9812
