Data,R1_Desligados,R2_Desligados,R3_Desligados,R4_Desligados,R5_Desligados,R6_Desligados,R7_Desligados,R8_Desligados,R9_Desligados,R10_Desligados,R11_Desligados,R12_Desligados,R13_Desligados,R14_Desligados,R15_Desligados,R16_Desligados,R17_Desligados,R18_Desligados,R19_Desligados,R20_Desligados,R21_Desligados,R22_Desligados,R23_Desligados,R24_Desligados,R25_Desligados,R26_Desligados,R27_Desligados,R28_Desligados,R29_Desligados,R30_Desligados,R31_Desligados,R32_Desligados,R33_Desligados,R34_Desligados,R35_Desligados,R36_Desligados,R37_Desligados,R38_Desligados,R39_Desligados,R40_Desligados,R41_Desligados,R42_Desligados,R43_Desligados,R44_Desligados,R45_Desligados,R46_Desligados,R47_Desligados,R48_Desligados,R49_Desligados,R50_Desligados,R51_Desligados,R52_Desligados,R53_Desligados,R54_Desligados,R55_Desligados,R56_Desligados,R57_Desligados,R58_Desligados,R59_Desligados,R60_Desligados,R61_Desligados,R62_Desligados,R63_Desligados,R64_Desligados,R65_Desligados,R66_Desligados,R67_Desligados,R68_Desligados,R69_Desligados,R70_Desligados,R71_Desligados,R72_Desligados,R73_Desligados,R74_Desligados,R75_Desligados,R76_Desligados,R77_Desligados,R78_Desligados,R79_Desligados,R80_Desligados,R81_Desligados,R82_Desligados,R83_Desligados,R84_Desligados,R85_Desligados,R86_Desligados,R87_Desligados,R88_Desligados,R89_Desligados,R90_Desligados,R91_Desligados,R92_Desligados,R93_Desligados,R94_Desligados,R95_Desligados,R96_Desligados,R97_Desligados,R98_Desligados,R99_Desligados,R100_Desligados,R101_Desligados,R102_Desligados,R103_Desligados,R104_Desligados,R105_Desligados,R106_Desligados,R107_Desligados,R108_Desligados,R109_Desligados,R110_Desligados,R111_Desligados,R112_Desligados,R113_Desligados,R114_Desligados,R115_Desligados,R116_Desligados,R117_Desligados,R118_Desligados,R119_Desligados,R120_Desligados,R121_Desligados,R122_Desligados,R123_Desligados,R124_Desligados,R125_Desligados,R126_Desligados,R127_Desligados,R128_Desligados,R129_Desligados,R130_Desligados,R131_Desligados,R132_Desligados,R133_Desligados,R134_Desligados,R135_Desligados,R136_Desligados,R137_Desligados,R1_Admitidos,R2_Admitidos,R3_Admitidos,R4_Admitidos,R5_Admitidos,R6_Admitidos,R7_Admitidos,R8_Admitidos,R9_Admitidos,R10_Admitidos,R11_Admitidos,R12_Admitidos,R13_Admitidos,R14_Admitidos,R15_Admitidos,R16_Admitidos,R17_Admitidos,R18_Admitidos,R19_Admitidos,R20_Admitidos,R21_Admitidos,R22_Admitidos,R23_Admitidos,R24_Admitidos,R25_Admitidos,R26_Admitidos,R27_Admitidos,R28_Admitidos,R29_Admitidos,R30_Admitidos,R31_Admitidos,R32_Admitidos,R33_Admitidos,R34_Admitidos,R35_Admitidos,R36_Admitidos,R37_Admitidos,R38_Admitidos,R39_Admitidos,R40_Admitidos,R41_Admitidos,R42_Admitidos,R43_Admitidos,R44_Admitidos,R45_Admitidos,R46_Admitidos,R47_Admitidos,R48_Admitidos,R49_Admitidos,R50_Admitidos,R51_Admitidos,R52_Admitidos,R53_Admitidos,R54_Admitidos,R55_Admitidos,R56_Admitidos,R57_Admitidos,R58_Admitidos,R59_Admitidos,R60_Admitidos,R61_Admitidos,R62_Admitidos,R63_Admitidos,R64_Admitidos,R65_Admitidos,R66_Admitidos,R67_Admitidos,R68_Admitidos,R69_Admitidos,R70_Admitidos,R71_Admitidos,R72_Admitidos,R73_Admitidos,R74_Admitidos,R75_Admitidos,R76_Admitidos,R77_Admitidos,R78_Admitidos,R79_Admitidos,R80_Admitidos,R81_Admitidos,R82_Admitidos,R83_Admitidos,R84_Admitidos,R85_Admitidos,R86_Admitidos,R87_Admitidos,R88_Admitidos,R89_Admitidos,R90_Admitidos,R91_Admitidos,R92_Admitidos,R93_Admitidos,R94_Admitidos,R95_Admitidos,R96_Admitidos,R97_Admitidos,R98_Admitidos,R99_Admitidos,R100_Admitidos,R101_Admitidos,R102_Admitidos,R103_Admitidos,R104_Admitidos,R105_Admitidos,R106_Admitidos,R107_Admitidos,R108_Admitidos,R109_Admitidos,R110_Admitidos,R111_Admitidos,R112_Admitidos,R113_Admitidos,R114_Admitidos,R115_Admitidos,R116_Admitidos,R117_Admitidos,R118_Admitidos,R119_Admitidos,R120_Admitidos,R121_Admitidos,R122_Admitidos,R123_Admitidos,R124_Admitidos,R125_Admitidos,R126_Admitidos,R127_Admitidos,R128_Admitidos,R129_Admitidos,R130_Admitidos,R131_Admitidos,R132_Admitidos,R133_Admitidos,R134_Admitidos,R135_Admitidos,R136_Admitidos,R137_Admitidos
1995M01,1165,1659,28,702,5,14,7086,17,446,26,799,216,7719,775,174,1648,5,698,662,507,2998,848,193,365,112,298,2426,67,137,703,433,16802,224,503,160,1049,1186,322,106,5717,394,69,1488,5985,584,951,1756,5598,16485,113,948,6672,139,288,5905,539,1662,2313,951,15535,1475,4186,825,3921,672,703,13488,1743,53750,5771,4909,12617,1789,9660,1134,2096,11690,1720,653,2302,3299,1537,5512,93658,11031,26249,5151,10603,14355,12186,35777,4589,2989,3615,4617,23686,12710,1630,222015,4205,1198,13337,2595,3832,6140,1620,1986,1456,32209,6304,9330,2538,13246,7076,5615,8370,9816,2003,4679,46469,3458,7135,633,6847,1654,2556,2143,482,1356,6310,1223,218,296,13495,746,3120,13005,1838,1924,51,781,9,20,10250,11,836,11,713,294,10133,713,242,2317,5,1220,1127,1319,4735,1222,296,424,195,402,4235,211,353,812,752,21393,413,821,232,1050,1717,371,111,6864,454,89,1914,7295,1039,1340,2355,2919,19939,92,841,8950,199,356,5646,483,1938,2679,943,23137,1869,5963,952,5224,788,967,17997,2192,61606,7004,5963,15799,2233,11467,1465,3979,13965,2561,1119,4866,3475,2558,6979,101123,13742,26695,4653,11995,9263,13796,36286,4907,3875,3532,5144,28409,15152,1957,257793,3670,1184,14611,2465,4160,7814,2117,2522,1592,37402,8992,12145,2940,18097,10356,7635,9953,13416,2638,6923,54942,4404,7467,840,8174,1916,4298,2651,703,1383,6060,1929,426,598,16937,1390,5194,21852
1995M02,1461,1688,31,1008,2,11,6673,26,490,25,742,175,7716,567,120,1977,6,606,713,753,3135,854,156,260,115,230,2178,88,168,506,384,14517,187,466,161,831,1198,289,81,4769,263,53,1731,7512,438,825,1539,10610,17418,57,596,7721,72,277,5190,494,1145,2102,1043,15067,1458,4037,877,3289,516,717,12143,1573,49913,5827,4485,11839,1458,8258,991,1902,10300,1514,565,2264,2541,1357,4704,76605,8314,18850,4349,9320,9613,10412,28922,4415,3141,3058,4076,25001,12375,1445,209980,6170,1306,14051,2459,3419,6829,1738,2070,1301,30196,6596,9085,2484,13313,6918,5362,7824,9258,1855,4301,43233,3169,5892,632,7224,1493,3975,2002,405,1096,4783,1196,223,454,13520,737,3237,14502,1744,2215,36,656,13,16,8759,35,661,3,841,210,9424,537,191,2227,4,1007,1160,2481,3893,779,193,380,169,303,2746,100,121,872,877,18763,288,705,272,1167,1576,221,100,5345,452,233,1595,5505,781,1504,2142,1954,19109,74,1093,4219,57,221,5243,518,1957,2771,919,18027,1588,4159,1457,4598,724,957,17124,1848,60188,6473,6142,14549,2429,11006,1467,2675,12914,2163,789,2530,3795,2236,5922,95286,11580,25337,5270,11158,7755,12695,34907,5005,3928,3845,4568,28899,15992,1761,283274,3866,2745,15243,2307,4198,8871,2528,2800,1661,37715,12061,13567,4375,17460,10666,6601,8743,12024,2061,8189,41086,3450,4459,779,8949,1892,4115,2877,674,1042,6122,1940,490,510,17317,1016,4819,18745
1995M03,1482,2024,52,957,5,15,7352,24,558,10,800,382,8829,670,172,2189,4,877,875,462,4304,1053,146,305,125,383,3113,144,167,816,488,18402,266,646,211,1192,1195,352,121,5291,318,81,1712,6200,586,1053,2142,9394,19637,71,766,9733,150,302,4934,540,1842,2619,1012,22141,1777,6043,936,4392,687,1009,15193,1716,61025,6362,5208,16694,2182,11143,1551,2720,14087,2365,772,3001,3004,1999,6157,98634,10519,22196,4957,11980,8984,15075,33304,4870,3467,4856,4787,25354,14461,1696,262836,3769,1482,14921,2832,4516,7640,1867,2262,1655,36029,7985,10142,2861,14945,9139,7056,9894,12086,2571,6043,53027,4135,6128,815,7389,1850,2918,2519,463,1103,5930,1648,269,478,15161,924,4104,23119,2008,2666,65,685,35,4,9597,28,629,4,850,316,11123,728,185,2518,10,974,1141,864,4201,1036,215,423,289,350,3327,119,141,826,742,18910,242,680,261,1066,1333,387,269,5723,392,63,1690,5759,874,1564,2030,2101,19746,103,561,4451,76,251,4899,784,1653,3438,732,22418,1921,4886,1185,4896,731,1107,18253,1840,65338,7785,5799,15663,2237,11926,1750,3749,14640,2706,1715,3252,3832,2048,6299,101826,12817,27635,6251,13213,8967,13319,36802,6302,3963,5107,4400,31692,17320,1508,289275,3807,2985,18429,3585,5283,9658,3038,2819,1906,41208,9128,13010,3526,18533,10448,7182,12812,13720,3384,12121,60247,6065,8743,953,8716,2501,4077,3555,733,1722,6613,2070,351,464,17301,1380,6730,17705
1995M04,1107,1647,54,721,9,15,7009,25,465,19,677,173,9045,513,172,2103,7,575,823,433,3499,808,183,275,144,340,2536,119,150,585,518,14492,208,614,181,1044,954,215,103,4343,386,78,1481,4775,648,1076,2047,4046,15383,114,984,5980,101,215,4169,598,1394,2407,849,20350,1540,4857,880,3530,600,806,13908,1676,53077,5587,4908,13514,3112,9560,1261,2928,10799,1742,893,2843,2638,1799,5083,84975,7798,23268,5135,10294,7132,14331,27267,4197,2996,3034,3196,22462,11616,1317,200818,2349,1212,11879,2076,3362,6274,1651,1773,1115,29847,6055,9028,2637,12255,6924,5123,8976,9335,2389,4719,43579,4048,5796,531,6531,1648,2795,2571,493,1027,4617,1647,233,456,12838,787,3615,18301,1691,2472,60,603,5,7,8165,10,586,2,812,246,8578,606,176,2337,42,934,852,878,3539,1006,167,296,171,349,2602,133,112,874,499,16081,343,380,185,987,1119,251,202,5071,301,71,1653,5232,588,1511,1836,5070,17505,63,546,4010,93,240,4600,804,3104,2573,595,20947,1628,4164,922,3790,633,893,15875,1601,57336,6353,5372,17442,2219,11241,1528,2489,11976,2571,1033,3053,3291,2010,5936,96605,10228,21915,5385,12085,7575,12269,31270,5617,3361,4172,4490,25626,14858,1425,240826,3223,1632,13362,2093,4320,7774,2157,1840,1772,31315,7391,10765,2655,14522,8078,6305,10190,10732,2754,6166,47320,4007,5500,713,7367,1738,3246,3235,471,3049,5385,1754,235,351,14991,1047,4809,15367
1995M05,1241,1856,43,816,10,21,6923,18,497,15,633,183,9147,551,158,2145,13,703,852,516,3868,1018,140,301,123,277,3184,107,129,574,449,17505,213,622,156,964,792,296,102,4992,327,113,1437,4889,480,1089,1759,2014,17749,78,1006,4594,100,228,6383,634,1943,2087,567,21045,1485,3857,789,3329,450,726,15233,1525,56850,5243,4743,13874,1659,9468,1131,2132,12093,1708,631,2887,2982,1630,4992,92263,9396,24167,5220,11683,7056,11259,31275,4664,3051,3342,3954,23488,12496,1307,224707,2900,1372,13887,2470,3844,6406,1507,2235,1298,34162,7432,9971,2591,13447,7437,5323,10453,9633,2757,6892,45950,5575,7345,566,7078,1771,2874,2826,517,1044,9016,1949,234,338,14791,877,4338,15588,2045,2617,63,677,6,3,8102,17,684,9,598,264,8278,619,165,2206,8,1161,916,998,5048,1052,156,365,173,346,2819,99,103,617,408,19899,276,763,179,821,979,260,65,5694,281,50,1850,5878,780,1969,2390,3962,20243,107,674,4538,52,248,4561,630,2898,2559,664,20921,1624,5095,1088,4217,763,1177,21614,2554,62442,6894,4903,19578,2146,11754,1691,4034,13033,3460,1097,4434,3335,2005,6092,98840,15676,46201,11288,16118,12499,25060,41413,7288,4121,8580,4634,25999,15217,1465,251553,8110,3359,17439,6732,4275,7400,2188,2217,1631,34521,7287,11328,2735,14276,8322,6179,8139,9762,2239,5187,47375,3045,4547,786,7319,1896,3657,3276,632,2575,5496,2675,255,762,17243,1210,5482,15744
1995M06,1503,1838,27,789,5,8,7847,15,519,4,983,419,9727,552,163,2180,15,910,847,544,3418,961,158,277,142,367,2710,133,163,794,443,18428,198,565,216,1237,1076,260,115,6671,283,59,1528,4450,467,1097,2006,2385,18003,58,1103,4602,121,235,4815,642,1582,2515,618,18079,1492,4699,904,3528,485,1002,17258,1648,55033,6144,4401,15339,1915,9581,1245,1878,11782,2024,807,2845,2661,1572,5096,93198,9316,21190,4543,11487,7308,11886,30448,4446,3403,3724,3740,23857,13878,1231,217467,3160,1835,13612,2975,3505,7020,1558,2097,1294,29816,6270,8966,2214,12489,7929,5478,8353,11306,2224,8052,43886,5322,5559,619,6424,1840,2585,2532,596,1365,5230,1932,179,345,14815,885,3964,14399,1879,2172,43,842,7,4,7238,6,532,2,670,239,8153,464,177,2298,49,1413,1240,1039,4136,1058,200,379,315,302,3274,109,63,448,245,17832,174,396,154,1479,977,318,104,4889,277,80,1388,4649,617,1351,1877,2683,16851,86,669,4970,37,400,3897,632,1732,2108,609,17807,1456,5045,1321,3572,1100,1766,28938,2128,54649,6593,4521,23738,2014,9569,1524,3641,12047,2261,870,5926,2908,1866,5171,95088,11405,27404,6572,12880,8261,14565,32492,6728,3613,5271,5421,21938,13377,1467,215028,4352,2284,18699,4132,3576,7344,1544,2126,1202,30198,6168,8083,2448,10928,7903,4570,6235,7478,1853,4483,38211,2740,3538,750,6296,1954,3387,2804,992,3471,4724,1723,265,462,14585,850,3895,14558
1995M07,1311,1841,20,882,8,11,6754,26,505,10,761,196,7969,566,125,2519,12,743,756,687,3398,797,135,261,112,218,2401,87,175,1624,648,16943,210,799,206,729,766,301,127,4350,292,54,1319,4724,574,1186,2316,3955,15107,50,450,4063,126,210,4158,519,1298,2078,626,21524,1350,4383,1109,3329,437,791,19564,1749,51614,6538,4323,16111,1734,9802,993,2697,11589,1959,1396,9175,2711,1373,5247,90894,8641,20474,5188,10748,7664,11647,30007,4306,3245,3570,3604,22287,12000,1294,207188,3472,1638,12766,2671,3448,6846,1629,2056,1436,29450,6140,12000,2437,12102,7445,6872,7892,9142,2087,8610,41254,4499,4614,745,6795,1572,2853,2340,529,1800,4771,1684,237,417,12843,1007,3818,13406,1442,2154,57,921,4,18,6842,10,559,7,715,194,6204,506,134,2748,6,883,1061,1394,3389,1168,122,2002,203,301,3432,105,114,477,241,16653,315,540,84,919,1688,732,131,4559,311,127,1332,5112,560,1686,1857,2832,16255,85,1134,4528,64,373,4201,534,1668,2254,755,18666,1400,4836,1526,3800,1018,976,26475,1605,52780,7669,4155,22976,2427,9699,1267,3075,12709,1832,757,3226,2464,2141,4828,93026,10438,21479,4174,10077,10742,12223,28363,4664,3059,3794,3607,21336,12224,1254,200520,2995,1248,11028,2735,3255,5346,1229,1709,1533,28755,5808,7123,2094,8936,6779,5990,6067,9505,1980,4621,35183,2497,3572,707,6871,1959,2936,2179,665,2062,5297,1203,375,568,13150,785,3884,14439
1995M08,1643,2017,36,762,13,14,6982,16,484,23,970,227,9381,761,145,2605,8,791,929,1449,3687,919,154,521,151,294,2712,105,198,766,335,19863,252,635,154,867,973,357,419,5365,296,55,1530,5594,554,1390,1645,2156,17794,108,620,4332,311,236,4485,546,1492,2220,799,19583,1532,4133,1285,3588,887,984,25492,2098,59369,7483,4786,23130,2246,10981,1185,2385,12914,2121,668,3175,2834,1776,6105,97666,8234,21476,4817,11170,8955,12951,35811,4663,3654,4357,3858,25146,14596,1251,243962,3875,1569,14151,2660,3692,6430,1735,2274,1400,32900,6174,10723,2382,14213,8245,5262,7804,9187,2206,6667,44369,3598,4771,781,6446,1735,2513,2195,585,1381,5127,1750,272,374,15489,800,4567,16056,2057,2340,46,804,6,11,8587,32,565,17,703,251,8144,764,197,3318,7,960,1156,984,4111,1240,199,611,277,347,3165,164,103,947,387,19223,276,780,190,1044,1644,489,115,5917,304,121,1455,7189,571,2159,1744,5200,17853,104,1173,4278,51,289,4443,687,1724,2025,921,20863,1545,4273,1544,4129,614,815,21350,2026,54432,6819,4424,18444,2180,10193,1234,2526,12756,2165,1147,3624,2819,1896,5537,95345,7214,16917,3954,10654,10403,11232,29079,4806,3028,3862,4139,21960,12725,1396,213192,2498,1210,13411,2937,3407,5934,1243,1846,1358,31051,6058,7702,2281,9381,8359,4280,6698,6803,1941,3649,39091,2782,3851,635,5844,1958,2750,2163,640,1433,5316,1226,360,574,14544,1073,3375,15184
1995M09,1238,1613,27,774,7,7,6616,14,514,6,700,172,7632,575,153,1781,4,808,708,1219,3558,757,100,394,126,316,2404,108,259,468,359,16069,191,402,143,744,876,309,153,4737,241,59,1370,5557,522,1262,1297,2336,15417,142,815,3847,138,235,3680,445,1455,2033,601,17282,1305,4265,1427,3602,949,1318,25723,1659,52291,6337,3976,23746,2025,9454,1181,2979,11142,2520,575,2483,2441,1623,4876,85150,7648,16846,4618,9679,10913,9834,27637,3742,2804,3286,3395,21217,11534,1019,200094,2724,1037,10937,2258,3548,4938,1302,1617,1308,26825,5059,7414,2206,9555,6499,4028,6561,7943,1877,4035,36758,2768,3842,640,5404,1833,2197,1991,856,1354,5025,1935,197,375,14262,801,3557,13995,1492,1789,25,723,6,20,7405,19,638,5,557,174,7354,461,130,2398,6,807,1059,850,3476,976,148,422,158,325,2893,123,65,575,500,16458,202,496,200,822,1604,393,64,5974,372,77,1762,7408,495,1793,1559,16634,20875,39,1251,11870,36,239,3563,625,1604,1970,709,18273,1259,3721,1131,3802,502,767,14287,1586,52303,6216,4161,12344,1813,8691,1088,2140,10971,1966,679,2569,2487,1629,4840,83549,6448,13978,3441,9187,8978,9121,25171,3789,2713,2806,3474,19244,11743,1138,189179,1659,1083,10932,2060,2979,5217,1096,1407,939,26775,5492,6697,2013,9089,7412,4105,6082,5995,1802,3773,35305,2815,4121,550,5320,1547,2236,1749,569,1119,4331,1106,371,655,12616,979,3013,12594
1995M10,1184,1524,47,723,2,10,7251,20,477,8,613,227,7030,539,180,1713,10,738,798,724,2719,946,116,2197,191,280,1994,123,92,484,286,16745,145,442,114,709,813,290,49,4609,240,44,1171,5167,527,3213,1283,2363,15948,121,635,4797,165,201,3461,516,1379,1858,671,39518,1217,3613,1061,3588,1219,717,17046,1509,49695,7026,3604,15043,2316,8474,849,2776,9276,1762,691,4430,2155,1979,4765,82451,8345,21599,6204,9987,10442,17077,25822,4621,2479,4860,3046,19074,10528,1017,184166,3690,1000,12011,1929,2778,5215,1270,1436,1137,27498,11577,7228,2186,9917,6590,4712,8299,7884,1771,3806,36697,2753,3718,707,5133,1414,1920,2167,497,2085,5057,1263,177,413,12633,792,5570,12374,1246,1427,33,721,21,12,6942,14,468,12,552,131,6748,535,298,1713,56,861,1104,675,3044,935,266,273,162,358,2615,128,76,578,242,16822,173,711,75,815,1668,322,35,4740,313,100,1331,4970,528,2023,1342,9260,17968,48,751,16619,25,466,3987,528,1405,2019,718,19242,1418,3743,901,3128,630,747,12615,1187,51303,5663,3898,12203,1676,8522,1058,2210,11076,1923,698,2662,2436,1934,5294,83191,7732,13632,3822,9105,6240,11605,24474,3644,2513,2733,2940,19565,11186,1202,185213,2896,811,10372,1870,3069,4618,1230,1592,864,28311,5354,6301,2297,9412,6672,4006,6690,6583,1949,4117,39124,2921,5290,577,4205,1267,1938,2082,518,678,4236,1298,211,617,12113,1072,3104,13612
1995M11,1237,1592,26,703,10,10,6793,18,438,84,554,315,7284,418,117,2052,10,769,1022,710,3006,787,115,335,209,318,2426,87,103,875,248,16102,164,374,151,711,885,246,58,4052,255,60,1347,4888,364,1555,1265,2361,17625,50,580,4753,114,166,3465,527,3094,1872,655,17859,1253,3241,1068,3548,414,755,14950,1305,50257,5460,4297,11926,1616,8279,868,2838,10181,1818,570,3644,1932,1606,4484,78763,14992,28346,6158,8281,8635,15963,28911,5756,2307,3364,3592,18355,12926,1034,186373,2738,3163,10197,2028,2894,5006,1310,1677,1041,27118,4789,7024,1991,8798,6150,4012,7009,7065,1861,3758,36301,2692,4032,698,6222,1384,2753,3093,530,4544,4375,957,187,448,14363,760,3466,13265,1138,1375,36,476,16,7,6544,17,522,7,559,172,6544,836,169,1619,13,1017,622,616,3044,898,152,201,107,326,2354,87,95,416,306,16298,384,675,239,1736,1449,287,49,4043,257,119,1474,4284,366,1689,1523,3182,15482,46,451,6289,40,388,4551,539,1771,1989,563,17705,1225,3494,980,2813,422,693,11375,1209,47829,4753,3536,11328,1788,8161,927,1737,10532,1656,567,2483,1975,1758,4532,81628,6916,16507,3333,8770,4715,11062,23415,3452,2564,3897,2924,18695,10763,1294,171854,2089,1112,10854,1845,2714,4636,1150,1212,717,25541,5283,5754,2553,8115,6515,4073,6327,6179,1921,4009,37185,2687,5925,520,4141,1281,1701,1490,443,544,3925,1183,246,526,12227,748,2571,12356
