region;Dummies
1; 1997(4) 2000(4) 2009(4) 2009(12) 2010(3) 2010(5) 2010(6) 2010(7) 2011(2) 2011(3) 2011(5) 2012(4) 2012(12) 2013(1) 2013(5) 2015(1) 1997(4) 2000(4) 2009(4) 2009(12) 2010(3) 2010(5) 2010(6) 2010(7) 2011(2) 2011(3) 2011(5) 2012(4) 2012(12) 2013(1) 2013(5) 2015(1)
2; 2011(6) 2011(7) 2013(9) 2011(6) 2011(7) 2013(9)
3; 2010(1) 2012(4) 2013(5) 2013(12) 2015(12) 2010(1) 2012(4) 2013(5) 2013(12) 2015(12)
4; 1996(12) 2012(4) 2012(12) 1996(12) 2012(4) 2012(12)
5; 2009(6) 2009(10) 2009(12) 2010(1) 2010(5) 2010(6) 2011(5) 2011(11) 2011(12) 2012(1) 2012(3) 2012(9) 2009(6) 2009(10) 2009(12) 2010(1) 2010(5) 2010(6) 2011(5) 2011(11) 2011(12) 2012(1) 2012(3) 2012(9)
6;
7; 2004(7) 2010(7) 2011(10) 2015(9) 2015(10) 2015(12) 2016(7) 2016(10) 2016(12) 2004(7) 2010(7) 2011(10) 2015(9) 2015(10) 2015(12) 2016(7) 2016(10) 2016(12)
8;
9; 2001(12) 2002(3) 2006(6) 2007(7) 2009(9) 2009(11) 2009(12) 2010(1) 2010(6) 2010(12) 2011(3) 2011(11) 2012(2) 2012(4) 2012(10) 2013(1) 2013(4) 2013(12) 2014(4) 2014(12) 2016(11) 2001(12) 2002(3) 2006(6) 2007(7) 2009(9) 2009(11) 2009(12) 2010(1) 2010(6) 2010(12) 2011(3) 2011(11) 2012(2) 2012(4) 2012(10) 2013(1) 2013(4) 2013(12) 2014(4) 2014(12) 2016(11)
10; 2010(4) 2010(12) 2011(1) 2012(12) 2013(3) 2013(9) 2013(12) 2014(1) 2014(2) 2014(4) 2014(12) 2015(1) 2015(5) 2015(7) 2015(12) 2016(4) 2016(11) 2016(12) 2010(4) 2010(12) 2011(1) 2012(12) 2013(3) 2013(9) 2013(12) 2014(1) 2014(2) 2014(4) 2014(12) 2015(1) 2015(5) 2015(7) 2015(12) 2016(4) 2016(11) 2016(12)
