region;AIC;BIC;HaQ
188;34,6229;37,7306;35,8738
189;29,0702;32,1780;30,3211
190;34,7507;37,8303;35,9903
191;37,4201;40,5279;38,6711
192;15,7109;18,7904;16,9505
193;19,8292;22,9370;21,0801
194;24,4568;27,5646;25,7078
195;19,8118;22,9196;21,0627
196;21,5415;24,6493;22,7924
197;22,1928;25,3006;23,4437
198;27,5207;30,6285;28,7716
199;19,2528;22,3606;20,5038
200;30,9068;34,0146;32,1577
201;31,7193;34,8271;32,9702
202;22,8126;25,8922;24,0522
203;33,8295;36,9373;35,0804
204;35,1875;38,2953;36,4385
205;28,6993;31,8070;29,9502
206;23,6884;26,7962;24,9393
207;23,0150;26,1228;24,2659
208;26,9195;30,0273;28,1705
209;25,5489;28,6567;26,7998
210;22,9040;26,0118;24,1550
211;25,2400;28,3477;26,4909
212;21,7133;24,8211;22,9642
213;26,7401;29,8478;27,9910
214;25,6601;28,7679;26,9111
215;18,0621;21,1699;19,3130
216;35,0186;38,1264;36,2695
217;24,4263;27,5058;25,6658
218;26,0718;29,1796;27,3228
219;30,3220;33,4016;31,5616
220;22,0154;25,1232;23,2664
221;25,6585;28,7380;26,8981
222;28,5650;31,6446;29,8046
223;25,4438;28,5234;26,6834
224;24,6998;27,7794;25,9394
225;24,1328;27,2406;25,3837
226;25,1963;28,3041;26,4472
227;24,4168;27,4964;25,6564
228;24,8947;28,0025;26,1457
229;26,1119;29,2197;27,3629
230;30,9703;34,0781;32,2212
231;22,7912;25,8990;24,0422
232;28,4676;31,5754;29,7185
233;25,7135;28,7930;26,9530
234;27,8958;30,9753;29,1353
235;27,4512;30,5308;28,6908
236;25,2750;28,3545;26,5146
237;28,8238;31,9034;30,0634
238;29,4711;32,5789;30,7220
239;38,0188;41,1266;39,2697
240;23,0802;26,1880;24,3311
241;26,0158;29,1236;27,2667
242;28,6949;31,7744;29,9345
243;20,9568;24,0646;22,2077
244;26,5912;29,6990;27,8421
245;25,9079;29,0157;27,1589
246;28,8915;31,9993;30,1424
247;28,2513;31,3591;29,5022
248;25,6431;28,7509;26,8941
249;30,8337;33,9415;32,0847
250;32,3577;35,4655;33,6086
251;28,2659;31,3737;29,5169
252;29,9577;33,0655;31,2086
253;26,5205;29,6283;27,7714
254;27,5213;30,6291;28,7722
255;26,6360;29,7438;27,8870
256;27,4366;30,5444;28,6875
257;30,9268;34,0346;32,1778
258;23,3538;26,4616;24,6048
259;25,3942;28,5020;26,6452
260;22,4384;25,5462;23,6893
261;27,8007;30,9085;29,0516
262;25,7583;28,8661;27,0092
263;23,1667;26,2462;24,4063
264;25,2338;28,3416;26,4847
265;26,0667;29,1745;27,3176
266;26,9674;30,0751;28,2183
267;29,5064;32,6141;30,7573
268;33,6578;36,7656;34,9088
269;31,9319;35,0397;33,1828
270;30,8857;33,9934;32,1366
271;30,8473;33,9551;32,0982
272;30,8783;33,9861;32,1292
