Meso,NIV_1995M01,NIV_1995M02,NIV_1995M03,NIV_1995M04,NIV_1995M05,NIV_1995M06,NIV_1995M07,NIV_1995M08,NIV_1995M09,NIV_1995M10,NIV_1995M11,NIV_1995M12,NIV_1996M01,NIV_1996M02,NIV_1996M03,NIV_1996M04,NIV_1996M05,NIV_1996M06,NIV_1996M07,NIV_1996M08,NIV_1996M09,NIV_1996M10,NIV_1996M11,NIV_1996M12,NIV_1997M01,NIV_1997M02,NIV_1997M03,NIV_1997M04,NIV_1997M05,NIV_1997M06,NIV_1997M07,NIV_1997M08,NIV_1997M09,NIV_1997M10,NIV_1997M11,NIV_1997M12,NIV_1998M01,NIV_1998M02,NIV_1998M03,NIV_1998M04,NIV_1998M05,NIV_1998M06,NIV_1998M07,NIV_1998M08,NIV_1998M09,NIV_1998M10,NIV_1998M11,NIV_1998M12,NIV_1999M01,NIV_1999M02,NIV_1999M03,NIV_1999M04,NIV_1999M05,NIV_1999M06,NIV_1999M07,NIV_1999M08,NIV_1999M09,NIV_1999M10,NIV_1999M11,NIV_1999M12,NIV_2000M01,NIV_2000M02,NIV_2000M03,NIV_2000M04,NIV_2000M05,NIV_2000M06,NIV_2000M07,NIV_2000M08,NIV_2000M09,NIV_2000M10,NIV_2000M11,NIV_2000M12,NIV_2001M01,NIV_2001M02,NIV_2001M03,NIV_2001M04,NIV_2001M05,NIV_2001M06,NIV_2001M07,NIV_2001M08,NIV_2001M09,NIV_2001M10,NIV_2001M11,NIV_2001M12,NIV_2002M01,NIV_2002M02,NIV_2002M03,NIV_2002M04,NIV_2002M05,NIV_2002M06,NIV_2002M07,NIV_2002M08,NIV_2002M09,NIV_2002M10,NIV_2002M11,NIV_2002M12,NIV_2003M01,NIV_2003M02,NIV_2003M03,NIV_2003M04,NIV_2003M05,NIV_2003M06,NIV_2003M07,NIV_2003M08,NIV_2003M09,NIV_2003M10,NIV_2003M11,NIV_2003M12,NIV_2004M01,NIV_2004M02,NIV_2004M03,NIV_2004M04,NIV_2004M05,NIV_2004M06,NIV_2004M07,NIV_2004M08,NIV_2004M09,NIV_2004M10,NIV_2004M11,NIV_2004M12,NIV_2005M01,NIV_2005M02,NIV_2005M03,NIV_2005M04,NIV_2005M05,NIV_2005M06,NIV_2005M07,NIV_2005M08,NIV_2005M09,NIV_2005M10,NIV_2005M11,NIV_2005M12,NIV_2006M01,NIV_2006M02,NIV_2006M03,NIV_2006M04,NIV_2006M05,NIV_2006M06,NIV_2006M07,NIV_2006M08,NIV_2006M09,NIV_2006M10,NIV_2006M11,NIV_2006M12,NIV_2007M01,NIV_2007M02,NIV_2007M03,NIV_2007M04,NIV_2007M05,NIV_2007M06,NIV_2007M07,NIV_2007M08,NIV_2007M09,NIV_2007M10,NIV_2007M11,NIV_2007M12,NIV_2008M01,NIV_2008M02,NIV_2008M03,NIV_2008M04,NIV_2008M05,NIV_2008M06,NIV_2008M07,NIV_2008M08,NIV_2008M09,NIV_2008M10,NIV_2008M11,NIV_2008M12,NIV_2009M01,NIV_2009M02,NIV_2009M03,NIV_2009M04,NIV_2009M05,NIV_2009M06,NIV_2009M07,NIV_2009M08,NIV_2009M09,NIV_2009M10,NIV_2009M11,NIV_2009M12,NIV_2010M01,NIV_2010M02,NIV_2010M03,NIV_2010M04,NIV_2010M05,NIV_2010M06,NIV_2010M07,NIV_2010M08,NIV_2010M09,NIV_2010M10,NIV_2010M11,NIV_2010M12,NIV_2011M01,NIV_2011M02,NIV_2011M03,NIV_2011M04,NIV_2011M05,NIV_2011M06,NIV_2011M07,NIV_2011M08,NIV_2011M09,NIV_2011M10,NIV_2011M11,NIV_2011M12,NIV_2012M01,NIV_2012M02,NIV_2012M03,NIV_2012M04,NIV_2012M05,NIV_2012M06,NIV_2012M07,NIV_2012M08,NIV_2012M09,NIV_2012M10,NIV_2012M11,NIV_2012M12,NIV_2013M01,NIV_2013M02,NIV_2013M03,NIV_2013M04,NIV_2013M05,NIV_2013M06,NIV_2013M07,NIV_2013M08,NIV_2013M09,NIV_2013M10,NIV_2013M11,NIV_2013M12,NIV_2014M01,NIV_2014M02,NIV_2014M03,NIV_2014M04,NIV_2014M05,NIV_2014M06,NIV_2014M07,NIV_2014M08,NIV_2014M09,NIV_2014M10,NIV_2014M11,NIV_2014M12,NIV_2015M01,NIV_2015M02,NIV_2015M03,NIV_2015M04,NIV_2015M05,NIV_2015M06,NIV_2015M07,NIV_2015M08,NIV_2015M09,NIV_2015M10,NIV_2015M11,NIV_2015M12,NIV_2016M01,NIV_2016M02,NIV_2016M03,NIV_2016M04,NIV_2016M05,NIV_2016M06,NIV_2016M07,NIV_2016M08,NIV_2016M09,NIV_2016M10,NIV_2016M11,NIV_2016M12,NIV_2017M01,NIV_2017M02,NIV_2017M03,NIV_2017M04,NIV_2017M05,NIV_2017M06,NIV_2017M07,NIV_2017M08,NIV_2017M09,NIV_2017M10,NIV_2017M11,NIV_2017M12,NIV_2018M01,NIV_2018M02,NIV_2018M03,NIV_2018M04,NIV_2018M05,NIV_2018M06,NIV_2018M07,NIV_2018M08,NIV_2018M09,NIV_2018M10,NIV_2018M11,NIV_2018M12
2303,444259,448505,449013,450602,452996,452400,452110,451470,451859,451936,452132,449990,453530,456490,457424,459652,461530,464549,467393,467888,469861,469586,470929,467460,471585,473288,474373,476666,478730,481412,482652,484398,486351,485920,487289,480861,482345,481940,482223,485822,487091,488949,493076,496964,500447,499046,499422,493726,495363,496401,494534,495585,497883,500938,502984,506921,510233,514193,517493,515147,522874,525306,524775,528067,530442,534699,537830,542145,545742,548208,551137,543821,547875,550941,550983,552779,551146,552797,551717,558337,560506,564019,566019,564450,568348,570075,571351,575450,576338,579114,581717,585079,589899,591885,596221,596469,600163,602360,601213,603551,604366,606961,608105,611285,615023,618124,621624,620158,623302,624784,626111,627952,632680,635569,637843,644746,649727,653100,657814,655556,663724,667149,669446,673563,676611,679786,682730,686962,692585,697595,703888,703560,706483,711801,713498,717488,722366,726059,729697,733452,739026,743367,748910,746634,748325,755768,760429,765677,769261,771557,775072,781098,788090,794135,800503,799499,807158,812308,819154,823354,839307,846707,855074,863278,869497,874071,879656,876453,883512,889538,893971,901453,906992,911719,918767,929269,940288,949828,961420,961652,970554,982461,993311,1004065,1012322,1016383,1026085,1034227,1043880,1052625,1061604,1060592,1070635,1082343,1086133,1096825,1101302,1104983,1113209,1118030,1126507,1132647,1138643,1135266,1143479,1153807,1154883,1162306,1165333,1169458,1174168,1175465,1187783,1191025,1197805,1188126,1199686,1207481,1215724,1224107,1227478,1233839,1235958,1244241,1254842,1248977,1260888,1257586,1272203,1289144,1280902,1287555,1292560,1292140,1294532,1303519,1311461,1315167,1323144,1315141,1328058,1338675,1342512,1345105,1345798,1346777,1343336,1344896,1343866,1340304,1336234,1327314,1337727,1341672,1328065,1327737,1324842,1321934,1318007,1319076,1317393,1315274,1313242,1297275,1309828,1321916,1325275,1328515,1329998,1329716,1330512,1335445,1336647,1339516,1339453,1332264,1344535,1343146,1345370,1351735,1353625,1357402,1357978,1361884,1365718,1366312,1367221,1361132
2304,21185,21286,21262,21397,21460,21436,21541,21565,21576,21604,21824,21717,21927,21777,22212,22350,22597,22720,22760,22800,22944,23092,23087,22874,23022,22574,22524,22498,22557,23036,23022,22928,23262,23328,23467,23155,23029,23625,23635,23737,24117,24163,24314,24460,24556,24484,24369,24062,24146,24257,24419,24484,24575,24727,24859,24985,25004,24960,24923,24821,24887,24968,25092,25247,25302,25576,25687,25955,25942,25991,25948,25719,25961,26406,26444,26657,26699,26618,26655,26862,26906,27013,27109,26810,27761,27971,28434,28976,29413,29789,29950,30276,30450,30556,30517,30475,30670,31223,31424,31838,32251,32492,32367,32491,32501,32548,32554,32408,32519,32567,32739,32884,33288,33680,33827,33720,33826,33915,34031,33702,34475,35732,36802,37030,37511,37835,37758,38335,38703,38596,38628,38269,40207,41203,41757,42018,42422,42902,42734,43481,43919,44122,43864,42460,44375,45688,46394,46611,46582,46859,46583,47233,47876,48050,48191,48091,49402,51468,52057,51811,52280,52781,52674,53249,53589,53205,52714,50626,54136,57322,58439,59213,59842,59990,59990,60624,61039,61094,61159,59441,60482,63450,64830,64934,65454,65952,65298,66955,67473,67033,67161,64850,67979,70950,71879,72227,72415,71631,71708,73909,74419,74541,74930,73099,74848,78372,79168,79662,80088,80196,81287,82396,82390,81905,81517,77386,81427,86345,87731,89012,89714,89553,89059,91631,92473,92812,92640,89757,94136,98176,98917,99746,99768,99497,101368,102317,102558,102502,101352,98579,102519,105531,107022,107736,108113,106984,106479,108817,108765,108851,108114,104628,107313,109813,110337,111310,111709,111294,111470,111934,111319,110615,108984,103090,106931,110594,112808,114098,114559,113532,113571,115936,116217,115880,115026,110613,116621,120586,121626,122424,122758,122342,121030,123046,123154,123302,122539,116612
2305,18764,19003,19037,18803,18944,18775,18516,18661,18755,19024,19325,19226,19398,19415,19024,19002,19349,19693,19810,19974,20265,20368,20227,19916,20421,21122,21138,21199,21644,21953,22247,22403,22817,23240,23274,22953,23017,23195,22741,22680,22966,23112,23089,23232,23424,23618,23579,23397,23509,23580,23594,23623,24173,24799,25073,25450,25712,26301,26580,26295,26503,26379,26726,27553,27826,28028,28168,28927,29409,29206,28503,27860,28731,28771,29515,29960,30215,30527,30477,29240,30357,30660,30894,30666,31253,31156,31542,31596,32306,32798,33452,34922,36053,36380,36654,36216,36009,34875,34527,34265,34968,35469,36430,38472,39548,40373,40176,39357,39120,37765,37866,38194,38842,39561,40428,42600,43695,43520,43426,42514,41890,41808,41992,42192,42775,43487,44161,46075,47695,47923,48213,47606,47967,47679,46887,47203,47510,49029,50441,54089,55289,54827,54493,52999,51976,50941,50256,50793,51050,51948,52944,56454,57829,58475,58763,57368,56915,56314,55211,54354,55074,56804,58297,61366,62044,62542,62665,57849,58719,58454,58799,58363,58122,58417,59764,63106,64826,65903,65935,63163,62287,62929,63055,63379,63307,63670,64481,66135,67043,67326,67567,64593,65028,66150,66088,66377,66434,67189,67807,70697,71759,72288,72033,68983,69184,69723,69802,69674,69658,70648,71607,73286,74014,73996,73374,68579,72254,75131,76410,77418,77378,78382,79156,81459,82023,81651,81394,78628,79400,81052,81331,81786,82036,81227,82948,84490,85466,86062,85712,82420,83990,85124,86441,86626,86765,86019,86389,88859,89356,89955,89495,85000,86168,86509,86344,86309,86897,86869,87359,88012,87920,87054,86414,80079,82737,84034,85566,85994,85730,84358,85999,88276,89026,88934,87379,84913,86571,86964,87527,87754,88070,87314,87503,89478,90060,90587,90454,87142
2306,11539,11650,11700,11704,11727,11665,11543,11579,11636,11597,11685,11640,11753,11813,11880,12109,12091,12124,12164,12230,12192,12360,12353,12344,12024,12005,12087,12040,12165,12265,12186,12271,12697,12854,12844,12546,12573,12793,12846,13045,13134,13330,13574,14193,14217,14488,14583,14529,13653,13605,13603,13604,13781,14052,14187,14255,14309,14313,14343,14326,14342,14312,14465,14897,14682,14541,14533,14529,14531,14504,14420,14327,14790,15551,15579,15669,15598,15601,15594,14944,15258,15466,15535,15333,15473,15582,15978,16733,17104,17189,17624,17727,18294,18289,18197,18353,18362,18592,18639,18776,18789,18504,18342,18398,18291,18452,18494,18405,18661,18638,18791,18844,19020,19132,19118,19193,19041,19068,19119,18870,19387,19651,20255,20477,20588,20851,20917,20995,21137,21276,21277,21177,22110,23151,23294,23661,23789,23847,23916,24380,24465,24398,24603,24634,25785,26721,27160,27579,27518,27655,27743,27928,28166,28265,28357,28255,29407,30035,30581,30763,30856,31494,31558,31762,31958,31936,31940,31834,33389,34913,35260,35744,35801,36094,36144,36420,36943,37089,37264,37281,39269,40437,40914,41102,41309,41559,41876,42163,42188,42333,42458,39840,42389,43401,43717,44012,44185,44419,44547,44952,44892,44921,45153,43097,45822,46401,46461,46851,46918,46995,47508,47805,48055,48103,48142,45038,48336,50329,49460,50446,52223,52620,52327,53372,53752,53796,54134,52049,54844,55346,55488,54370,56328,56064,56256,56551,56993,57232,57280,57193,58011,58513,58969,59068,58939,59061,58776,59567,59692,59630,59604,58384,59253,59800,59920,60001,60071,59993,60078,60147,60122,59688,59476,58408,59675,60546,60988,61253,61655,61814,61562,62317,62413,62191,62024,60854,61587,62710,63118,63230,63286,63338,63220,63883,64030,64016,63994,62768
2307,32398,32734,32608,32551,32408,32650,32840,33017,33095,33201,34226,34158,34420,34641,34717,35058,35516,36100,36416,36709,36958,36939,37178,36651,37484,37779,38828,39038,39384,40151,40326,39733,40291,40222,40330,39661,40141,41908,42131,42787,43082,43122,43664,43622,43482,43712,44141,43930,44149,44711,44858,45283,45761,46086,46340,46510,46607,46936,47006,46779,47410,47653,47836,48158,49267,49338,49656,49959,50255,50034,50664,49881,51567,52823,53041,54139,54559,55031,55670,56101,56462,56798,57028,53602,56672,57748,58926,58894,59170,60205,59078,59232,59454,59540,59969,60004,60231,60747,61769,62350,62393,63073,63196,63349,63762,63674,63870,63068,63348,63442,64152,64214,64588,65061,65777,66143,66908,67096,66984,64519,65835,66717,67411,67510,67571,67961,68744,69551,70167,70700,70656,69829,70746,72172,72936,73390,73731,74177,74293,75586,76397,77288,77631,76406,77435,78697,79937,80707,81338,81589,82155,83461,84367,85344,85937,85439,86110,87775,89343,88705,88924,89504,90760,91797,92169,92653,92640,89311,92006,95524,98252,99434,100132,101035,102242,103789,105663,106660,107744,106281,107921,110903,113277,114067,114749,114996,115115,116732,117700,118859,119493,115050,118580,122751,124483,124893,125529,126238,126895,129427,130439,131894,132856,128324,131431,133690,135817,136559,137562,138243,138896,139507,140653,140791,141167,133845,136820,140692,143134,145156,145892,146223,146952,149169,150375,151745,151495,147805,151611,155443,155160,157418,158613,157138,159033,160539,162425,163233,163491,158311,161741,163781,165503,166284,166962,165182,165510,167639,167749,167161,166611,161162,163821,165188,167457,168439,168727,168544,168457,169029,168888,168199,166778,160911,164752,167521,168231,171200,171408,168412,169099,171540,171368,171959,171227,167872,170505,171132,172995,173985,175302,175005,175833,177004,177598,177656,176894,174796
2401,44633,45011,45149,45314,45501,45402,46324,46995,47723,48578,49142,49164,49385,49202,48950,48614,47302,46973,47410,48192,48711,48728,48974,47510,48130,47333,47381,47475,47662,48112,48923,49751,50028,50312,49927,49102,49792,49982,50496,50946,51045,51194,51703,53013,53800,54516,54707,53394,52940,52342,52200,52040,52573,52714,53248,54284,55089,55629,56031,55616,55929,55900,55656,55720,56088,56860,57494,58820,59456,59940,59893,58837,59910,60000,60085,60645,60597,61944,62996,64285,65342,65880,66377,65941,66230,65941,66253,66561,66941,66768,67499,69293,71133,72377,72824,72290,72513,72315,71346,71276,71646,72503,74206,76065,76909,78017,79070,77914,77400,76462,76654,77243,78198,79563,81107,83279,85171,85440,85446,83011,84593,83682,83574,84409,85507,86268,87360,89434,91375,92429,92895,91850,92064,91192,90974,91322,91576,92324,93958,96342,98875,100764,101421,100163,100375,99403,99050,99724,99861,100699,102132,103870,105237,106095,106386,105225,105291,104307,104422,104502,104477,105480,107583,109268,111250,112374,112522,109122,111388,111082,110980,110207,110123,110847,111979,114008,116165,116940,117636,115257,116572,116406,116996,117353,118497,119351,121294,123794,125363,125838,126148,124258,125502,125322,126220,126678,127189,128335,128992,130496,132103,133639,134386,132923,134079,133983,134451,135023,134841,136709,138569,140457,141239,141128,141127,137101,140093,140365,141087,140729,141634,142969,143661,146161,147637,149027,149794,148374,149373,150000,150145,150460,150669,151536,152909,154818,158255,158300,157447,154725,156245,154891,155624,155117,155261,155299,156205,157328,157473,156761,156492,154116,155112,154120,153468,152955,152373,152796,153699,155691,155740,154912,153258,146976,150445,150891,152280,152062,152560,153448,154380,157018,157059,157378,156642,153343,154215,153714,154099,154278,154660,156199,157413,160062,160949,161074,161202,158118
2402,15621,15553,15588,15624,15588,15646,16077,16209,16293,16325,16366,16196,17193,17157,17213,17224,17634,17894,17994,18269,18414,18373,18473,16845,17312,17940,18059,18137,18397,18456,18235,18248,18407,18595,18968,18812,19011,19345,19763,20145,20327,20282,20564,20825,20939,20944,20996,20768,21377,21422,21612,21725,22139,22394,21987,21905,21880,21876,21889,21965,22330,22517,22992,23195,23583,23781,24144,24994,25101,25141,24918,24738,25725,25854,26271,26635,26720,26858,26887,26798,26922,26890,26709,26488,26814,27230,27619,27998,28310,28823,28964,29092,29185,29301,29316,28687,29437,29720,30356,30544,30686,30719,30786,30848,30991,31159,31395,31130,31472,31743,32163,32440,32912,33209,34075,34454,34586,34921,35061,34114,36451,37058,38085,38445,39038,39143,38863,38594,38822,39077,39102,38201,38872,38943,39449,39916,40178,40433,40530,40636,40842,41113,41418,40975,41623,42008,42620,42747,42955,43345,43730,43878,44203,44620,44983,44871,45370,45833,46091,46104,46280,46303,46817,47318,47265,47115,47092,45772,46999,47340,48017,48841,49601,49159,49585,49851,50224,50478,50994,50315,52434,52839,53966,54757,55077,55283,55981,56272,56502,56559,56824,54912,56645,57629,58145,58388,58605,58844,59304,59906,60320,60783,60881,59105,61068,61743,62360,62807,63267,63870,63958,64094,64074,63716,63746,60248,63079,64308,65150,65553,65871,66605,65836,67556,68134,68195,68416,66665,68650,69368,69917,70372,70509,70727,70960,71361,71670,71943,72169,70388,71868,72365,72968,73508,73771,73631,73792,73999,73981,73914,73585,72076,72844,73021,73453,73598,73531,73874,73969,73902,73914,73205,72773,68219,71563,72156,72919,73167,73426,73406,73473,73612,73869,73691,73691,71081,72146,72394,72962,73458,73574,73518,74020,74513,74715,74343,74427,70992
2403,11086,11105,11253,11352,11315,11304,11308,11004,10915,10901,10892,10608,10756,10875,10970,11038,11074,11102,10743,11037,11123,11085,10893,10402,10514,10879,11224,11489,11520,11742,11952,12032,12094,12029,12123,12048,12187,12510,13081,13179,13359,13522,13687,13660,13675,13299,13211,12995,13037,13076,13286,13311,13387,13543,14443,14626,14682,14702,14690,13577,13673,14043,14250,14369,14619,14703,14888,14843,14785,14755,14713,14608,15286,15401,15754,15994,16165,16283,16446,16546,16609,16628,16688,16638,16763,16844,17069,17312,17573,17745,17966,18110,18184,18157,18187,18135,18364,18407,18695,18845,18939,19182,19337,19450,19683,19793,20080,20069,20349,20425,20670,20752,20869,20798,20903,20936,21001,21186,21103,20864,21914,22302,23165,23569,23701,23845,24050,24276,24476,24702,24808,24395,24915,25138,25594,25666,25767,25784,25960,25645,25872,25929,26076,25858,26912,27008,27618,27852,27940,28043,28235,28321,28752,28822,28724,28143,28554,28381,28764,29052,29123,29422,30195,30509,30739,30892,30756,29853,31427,32494,33629,34203,34459,34658,34449,34787,35256,35608,35734,34848,35944,36286,37274,37420,37704,37935,37922,37821,38058,38218,37991,37566,38660,38933,39692,39940,40148,40363,40630,40827,41088,41238,41214,40326,41299,41340,42445,42688,42655,42870,43050,43174,42691,41872,41604,40366,43391,44690,46769,47058,47244,47427,47684,47894,47865,48026,47792,46174,47356,48686,49632,50006,50070,50157,50345,50566,50609,50545,49937,48117,49508,49968,51617,51895,52081,52198,52330,52382,52220,52076,51889,50135,51426,51893,53190,53473,53466,53529,53515,53601,53188,52694,52073,48757,52251,53468,56018,56633,56699,57134,57348,57407,57216,56811,56210,52905,54218,54925,56895,57178,57178,57029,57313,57515,57798,57851,57191,54235
2404,208135,208711,209143,209871,210573,208791,209000,209552,210789,210920,210911,210017,212415,210137,210689,211916,212460,213595,214621,216949,221039,221659,221789,220499,222125,220351,221215,222387,223655,224509,225547,225424,230980,231732,230730,227751,229615,229152,229516,230766,231950,232670,233765,235445,238827,238898,238839,235850,237795,236117,235566,236101,236802,237791,238895,240950,244101,246931,247988,245325,246034,248032,248626,250442,251517,252721,253678,256893,258865,260329,263218,261982,265752,265349,267086,268252,270049,269962,221231,222397,226386,226629,226256,221495,223469,225357,226228,227647,228605,228974,229680,231882,236880,237956,238448,236201,239383,239805,240216,242012,243267,242318,243397,245284,249043,249212,249283,247527,248090,249090,250701,253716,259093,262209,264983,269599,271145,273690,275097,271504,274762,275466,274584,278511,281932,283151,283196,285859,292671,294572,295670,296370,300840,301379,303002,306247,308572,310107,313548,315842,322258,322369,324621,320357,321845,322663,325454,327036,328212,332117,334712,339006,344641,347182,348736,348324,350501,350149,353425,355906,358147,360322,362707,369385,371035,371757,370797,366369,370114,367526,370689,371709,372446,374225,377055,382860,385836,387902,391958,390809,394293,395034,398833,401242,404448,407282,410385,415723,420769,423065,425207,421262,423207,426016,427390,428413,427294,428271,429019,432905,436445,437751,438479,436228,439171,438961,443142,445230,445602,446783,447945,450506,455628,455035,455938,450900,454964,457684,463113,465077,465835,465100,466132,468007,472842,473481,474724,470122,474694,478776,480691,483097,484645,484371,484769,487546,491146,491815,492499,487936,491041,489792,493524,493869,493675,492385,490415,489065,491481,491263,490863,485430,486983,485260,488152,487475,487434,486211,485658,485616,486917,485376,484481,476218,481037,482813,485896,486925,486645,487691,487627,488290,490157,489959,489931,483658,488349,487526,490076,491704,491962,492086,492963,495483,496366,497925,498840,493657
2501,29803,29992,30066,29981,29935,29929,29948,29956,30087,30160,30162,29993,29983,30084,30150,30142,30263,30432,30585,30691,30820,30802,30801,30668,30719,30532,30805,30839,31041,31101,31266,31390,31528,31646,31698,31401,32300,33307,34220,34602,34815,34791,34882,35048,35184,35155,35163,34857,35010,34950,35003,35061,35156,35164,35373,35441,35429,35426,35476,35400,35423,35588,35577,35713,35746,35887,35854,35992,36169,36266,36284,36129,36595,37018,37319,37448,37224,37258,36944,36934,36959,36831,36648,36435,36606,37182,37718,38070,38070,38249,38359,38591,38779,38782,38752,38446,38507,38830,38958,39176,39241,39319,39472,39703,39880,39845,39837,39725,39827,40142,40430,40567,40696,40958,40983,41219,41384,41334,41315,40986,42780,43652,44365,44447,44583,44908,45057,45202,45360,45324,45390,45365,45867,46576,47056,47423,47566,47526,47543,47657,47814,47786,47900,47821,48488,48835,49260,49697,49897,50016,50302,50640,51213,51500,51666,51483,52472,53499,55326,55944,56453,56910,57540,57707,58265,58167,57743,56609,60465,62294,63258,63819,64728,65260,65849,66503,66811,67335,67786,67618,68821,69984,70979,71765,72427,72903,73049,73509,73822,74177,74407,73733,75059,76297,77004,77793,78227,78873,79377,80205,80825,81075,81428,79655,80878,82459,83355,84275,84832,85613,86267,86509,86574,86521,86260,82451,86636,89092,91182,92267,92808,93474,93997,94701,95168,95948,95941,94083,96960,99057,100290,101154,101586,102387,102863,103594,104298,103772,103687,102083,104194,105339,106691,107245,107737,108075,108280,108153,108223,108236,107636,106078,107848,108247,110263,110832,110978,111181,111529,111710,111622,110991,110372,106977,110450,112718,114499,115202,115776,116292,116853,117308,117410,117359,117101,115723,118316,119894,121306,122311,122582,122837,123134,123586,123783,123736,122921,121525
2502,8456,8636,8618,8611,8548,8569,8642,8708,8726,8782,8841,8823,8795,8782,8779,8781,8761,8789,8793,8818,8897,8886,8836,8744,8747,8734,8827,8830,8933,8976,9189,9249,9335,9355,9315,9289,9496,9911,10226,10358,10376,10494,10551,10514,10464,10430,10450,10419,10463,10536,10607,10609,10679,10657,10651,10751,10807,10852,10829,10763,10813,10979,11034,11117,11222,11309,11295,11256,11192,11153,11115,10979,11382,11613,11665,11746,11792,11805,11841,11722,11779,11787,11752,11702,12061,12286,12492,12549,12626,12680,12687,12643,12698,12730,12738,12652,13046,13265,13325,13365,13401,13559,13613,13657,13703,13779,13789,13734,13990,14148,14233,14303,14359,14410,14516,14530,14527,14479,14462,14214,15665,16212,16732,16959,17074,17073,17159,17246,17245,17251,17294,16666,17225,17835,18219,18264,18456,18480,18606,18595,18651,18670,18693,17927,18543,18660,19013,19122,19212,19258,19340,19651,19763,19823,19891,19526,20253,20450,20642,20786,20875,20987,21131,21157,21229,21171,21152,20538,22072,22752,23469,23579,23716,23832,23895,24099,24182,24290,24345,23660,24623,25043,25626,25775,25952,26117,26457,26707,26882,26973,26958,26181,26939,27606,27908,28227,28382,28501,28650,28787,29058,29193,29310,28736,29845,30258,30869,31177,31364,31510,31780,31839,31889,31798,31578,30503,32131,32805,33749,34363,34729,34966,35099,35372,35475,35693,35754,34748,35596,36380,36845,37102,37370,37391,37450,37884,38090,38268,38231,37334,38131,38790,39382,39594,39492,39461,39475,39447,39531,39546,39534,38817,39606,40345,40842,41030,41098,41160,41003,41049,41057,40907,40896,39964,42219,43662,44405,44699,44863,44738,44996,45104,45093,45042,45030,44187,45086,45874,46585,46675,47042,46968,47342,47518,47575,47535,47385,46659
2503,65317,65181,65159,65331,65744,65604,65617,65542,65934,66094,66221,65740,65892,65999,66205,66352,66653,67079,67148,67515,67932,67892,68281,67820,67867,68131,68877,69341,69459,69731,70041,70748,71202,71462,71312,70654,70828,72992,74129,74761,75613,75639,75850,76080,76313,76529,76555,75923,76418,76363,76394,76889,77777,77954,77842,77941,78167,78348,78251,78031,78574,78774,79045,79416,79824,80274,80524,80711,80896,81147,81228,80752,81926,82331,82575,82903,82180,83045,83028,83091,83585,84245,84565,83906,85119,85542,86429,87145,87527,88302,88416,88305,88573,89078,89332,88961,89016,89489,89457,90139,90261,90530,90699,91043,91694,92283,92656,92095,92674,92669,92904,93381,93774,94177,95045,95764,95929,96637,96659,96181,99222,100521,101442,102255,103151,103630,103937,104727,105538,106167,107183,107331,110335,111384,112244,112910,113727,114015,114447,115004,115629,116272,117041,116504,117633,118356,118921,119727,120091,120318,120515,121332,122103,123586,124437,124081,125422,125670,127146,128165,128862,129653,130809,131982,133173,133725,133383,132233,134749,136699,138082,138811,139764,139940,141217,141622,142978,144105,145268,145022,146978,149268,151005,152412,154002,154592,155572,157408,158892,160217,160788,159199,160976,162838,163904,165337,166065,167176,167604,169739,170976,172229,173278,172024,173377,175276,177120,179156,181042,181926,182678,183853,184511,186237,187194,184003,188562,191284,194012,196561,198154,198331,198690,200012,201285,202903,203789,200382,205538,209069,209977,211569,212709,213711,214436,215514,216256,216676,218197,215842,219671,222253,223626,224089,224410,223511,223813,224105,224784,224574,223935,220537,224468,225553,226948,227171,227267,227467,227905,228646,228793,227921,226786,221811,227357,230232,232237,232936,233199,232693,233608,233368,233470,233908,233793,230732,233537,236259,238851,239586,239712,239334,239706,240771,241872,242532,242290,238540
2504,202871,200864,200423,200880,201869,202068,202456,204051,205902,205705,205101,203878,200971,200240,199742,200634,200979,201140,202374,205868,207794,208853,209237,207912,207357,205279,205929,206020,207491,207984,209244,214591,216142,217847,217452,214328,212232,211224,211884,213091,214366,214779,215072,216271,220494,223520,223360,221453,219689,218103,216958,217411,218243,218749,218953,220461,223457,224893,225482,222974,223739,224880,223966,224838,225464,227120,229673,231589,233625,235280,236352,235267,237508,236225,236357,237059,238044,239628,241027,244544,245683,244942,245971,242733,245882,245444,244709,246085,248745,251292,254698,258564,261991,262971,262981,260885,259930,259890,258473,258856,260651,261565,263594,266858,268445,268916,268644,263929,261808,261911,260580,261744,262736,264799,270419,275564,277045,278371,278660,276056,278316,274753,273575,274387,275489,277452,278598,285018,288616,290479,292098,291069,289408,288868,289809,291088,294317,297115,299120,305315,309537,311182,311989,310619,306244,306383,308467,311240,313837,314814,319130,325036,329073,332158,333564,333460,336283,331444,330021,332403,333735,337025,341464,348923,351774,353698,355174,353056,358070,353617,353612,354942,357979,361297,366792,375606,381325,385305,388134,387310,390807,391887,390515,391333,394859,398248,400839,408275,414373,417895,419646,417404,420202,421641,421183,425376,431614,434912,438813,449153,453536,455965,457659,457047,477683,484598,485770,488677,491088,494203,496976,505429,509899,509881,511228,506085,507693,510760,513346,516121,519385,521593,524159,530108,537302,539068,541803,540967,545452,549350,545878,545574,546858,548390,551150,557709,565490,566361,567903,565494,588176,591366,587378,586416,585210,585880,584709,589041,589389,589387,589739,586064,608951,604972,600464,599796,599247,600412,600606,606889,607439,606416,605708,599542,616514,617413,617576,619211,619330,620678,623580,628681,626371,626699,629341,626067,643328,639665,640728,642032,642685,643996,645650,654317,656227,655914,656082,653296
