region;AIC;BIC;HaQ
188;34,3655;35,0718;34,6498
189;27,7719;28,9303;28,2382
190;34,4199;35,1545;34,7156
191;36,2933;37,3951;36,7368
192;15,1951;15,9297;15,4908
193;13,7189;15,3858;14,3899
194;21,9839;23,5661;22,6208
195;18,2095;19,1136;18,5734
196;19,6072;20,2853;19,8802
197;20,0092;21,1393;20,4641
198;27,2923;28,0552;27,5994
199;14,4066;15,8758;14,9980
200;30,6181;31,2397;30,8683
201;31,4828;32,1891;31,7671
202;22,3343;23,0972;22,6414
203;33,5479;34,5650;33,9573
204;34,3597;35,5181;34,8260
205;28,6282;29,4192;28,9466
206;22,8828;23,5609;23,1558
207;20,9755;22,3882;21,5442
208;20,3382;23,1069;21,4526
209;22,6539;23,5862;23,0292
210;21,5524;22,5412;21,9504
211;23,1957;24,4670;23,7074
212;20,4404;21,5705;20,8953
213;23,0761;24,8560;23,7925
214;24,9406;25,6752;25,2363
215;16,3320;17,1796;16,6731
216;32,2758;33,1798;32,6397
217;23,4870;24,6736;23,9646
218;25,0325;25,9366;25,3964
219;29,8938;30,7979;30,2577
220;21,5752;22,5923;21,9846
221;25,4608;26,2801;25,7906
222;27,0320;29,0662;27,8508
223;24,7881;25,4379;25,0496
224;23,5269;24,6005;23,9590
225;22,7463;23,7069;23,1330
226;24,2271;24,9334;24,5114
227;23,7912;24,6670;24,1437
228;24,3731;24,9946;24,6233
229;24,5528;25,7112;25,0191
230;29,7853;31,2545;30,3767
231;21,3417;22,6130;21,8534
232;23,7242;24,7413;24,1336
233;24,4116;25,6264;24,9006
234;27,5144;28,0794;27,7418
235;26,9664;27,9835;27,3758
236;24,1727;25,2463;24,6048
237;28,6816;29,3314;28,9431
238;29,4281;29,9649;29,6442
239;37,4737;38,3213;37,8149
240;20,7785;22,1629;21,3358
241;25,1576;26,1464;25,5556
242;27,9119;29,0985;28,3896
243;20,1010;21,0333;20,4763
244;25,2028;26,3894;25,6804
245;24,4077;25,9334;25,0218
246;28,6211;29,8077;29,0987
247;26,7502;27,4283;27,0232
248;25,3052;25,8985;25,5440
249;29,7390;30,5866;30,0802
250;31,8585;32,8190;32,2451
251;26,7549;27,8002;27,1756
252;29,8458;30,2978;30,0277
253;25,8049;26,6524;26,1460
254;26,8717;27,7476;27,2243
255;26,6494;27,1580;26,8541
256;27,0720;27,6653;27,3108
257;29,1615;30,5741;29,7301
258;23,0265;23,6198;23,2653
259;25,1832;25,7200;25,3993
260;21,4535;22,1881;21,7492
261;26,9509;27,9115;27,3375
262;25,7931;26,4429;26,0546
263;22,3383;23,0163;22,6112
264;24,6282;25,8430;25,1172
265;25,7618;26,3268;25,9892
266;26,6567;27,5608;27,0206
267;27,7245;28,8546;28,1793
268;32,2591;33,5305;32,7709
269;31,9308;32,6372;32,2151
270;30,6522;31,3303;30,9252
271;30,5819;31,4577;30,9345
