region;AIC;BIC;HaQ
1;30,60770;31,70950;31,05120
2;21,30190;22,09300;21,62030
3;24,17810;25,16700;24,57620
4;25,79650;26,75710;26,18310
5;20,37620;21,56280;20,85390
6;25,63000;26,42110;25,94840
7;24,27210;25,43040;24,73830
8;20,70480;21,94790;21,20520
9;20,83940;22,42150;21,47620
10;19,44000;20,42890;19,83800
11;17,63010;19,63600;18,43750
12;27,91710;30,09260;28,79280
13;18,12390;19,45180;18,65840
14;19,36190;21,19830;20,10110
15;6,08577;9,61735;7,50729
16;19,65730;22,00230;20,60120
17;16,48090;18,57160;17,32240
18;18,32490;21,17840;19,47350
19;21,64940;23,06200;22,21800
20;33,70950;35,15040;34,28950
21;23,64710;25,25750;24,29530
22;23,48010;25,14700;24,15110
23;20,34680;23,70880;21,70000
24;11,47070;15,03060;12,90360
25;14,13980;16,34350;15,02690
26;20,82450;22,80220;21,62060
27;26,08210;28,45530;27,03740
28;13,69370;17,42310;15,19480
29;17,65410;20,36630;18,74580
30;13,95940;17,06720;15,21030
31;24,94410;26,66750;25,63780
32;25,80220;27,72340;26,57550
33;11,69420;15,50830;13,22940
34;21,70680;23,26070;22,33220
35;22,95900;25,21920;23,86880
36;19,18930;21,39310;20,07640
37;33,18870;34,00800;33,51850
38;26,15040;27,67600;26,76450
39;23,20880;25,27120;24,03900
40;22,96730;25,82080;24,11590
41;22,91320;24,52360;23,56140
42;25,44430;27,47850;26,26310
43;25,31350;27,03690;26,00720
44;25,30870;27,06040;26,01380
45;23,60280;26,90840;24,93340
46;27,28240;28,66670;27,83960
47;27,46420;28,65080;27,94180
48;23,67450;25,65220;24,47050
49;26,92290;30,51100;28,36720
50;25,25610;27,74230;26,25690
51;25,11370;26,30030;25,59130
52;22,72830;24,08450;23,27420
53;17,19530;18,97520;17,91170
54;18,80320;20,24410;19,38320
55;28,42580;29,64070;28,91480
56;24,17170;25,58430;24,74030
57;23,50260;24,71740;23,99160
58;25,95470;27,73460;26,67120
59;25,16070;26,40380;25,66100
60;23,83850;25,02510;24,31610
61;24,95910;26,08920;25,41400
62;30,02340;31,32300;30,54650
63;19,47000;20,85440;20,02720
64;23,61860;25,08780;24,21000
65;15,87870;17,68690;16,60660
66;31,67400;33,96250;32,59520
67;20,77010;22,74780;21,56620
68;17,97410;20,71460;19,07720
69;22,37960;23,67920;22,90270
70;19,31780;21,66280;20,26170
71;18,68950;21,71250;19,90630
72;24,01120;25,62160;24,65940
73;28,33060;29,65850;28,86510
74;23,24510;24,23390;23,64310
75;23,93060;24,89120;24,31720
76;19,68610;21,24000;20,31150
77;13,42050;17,23460;14,95570
78;18,26600;21,59980;19,60790
79;19,77200;21,18470;20,34060
80;27,42300;28,94870;28,03710
81;21,14350;23,79920;22,21240
82;19,56550;20,32840;19,87260
83;26,53130;27,85920;27,06580
84;23,88080;25,57600;24,56310
85;23,25530;25,82630;24,29010
86;22,28470;23,33010;22,70550
87;22,99040;24,62900;23,65000
88;31,69490;33,05100;32,24080
89;20,34700;22,09870;21,05210
90;16,57140;18,88820;17,50400
91;17,30720;18,57850;17,81890
92;20,19430;22,45450;21,10410
93;17,72090;18,70970;18,11890
94;21,33290;22,51950;21,81060
95;19,34200;21,34800;20,14940
96;22,21030;23,25560;22,63100
97;16,29110;18,18400;17,05300
98;21,24590;22,91280;21,91680
99;16,28870;18,04030;16,99370
100;20,79220;22,60040;21,52000
101;24,73020;27,13160;25,69680
102;20,98150;24,34360;22,33480
103;17,42300;20,02230;18,46930
104;14,45410;16,12100;15,12510
105;29,62390;30,52790;29,98780
106;21,87530;23,82470;22,66000
107;17,69510;19,92710;18,59350
108;23,58190;25,67260;24,42340
109;24,46050;25,95790;25,06330
110;22,57650;24,63900;23,40670
111;20,19720;22,48570;21,11830
112;20,41620;22,33740;21,18950
113;21,84870;24,22190;22,80400
114;22,74400;25,11720;23,69930
115;24,37670;26,66510;25,29780
116;34,82630;36,52140;35,50860
117;25,03310;26,55870;25,64720
118;23,53860;24,97950;24,11860
119;22,68680;25,48380;23,81270
120;18,41230;20,84200;19,39030
121;23,68050;25,46040;24,39690
122;24,35050;26,55420;25,23760
123;28,53010;29,99920;29,12150
124;19,66930;21,47750;20,39720
125;15,25260;17,93660;16,33300
126;25,48580;27,03970;26,11130
127;16,46280;19,23150;17,57720
128;17,20850;19,07310;17,95900
129;19,09650;21,07410;19,89250
130;15,82510;18,79170;17,01920
131;17,79750;21,32910;19,21900
132;28,06140;29,67180;28,70960
133;22,21340;23,62610;22,78210
134;28,02330;28,78610;28,33030
135;19,61040;21,05130;20,19040
136;16,44610;17,94340;17,04880
137;25,75050;27,02190;26,26230
138;15,00020;17,03440;15,81900
139;18,66570;19,79580;19,12060
140;18,03740;19,76080;18,73110
141;22,88450;24,63620;23,58960
142;19,33830;20,60970;19,85010
143;20,14470;21,30300;20,61090
144;21,98160;23,36600;22,53880
145;22,43390;23,59230;22,90020
146;18,57150;19,64510;19,00360
147;21,09920;22,62490;21,71330
148;23,62300;25,12040;24,22570
149;22,77630;25,65810;23,93630
150;24,62960;26,86160;25,52800
151;31,84130;32,68890;32,18250
152;27,79050;29,90950;28,64350
153;19,02190;20,83010;19,74980
154;21,17140;22,95130;21,88780
155;20,91130;23,17150;21,82110
156;21,81110;22,71520;22,17500
157;18,01500;19,45590;18,59500
158;16,76230;18,40100;17,42190
159;16,82190;18,68650;17,57240
160;17,62690;18,81350;18,10460
161;18,37380;19,78640;18,94240
162;19,17460;21,03930;19,92510
163;19,01000;21,04420;19,82880
164;20,08090;21,46520;20,63810
165;19,02650;20,94770;19,79980
166;18,14320;20,40340;19,05300
167;17,84660;19,25920;18,41520
168;21,58800;22,91590;22,12250
169;27,41460;28,79890;27,97180
170;20,20980;21,48120;20,72150
171;13,72620;16,07120;14,67010
172;26,50660;28,65380;27,37090
173;23,80760;25,16370;24,35350
174;31,99350;33,26480;32,50520
175;24,83780;28,36940;26,25930
176;23,39550;25,31670;24,16880
177;23,12010;24,92820;23,84790
178;23,38620;25,30730;24,15950
179;21,37420;23,57790;22,26120
180;31,49280;32,76420;32,00460
181;22,36900;24,23370;23,11960
182;17,47650;20,66910;18,76160
183;27,62140;29,57080;28,40600
184;21,73550;24,02400;22,65670
185;21,64980;23,54270;22,41170
186;23,39300;24,89040;23,99570
187;22,27500;25,24150;23,46900
188;32,16020;34,19440;32,97900
189;25,93580;27,77230;26,67500
190;33,66810;35,13720;34,25940
191;35,93730;37,37820;36,51730
192;15,15300;15,88760;15,44870
193;12,36530;14,62550;13,27510
194;20,72890;22,56530;21,46810
195;17,54800;18,79110;18,04830
196;17,23310;19,23910;18,04060
197;19,74740;21,24480;20,35010
198;26,57490;27,67670;27,01840
199;10,01290;13,09240;11,25240
200;29,42570;30,83830;29,99430
201;30,16450;31,83140;30,83550
202;21,55360;22,88150;22,08810
203;32,39590;34,28880;33,15780
204;33,56400;35,17440;34,21220
205;26,06880;28,52670;27,05810
206;21,73790;23,15050;22,30650
207;17,75320;21,20010;19,14060
208;18,79200;22,32360;20,21350
209;21,91840;23,10500;22,39600
210;20,98850;22,59890;21,63670
211;21,93220;23,59910;22,60310
212;18,91720;21,31870;19,88380
213;20,85950;23,88260;22,07640
214;22,51200;24,60270;23,35360
215;15,77010;16,95670;16,24770
216;32,18270;33,17160;32,58080
217;22,41350;24,05210;23,07300
218;24,20080;25,55690;24,74670
219;28,93360;30,57230;29,59320
220;19,81720;21,48410;20,48820
221;23,82280;25,74400;24,59610
222;26,85290;28,71760;27,60340
223;24,49670;25,28780;24,81510
224;22,41110;24,02150;23,05930
225;21,84560;23,22990;22,40280
226;23,69740;25,05350;24,24330
227;23,22360;24,21240;23,62160
228;23,05320;24,69190;23,71280
229;23,41550;25,22370;24,14330
230;29,16850;30,80720;29,82810
231;19,89000;21,86770;20,68610
232;22,34030;24,14840;23,06810
233;23,74710;25,13140;24,30430
234;26,06830;27,53740;26,65960
235;25,71480;27,89020;26,59040
236;23,59320;25,17540;24,23010
237;27,52580;28,93840;28,09440
238;28,73550;29,89390;29,20180
239;36,52720;37,99630;37,11850
240;20,13070;22,10840;20,92680
241;24,38160;25,85070;24,97290
242;26,38930;28,42350;27,20810
243;19,29930;20,85310;19,92470
244;23,98280;25,39550;24,55150
245;21,53110;24,41290;22,69110
246;28,30770;29,74860;28,88770
247;25,61690;27,02950;26,18550
248;24,47310;25,80100;25,00760
249;29,13900;30,24080;29,58250
250;31,08650;32,58390;31,68920
251;26,31370;27,81110;26,91650
252;29,47260;30,32010;29,81370
253;24,71220;26,29430;25,34900
254;25,96180;27,31790;26,50760
255;25,66940;26,88420;26,15840
256;26,56320;27,60850;26,98390
257;28,61520;30,25380;29,27480
258;22,17980;23,36640;22,65740
259;24,76820;25,81350;25,18890
260;21,38610;22,31840;21,76140
261;26,63250;27,87560;27,13280
262;24,89690;26,42250;25,51090
263;20,80930;22,33490;21,42340
264;22,94290;24,75110;23,67080
265;24,89960;26,00140;25,34310
266;25,14340;26,55600;25,71200
267;25,87590;28,24910;26,83120
268;32,09820;33,39780;32,62130
269;30,20750;32,01570;30,93530
270;29,94840;31,05020;30,39190
271;29,59540;31,14930;30,22090
272;29,55520;30,65700;29,99870
273;28,75430;29,71480;29,14090
274;24,75780;25,63370;25,11040
275;24,35680;25,48690;24,81160
276;26,86330;28,30420;27,44330
277;28,92380;29,99740;29,35590
278;20,51110;23,33640;21,64830
279;24,41550;25,57390;24,88180
280;38,47020;40,13710;39,14110
281;28,62340;29,38630;28,93050
282;20,37440;21,87180;20,97710
283;27,77330;28,84690;28,20550
284;27,45160;28,41220;27,83820
285;22,88810;23,99000;23,33160
286;23,17350;23,99280;23,50330
287;27,61540;29,11280;28,21810
288;21,34180;22,61320;21,85360
289;31,07240;31,97650;31,43630
290;26,44140;28,16480;27,13510
291;23,56080;24,69090;24,01570
292;25,85110;27,03780;26,32880
